Time [s],U3 [m],RF3 [N],n_buckled
0.000000e+00,-2.009788e-05,0.000000e+00,0
1.000000e+00,3.378498e-05,1.001964e+00,0
2.000000e+00,8.766861e-05,2.003481e+00,0
3.500000e+00,1.684959e-04,3.506422e+00,0
5.750000e+00,2.897427e-04,5.763081e+00,0
9.125000e+00,4.716337e-04,9.156666e+00,0
1.418750e+01,7.445415e-04,1.427825e+01,0
2.178125e+01,1.154145e-03,2.207021e+01,0
3.178125e+01,1.694178e-03,3.262967e+01,0
4.178125e+01,2.235172e-03,4.365612e+01,0
5.178125e+01,2.777353e-03,5.527542e+01,0
6.178125e+01,3.320933e-03,6.759792e+01,0
7.178125e+01,3.866130e-03,8.071850e+01,0
8.178125e+01,4.413191e-03,9.471716e+01,0
9.178125e+01,4.962416e-03,1.096595e+02,0
1.017812e+02,5.514184e-03,1.255969e+02,0
1.117812e+02,6.068993e-03,1.425652e+02,0
1.217812e+02,6.627542e-03,1.605812e+02,0
1.317812e+02,7.190880e-03,1.796242e+02,0
1.417812e+02,7.760533e-03,1.996159e+02,0
1.517812e+02,8.338058e-03,2.202098e+02,0
1.617812e+02,8.916972e-03,2.399386e+02,0
1.717812e+02,9.457650e-03,2.551245e+02,0
1.817812e+02,9.982160e-03,2.666190e+02,1
1.917812e+02,1.053399e-02,2.774591e+02,1
2.017812e+02,1.111223e-02,2.883196e+02,1
2.117812e+02,1.169422e-02,2.977575e+02,1
2.217812e+02,1.219727e-02,3.014055e+02,1
2.317812e+02,1.264274e-02,2.994876e+02,3
2.417812e+02,1.310704e-02,2.948704e+02,3
2.517812e+02,1.360155e-02,2.890375e+02,3
2.617812e+02,1.412133e-02,2.827113e+02,3
2.717812e+02,1.466036e-02,2.762631e+02,3
2.817812e+02,1.521373e-02,2.698885e+02,3
2.917812e+02,1.577730e-02,2.636808e+02,3
3.017812e+02,1.634676e-02,2.576579e+02,3
3.117812e+02,1.691606e-02,2.517500e+02,3
3.217812e+02,1.747440e-02,2.457825e+02,3
3.317812e+02,1.799862e-02,2.393905e+02,3
3.417812e+02,1.844909e-02,2.320615e+02,3
3.517812e+02,1.880963e-02,2.234689e+02,3
3.617812e+02,1.911144e-02,2.136434e+02,5
3.717812e+02,1.938669e-02,2.028799e+02,7
3.817812e+02,1.965454e-02,1.915360e+02,7
3.917812e+02,1.992596e-02,1.799335e+02,7
4.017812e+02,2.020752e-02,1.683415e+02,7
4.117812e+02,2.050336e-02,1.569812e+02,7
4.217812e+02,2.081609e-02,1.460344e+02,7
4.317812e+02,2.114699e-02,1.356443e+02,7
4.417812e+02,2.149511e-02,1.259000e+02,7
4.517812e+02,2.185146e-02,1.167557e+02,7
4.617812e+02,2.215770e-02,1.076314e+02,7
4.717812e+02,2.225677e-02,9.776421e+01,9
4.817812e+02,2.220688e-02,8.637325e+01,9
4.917812e+02,2.207726e-02,7.389130e+01,9
5.017812e+02,2.187946e-02,6.132208e+01,10
5.117812e+02,2.162321e-02,4.887997e+01,10
5.217812e+02,2.131831e-02,3.668661e+01,10
5.317812e+02,2.096572e-02,2.537740e+01,10
5.417812e+02,2.056659e-02,1.589399e+01,10
5.517812e+02,2.012815e-02,8.405180e+00,12
5.617812e+02,1.965833e-02,2.459992e+00,12
5.717812e+02,1.916616e-02,-2.211318e+00,12
5.817812e+02,1.865944e-02,-5.701062e+00,12
5.917812e+02,1.814403e-02,-8.047518e+00,12
6.017812e+02,1.762429e-02,-9.292665e+00,12
6.117812e+02,1.710346e-02,-9.504602e+00,12
6.217812e+02,1.658396e-02,-8.798051e+00,12
6.317812e+02,1.606750e-02,-7.286373e+00,12
6.417812e+02,1.555521e-02,-5.151876e+00,12
6.517812e+02,1.504773e-02,-2.594049e+00,12
6.617812e+02,1.454538e-02,1.649254e-01,12
6.717812e+02,1.404836e-02,2.886492e+00,12
6.817812e+02,1.355691e-02,5.323179e+00,12
6.917812e+02,1.307150e-02,7.240116e+00,12
7.017812e+02,1.259305e-02,8.379415e+00,12
7.117812e+02,1.212310e-02,8.529779e+00,12
7.217812e+02,1.166345e-02,7.526773e+00,12
7.317812e+02,1.121637e-02,5.235123e+00,12
7.417812e+02,1.078414e-02,1.567166e+00,12
7.517812e+02,1.036865e-02,-3.537382e+00,12
7.617812e+02,9.970828e-03,-1.014983e+01,12
7.717812e+02,9.589856e-03,-1.841728e+01,12
7.817812e+02,9.222329e-03,-2.861992e+01,10
7.917812e+02,8.864002e-03,-4.104786e+01,10
8.017812e+02,8.515435e-03,-5.558941e+01,10
8.117812e+02,8.181998e-03,-7.167748e+01,10
8.217812e+02,7.867781e-03,-8.876736e+01,10
8.317812e+02,7.574140e-03,-1.065540e+02,10
8.417812e+02,7.300766e-03,-1.249302e+02,10
8.517812e+02,7.046726e-03,-1.438804e+02,9
8.617812e+02,6.811877e-03,-1.632940e+02,9
8.717812e+02,6.597728e-03,-1.828409e+02,9
8.817812e+02,6.406456e-03,-2.021055e+02,9
8.917812e+02,6.239960e-03,-2.207413e+02,9
9.017812e+02,6.099881e-03,-2.384844e+02,9
9.117812e+02,5.987839e-03,-2.551171e+02,9
9.217812e+02,5.905544e-03,-2.704423e+02,9
9.317812e+02,5.854791e-03,-2.842745e+02,9
9.417812e+02,5.837328e-03,-2.964453e+02,9
9.517812e+02,5.854550e-03,-3.068279e+02,9
9.617812e+02,5.906849e-03,-3.153896e+02,9
9.717812e+02,5.992402e-03,-3.222773e+02,9
9.817812e+02,6.105220e-03,-3.278914e+02,9
9.917812e+02,6.230975e-03,-3.328803e+02,9
1.001781e+03,6.331832e-03,-3.382739e+02,12
1.011781e+03,6.357362e-03,-3.451328e+02,12
1.021781e+03,6.320278e-03,-3.535112e+02,12
1.031781e+03,6.243818e-03,-3.631260e+02,12
1.041781e+03,6.128408e-03,-3.740496e+02,13
1.051781e+03,5.969782e-03,-3.865273e+02,13
1.061781e+03,5.774708e-03,-4.007058e+02,13
1.071781e+03,5.554033e-03,-4.166351e+02,13
1.081781e+03,5.316187e-03,-4.341727e+02,13
1.091781e+03,5.067426e-03,-4.529645e+02,13
1.101781e+03,4.812247e-03,-4.726161e+02,13
1.111781e+03,4.553547e-03,-4.928274e+02,13
1.121781e+03,4.293113e-03,-5.133997e+02,13
1.131781e+03,4.032079e-03,-5.342038e+02,13
1.141781e+03,3.771199e-03,-5.551528e+02,13
1.151781e+03,3.511008e-03,-5.761849e+02,13
1.161781e+03,3.251899e-03,-5.972548e+02,13
1.171781e+03,2.994282e-03,-6.183217e+02,13
1.181781e+03,2.738199e-03,-6.393677e+02,13
1.191781e+03,2.483946e-03,-6.603645e+02,13
1.201781e+03,2.231696e-03,-6.812921e+02,13
1.211781e+03,1.981594e-03,-7.021328e+02,13
1.221781e+03,1.733771e-03,-7.228709e+02,13
1.231781e+03,1.488337e-03,-7.434922e+02,13
1.241781e+03,1.245393e-03,-7.639834e+02,13
1.251781e+03,1.005021e-03,-7.843323e+02,13
1.261781e+03,7.672926e-04,-8.045274e+02,13
1.271781e+03,5.322572e-04,-8.245582e+02,13
1.281781e+03,2.999436e-04,-8.444152e+02,13
1.291781e+03,7.035038e-05,-8.640897e+02,13
1.301781e+03,-1.565634e-04,-8.835752e+02,13
1.311781e+03,-3.808936e-04,-9.028670e+02,13
1.321781e+03,-6.029822e-04,-9.219738e+02,13
1.331781e+03,-8.227728e-04,-9.408793e+02,13
1.341781e+03,-1.040857e-03,-9.596028e+02,13
1.351781e+03,-1.257876e-03,-9.781636e+02,13
1.361781e+03,-1.474597e-03,-9.965844e+02,13
1.371781e+03,-1.692938e-03,-1.014950e+03,13
1.381781e+03,-1.914343e-03,-1.033308e+03,13
1.391781e+03,-2.141779e-03,-1.051785e+03,13
1.401781e+03,-2.378988e-03,-1.070536e+03,13
1.411781e+03,-2.630568e-03,-1.089744e+03,13
1.421781e+03,-2.901221e-03,-1.109581e+03,13
1.431781e+03,-3.194175e-03,-1.130134e+03,13
1.441781e+03,-3.509638e-03,-1.151343e+03,13
1.451781e+03,-3.844895e-03,-1.173032e+03,13
1.461781e+03,-4.195941e-03,-1.194971e+03,13
1.471781e+03,-4.558815e-03,-1.216893e+03,15
1.481781e+03,-4.929666e-03,-1.238413e+03,15
1.491781e+03,-5.303360e-03,-1.258820e+03,15
1.501781e+03,-5.670552e-03,-1.276834e+03,15
1.511781e+03,-6.019232e-03,-1.291133e+03,17
1.521781e+03,-6.351177e-03,-1.301997e+03,17
1.531781e+03,-6.681840e-03,-1.310858e+03,17
1.541781e+03,-7.021879e-03,-1.318754e+03,17
1.551781e+03,-7.374481e-03,-1.326182e+03,17
1.561781e+03,-7.739223e-03,-1.333353e+03,17
1.571781e+03,-8.114519e-03,-1.340356e+03,17
1.581781e+03,-8.498614e-03,-1.347228e+03,17
1.591781e+03,-8.889904e-03,-1.353985e+03,17
1.601781e+03,-9.287002e-03,-1.360633e+03,17
1.611781e+03,-9.688709e-03,-1.367175e+03,17
1.621781e+03,-1.009394e-02,-1.373611e+03,17
1.631781e+03,-1.050181e-02,-1.379943e+03,17
1.641781e+03,-1.091020e-02,-1.386141e+03,17
1.651781e+03,-1.131848e-02,-1.392218e+03,17
1.661781e+03,-1.171891e-02,-1.398049e+03,17
1.671781e+03,-1.210292e-02,-1.403525e+03,17
1.681781e+03,-1.244234e-02,-1.408230e+03,17
1.691781e+03,-1.269399e-02,-1.411561e+03,17
1.701781e+03,-1.285390e-02,-1.413501e+03,17
1.711781e+03,-1.296434e-02,-1.414670e+03,17
1.721781e+03,-1.305174e-02,-1.415399e+03,17
1.731781e+03,-1.315229e-02,-1.416057e+03,17
1.741781e+03,-1.321999e-02,-1.415902e+03,17
1.744281e+03,-1.322738e-02,-1.415896e+03,17
1.746781e+03,-1.323451e-02,-1.415888e+03,17
1.750531e+03,-1.324535e-02,-1.415875e+03,17
1.756156e+03,-1.326250e-02,-1.415854e+03,17
1.758266e+03,-1.327164e-02,-1.415844e+03,17
1.761430e+03,-1.328578e-02,-1.415831e+03,17
1.766176e+03,-1.331523e-02,-1.415824e+03,17
1.767956e+03,-1.332807e-02,-1.415832e+03,17
1.770625e+03,-1.335042e-02,-1.415866e+03,17
1.774630e+03,-1.502162e-02,-1.435448e+03,17
1.774630e+03,-1.502162e-02,-1.435448e+03,17
