,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_Pmax,sim_alpha,sim_time,sim_type,sim_u3,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tn0.00,0.05,0.05,0.025,0.025,Tn0.00,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,0.0,0.0,0.0018,beam,36.0,0.0,210000000000.0,Tn0.00.pkl
Tn0.10,0.05,0.05,0.025,0.025,Tn0.10,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,153.16785195739962,0.1,0.0018,beam,36.0,0.0,210000000000.0,Tn0.10.pkl
Tn0.20,0.05,0.05,0.025,0.025,Tn0.20,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,306.33570391479924,0.2,0.0018,beam,36.0,0.0,210000000000.0,Tn0.20.pkl
Tn0.30,0.05,0.05,0.025,0.025,Tn0.30,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,459.5035558721989,0.3,0.0018,beam,36.0,0.0,210000000000.0,Tn0.30.pkl
Tn0.40,0.05,0.05,0.025,0.025,Tn0.40,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,612.6714078295985,0.4,0.0018,beam,36.0,0.0,210000000000.0,Tn0.40.pkl
Tn0.50,0.05,0.05,0.025,0.025,Tn0.50,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,765.8392597869981,0.5,0.0018,beam,36.0,0.0,210000000000.0,Tn0.50.pkl
Tn0.60,0.05,0.05,0.025,0.025,Tn0.60,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,919.0071117443978,0.6,0.0018,beam,36.0,0.0,210000000000.0,Tn0.60.pkl
Tn0.70,0.05,0.05,0.025,0.025,Tn0.70,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,1072.1749637017974,0.7,0.0018,beam,36.0,0.0,210000000000.0,Tn0.70.pkl
Tn0.80,0.05,0.05,0.025,0.025,Tn0.80,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,1225.342815659197,0.8,0.0018,beam,36.0,0.0,210000000000.0,Tn0.80.pkl
Tn0.90,0.05,0.05,0.025,0.025,Tn0.90,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,1378.5106676165967,0.9,0.0018,beam,36.0,0.0,210000000000.0,Tn0.90.pkl
Tn0.95,0.05,0.05,0.025,0.025,Tn0.95,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,1455.0945935952964,0.95,0.0018,beam,36.0,0.0,210000000000.0,Tn0.95.pkl
