,f_rim,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_time,sim_u2,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
fr0.1_Tn0.00,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.00,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.00.pkl
fr0.1_Tn0.10,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.10,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,250.08015519870162,0.1,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.10.pkl
fr0.1_Tn0.20,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.20,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,500.16031039740324,0.2,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.20.pkl
fr0.1_Tn0.30,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.30,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,750.2404655961047,0.3,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.30.pkl
fr0.1_Tn0.40,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.40,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1000.3206207948065,0.4,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.40.pkl
fr0.1_Tn0.50,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.50,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1250.400775993508,0.5,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.50.pkl
fr0.1_Tn0.60,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.60,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1500.4809311922095,0.6,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.60.pkl
fr0.1_Tn0.70,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.70,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1750.561086390911,0.7,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.70.pkl
fr0.1_Tn0.80,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.80,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2000.641241589613,0.8,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.80.pkl
fr0.1_Tn0.90,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.90,1.532575527646584e-09,7.66287763823292e-10,7.66287763823292e-10,0.0,1.5719006725125502e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2250.7213967883145,0.9,0.0033951979629093,beam,36.0,0.0,200000000000.0,fr0.1_Tn0.90.pkl
fr0.2_Tn0.00,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.00,2.9865007655612346e-09,1.4932503827806173e-09,1.4932503827806173e-09,0.0,3.143801345025096e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.0032010233373918917,beam,36.0,0.0,200000000000.0,fr0.2_Tn0.00.pkl
fr0.2_Tn0.10,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.10,2.9865007655612346e-09,1.4932503827806173e-09,1.4932503827806173e-09,0.0,3.143801345025096e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,320.9364802306005,0.1,0.0032010233373918917,beam,36.0,0.0,200000000000.0,fr0.2_Tn0.10.pkl
