Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,2.068364e+00,0.000000e+00,0
1.000019e-02,1.000052e-04,4.712800e+02,-1.172860e-05,0
2.000038e-02,2.000204e-04,9.442512e+02,-2.558237e-05,0
3.000056e-02,3.000183e-04,1.415762e+03,-4.022280e-05,0
4.000075e-02,3.999715e-04,1.887536e+03,-5.521833e-05,0
5.000094e-02,4.999247e-04,2.359085e+03,-7.102384e-05,0
6.000113e-02,5.998779e-04,2.830380e+03,-8.766149e-05,0
7.000132e-02,6.998311e-04,3.301661e+03,-1.052589e-04,0
8.000150e-02,7.997843e-04,3.772616e+03,-1.239142e-04,0
9.000169e-02,8.997376e-04,4.243505e+03,-1.438206e-04,0
1.000019e-01,9.996907e-04,4.714256e+03,-1.650438e-04,0
1.100021e-01,1.099670e-03,5.184675e+03,-1.877386e-04,0
1.200023e-01,1.199871e-03,5.654827e+03,-2.122690e-04,1
1.300001e-01,1.300049e-03,5.978731e+03,-1.539921e-05,1
1.400003e-01,1.400251e-03,6.240852e+03,2.834429e-04,1
1.500005e-01,1.500452e-03,6.524252e+03,5.932279e-04,1
1.600007e-01,1.600653e-03,6.804268e+03,9.190234e-04,1
1.700009e-01,1.700855e-03,7.080959e+03,1.252426e-03,1
1.800010e-01,1.801056e-03,7.352168e+03,1.597692e-03,1
1.900012e-01,1.901257e-03,7.607445e+03,1.927715e-03,3
2.000014e-01,2.001458e-03,7.768305e+03,1.774705e-03,3
2.100016e-01,2.101660e-03,7.890461e+03,1.142619e-03,3
2.200018e-01,2.201861e-03,8.032058e+03,7.912583e-04,3
2.300020e-01,2.302062e-03,8.153841e+03,1.672670e-04,3
2.400022e-01,2.402263e-03,8.272554e+03,-4.443210e-04,3
2.500000e-01,2.502441e-03,8.373860e+03,-1.219593e-03,3
2.600002e-01,2.602642e-03,8.462277e+03,-2.064612e-03,3
2.700004e-01,2.702843e-03,8.532418e+03,-3.014984e-03,3
2.800006e-01,2.803044e-03,8.585766e+03,-4.024957e-03,3
2.900008e-01,2.903246e-03,8.629648e+03,-5.024147e-03,3
3.000009e-01,3.003448e-03,8.663702e+03,-6.016151e-03,3
3.100011e-01,3.103649e-03,8.693289e+03,-6.967425e-03,3
3.200013e-01,3.203850e-03,8.720525e+03,-7.872691e-03,3
3.300015e-01,3.304051e-03,8.748431e+03,-8.718477e-03,3
3.400017e-01,3.404252e-03,8.773837e+03,-9.537542e-03,3
3.500019e-01,3.504454e-03,8.798462e+03,-1.032293e-02,3
3.600021e-01,3.604655e-03,8.823835e+03,-1.107182e-02,3
3.700023e-01,3.704856e-03,8.849814e+03,-1.178197e-02,3
3.800001e-01,3.805034e-03,8.874736e+03,-1.247421e-02,3
3.900003e-01,3.905236e-03,8.900000e+03,-1.314413e-02,3
4.000005e-01,4.005437e-03,8.923602e+03,-1.380120e-02,3
4.100007e-01,4.105638e-03,8.942921e+03,-1.445778e-02,3
4.200009e-01,4.205839e-03,8.936107e+03,-1.519978e-02,5
4.300011e-01,4.306040e-03,8.769889e+03,-1.655805e-02,5
4.400012e-01,4.406241e-03,8.641844e+03,-1.770751e-02,5
4.500014e-01,4.505651e-03,8.516986e+03,-1.880367e-02,5
4.600016e-01,4.604861e-03,8.430151e+03,-1.971901e-02,5
4.700018e-01,4.704070e-03,8.353283e+03,-2.057628e-02,5
4.800020e-01,4.803279e-03,8.280877e+03,-2.139639e-02,5
4.900022e-01,4.902488e-03,8.217734e+03,-2.216399e-02,5
5.000000e-01,5.001673e-03,8.162666e+03,-2.289059e-02,5
5.100002e-01,5.100882e-03,8.112411e+03,-2.358999e-02,5
5.200004e-01,5.200091e-03,8.066169e+03,-2.426269e-02,5
5.300006e-01,5.299300e-03,8.023315e+03,-2.491186e-02,5
5.400007e-01,5.398510e-03,7.985026e+03,-2.553315e-02,5
5.500010e-01,5.497718e-03,7.949731e+03,-2.613665e-02,5
5.600011e-01,5.596926e-03,7.917209e+03,-2.672401e-02,5
5.700013e-01,5.696135e-03,7.886647e+03,-2.729752e-02,5
5.800015e-01,5.795344e-03,7.858090e+03,-2.785822e-02,5
5.900017e-01,5.894552e-03,7.831618e+03,-2.840610e-02,5
6.000019e-01,5.993762e-03,7.806486e+03,-2.894377e-02,5
6.100021e-01,6.092971e-03,7.783129e+03,-2.947063e-02,5
6.200023e-01,6.192180e-03,7.760987e+03,-2.998834e-02,5
6.300001e-01,6.291366e-03,7.740129e+03,-3.049765e-02,5
6.400003e-01,6.390576e-03,7.720567e+03,-3.099895e-02,5
6.500005e-01,6.489785e-03,7.701992e+03,-3.149224e-02,5
6.600007e-01,6.588994e-03,7.684377e+03,-3.197690e-02,5
6.700009e-01,6.688203e-03,7.668248e+03,-3.244711e-02,5
6.800011e-01,6.787411e-03,7.652896e+03,-3.291026e-02,5
6.900012e-01,6.886620e-03,7.638051e+03,-3.337060e-02,5
7.000014e-01,6.985829e-03,7.624161e+03,-3.382207e-02,5
7.100016e-01,7.085039e-03,7.610891e+03,-3.426654e-02,5
7.200018e-01,7.184248e-03,7.597930e+03,-3.471100e-02,5
7.300020e-01,7.283457e-03,7.585611e+03,-3.514966e-02,5
7.400022e-01,7.382665e-03,7.574334e+03,-3.557824e-02,5
7.500000e-01,7.481851e-03,7.563412e+03,-3.600673e-02,5
7.600002e-01,7.581060e-03,7.552399e+03,-3.643531e-02,5
7.700004e-01,7.680269e-03,7.542174e+03,-3.685862e-02,5
7.800006e-01,7.779479e-03,7.533671e+03,-3.727134e-02,5
7.900008e-01,7.878689e-03,7.525077e+03,-3.768405e-02,5
8.000010e-01,7.977897e-03,7.516514e+03,-3.809676e-02,5
8.100011e-01,8.077105e-03,7.508531e+03,-3.850530e-02,5
8.200014e-01,8.176313e-03,7.501003e+03,-3.890214e-02,5
8.300015e-01,8.275522e-03,7.493862e+03,-3.929897e-02,5
8.400017e-01,8.374731e-03,7.486762e+03,-3.969581e-02,5
8.500019e-01,8.473940e-03,7.479803e+03,-4.009265e-02,5
8.600021e-01,8.573148e-03,7.473066e+03,-4.048949e-02,5
8.700023e-01,8.672358e-03,7.466364e+03,-4.087149e-02,5
8.800001e-01,8.771543e-03,7.459397e+03,-4.125237e-02,5
8.900003e-01,8.870753e-03,7.452038e+03,-4.163333e-02,5
9.000005e-01,8.969962e-03,7.444240e+03,-4.201429e-02,5
9.100007e-01,9.069172e-03,7.435727e+03,-4.239729e-02,5
9.200009e-01,9.168383e-03,7.425141e+03,-4.279412e-02,5
9.300011e-01,9.267592e-03,7.412410e+03,-4.319201e-02,7
9.400012e-01,9.366801e-03,7.397119e+03,-4.360472e-02,7
9.500014e-01,9.466009e-03,7.378979e+03,-4.402696e-02,7
9.600016e-01,9.565218e-03,7.358817e+03,-4.445554e-02,7
9.700018e-01,9.664427e-03,7.337822e+03,-4.488412e-02,7
9.800020e-01,9.763635e-03,7.316784e+03,-4.531191e-02,7
9.900022e-01,9.862843e-03,7.296372e+03,-4.572462e-02,7
1.000000e+00,9.962029e-03,7.276468e+03,-4.613724e-02,6
