time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,4.092469e-08,5.547077e+00,-3.166204e+01
2.000000e-03,8.199470e-08,1.109417e+01,-6.332392e+01
3.500000e-03,1.436842e-07,1.941480e+01,-1.108168e+02
5.750000e-03,2.365314e-07,3.189573e+01,-1.820562e+02
9.125000e-03,3.765184e-07,5.061712e+01,-2.889150e+02
1.418750e-02,5.881366e-07,7.869917e+01,-4.492031e+02
2.178125e-02,9.093292e-07,1.208222e+02,-6.896347e+02
3.317187e-02,1.399838e-06,1.840065e+02,-1.050281e+03
5.025781e-02,2.156058e-06,2.787827e+02,-1.591247e+03
7.025781e-02,3.074695e-06,3.897227e+02,-2.224473e+03
9.025782e-02,4.032620e-06,5.006620e+02,-2.857694e+03
1.102578e-01,5.033096e-06,6.116008e+02,-3.490910e+03
1.302578e-01,6.079943e-06,7.225389e+02,-4.124122e+03
1.502578e-01,7.177629e-06,8.334764e+02,-4.757329e+03
1.702578e-01,8.331267e-06,9.444132e+02,-5.390531e+03
1.902578e-01,9.546746e-06,1.055349e+03,-6.023729e+03
2.102578e-01,1.083087e-05,1.166285e+03,-6.656921e+03
2.302578e-01,1.219159e-05,1.277220e+03,-7.290109e+03
2.502578e-01,1.363820e-05,1.388154e+03,-7.923293e+03
2.702578e-01,1.518169e-05,1.499088e+03,-8.556471e+03
2.902578e-01,1.683521e-05,1.610021e+03,-9.189644e+03
3.102578e-01,1.861452e-05,1.720953e+03,-9.822813e+03
3.302578e-01,2.053886e-05,1.831885e+03,-1.045598e+04
3.502578e-01,2.263188e-05,1.942816e+03,-1.108914e+04
3.702578e-01,2.492310e-05,2.053746e+03,-1.172229e+04
3.902578e-01,2.744992e-05,2.164676e+03,-1.235544e+04
4.102578e-01,3.026058e-05,2.275605e+03,-1.298858e+04
4.302578e-01,3.341848e-05,2.386533e+03,-1.362172e+04
4.502578e-01,3.700899e-05,2.497460e+03,-1.425485e+04
4.702578e-01,4.115019e-05,2.608386e+03,-1.488798e+04
4.902578e-01,4.601085e-05,2.719312e+03,-1.552110e+04
5.102578e-01,5.195878e-05,2.830237e+03,-1.615421e+04
5.302578e-01,5.922574e-05,2.941160e+03,-1.678732e+04
5.502578e-01,6.857491e-05,3.052081e+03,-1.742041e+04
5.702578e-01,8.127213e-05,3.163000e+03,-1.805349e+04
5.902578e-01,9.995448e-05,3.273914e+03,-1.868654e+04
6.102578e-01,1.312468e-04,3.384816e+03,-1.931951e+04
6.302578e-01,1.981112e-04,3.495669e+03,-1.995221e+04
6.502578e-01,4.712070e-04,3.605945e+03,-2.058158e+04
6.552578e-01,7.515532e-04,3.632397e+03,-2.073249e+04
6.627578e-01,2.091170e-03,3.659224e+03,-2.088481e+04
6.740078e-01,4.275235e-03,3.666812e+03,-2.092539e+04
6.908828e-01,6.424355e-03,3.669312e+03,-2.093511e+04
7.108828e-01,8.304748e-03,3.670335e+03,-2.093546e+04
7.308828e-01,9.842741e-03,3.670487e+03,-2.093075e+04
7.508828e-01,1.118058e-02,3.669893e+03,-2.092176e+04
7.708828e-01,1.238942e-02,3.668179e+03,-2.090628e+04
7.908828e-01,1.352460e-02,3.663854e+03,-2.087576e+04
8.108828e-01,1.480889e-02,3.640975e+03,-2.073822e+04
8.158828e-01,1.543975e-02,3.608953e+03,-2.055207e+04
8.233828e-01,1.688992e-02,3.515811e+03,-2.001275e+04
8.240860e-01,1.713303e-02,3.497916e+03,-1.990932e+04
8.241519e-01,1.718251e-02,3.494012e+03,-1.988678e+04
8.241765e-01,1.721752e-02,3.491178e+03,-1.987042e+04
8.241765e-01,1.721752e-02,3.491178e+03,-1.987042e+04
