Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-2.202759e+00,0.000000e+00,0
1.000186e-02,1.000214e-04,6.070232e+02,-2.584423e-05,0
2.000148e-02,2.000211e-04,1.210868e+03,-5.600973e-05,3
3.000110e-02,2.999956e-04,1.355492e+03,2.716832e-04,3
4.000072e-02,3.999303e-04,1.495347e+03,1.229373e-04,3
5.000034e-02,4.998649e-04,1.629156e+03,-3.443481e-05,3
6.000219e-02,5.998219e-04,1.764221e+03,-1.845754e-04,3
7.000182e-02,6.997565e-04,1.897164e+03,-3.511680e-04,3
8.000144e-02,7.996911e-04,2.028802e+03,-5.268918e-04,5
9.000105e-02,8.996257e-04,2.158959e+03,-7.113894e-04,5
1.000007e-01,9.995605e-04,2.287602e+03,-9.017847e-04,5
1.100003e-01,1.099495e-03,2.414408e+03,-1.091125e-03,5
1.200022e-01,1.199452e-03,2.537812e+03,-1.260699e-03,5
1.300018e-01,1.299387e-03,2.655263e+03,-1.365704e-03,5
1.400014e-01,1.399321e-03,2.768233e+03,-1.407412e-03,5
1.500010e-01,1.499256e-03,2.880312e+03,-1.435762e-03,5
1.600006e-01,1.599191e-03,2.991872e+03,-1.457121e-03,5
1.700003e-01,1.699125e-03,3.103052e+03,-1.474693e-03,5
1.800021e-01,1.799082e-03,3.213884e+03,-1.489614e-03,5
1.900017e-01,1.899017e-03,3.324321e+03,-1.501245e-03,5
2.000013e-01,1.998951e-03,3.434486e+03,-1.512354e-03,5
2.100010e-01,2.098886e-03,3.544330e+03,-1.523742e-03,5
2.200006e-01,2.198821e-03,3.653848e+03,-1.535320e-03,5
2.300002e-01,2.298756e-03,3.763066e+03,-1.547623e-03,5
2.400021e-01,2.398713e-03,3.871953e+03,-1.560858e-03,5
2.500017e-01,2.498647e-03,3.980487e+03,-1.575895e-03,5
2.600013e-01,2.598582e-03,4.088662e+03,-1.594911e-03,5
2.700009e-01,2.698517e-03,4.196563e+03,-1.624195e-03,5
2.800005e-01,2.798451e-03,4.304077e+03,-1.658035e-03,5
2.900002e-01,2.898386e-03,4.411312e+03,-1.701704e-03,5
3.000020e-01,2.998343e-03,4.518173e+03,-1.755389e-03,5
3.100016e-01,3.098277e-03,4.624554e+03,-1.822108e-03,5
3.200013e-01,3.198211e-03,4.730416e+03,-1.914662e-03,5
3.300009e-01,3.298146e-03,4.835540e+03,-2.048321e-03,5
3.400005e-01,3.398081e-03,4.939501e+03,-2.236323e-03,5
3.500001e-01,3.498015e-03,5.041155e+03,-2.533265e-03,5
3.600020e-01,3.597973e-03,5.137940e+03,-3.006153e-03,7
3.700016e-01,3.697907e-03,5.221651e+03,-3.826417e-03,7
3.800012e-01,3.797842e-03,5.025773e+03,-8.465411e-03,7
3.900008e-01,3.897776e-03,4.382918e+03,-1.474008e-02,5
4.000005e-01,3.997711e-03,4.100711e+03,-1.672706e-02,5
4.100001e-01,4.097646e-03,4.062925e+03,-1.747874e-02,5
4.200020e-01,4.197603e-03,4.063610e+03,-1.805195e-02,5
4.300016e-01,4.297538e-03,4.055007e+03,-1.866178e-02,5
4.400012e-01,4.397472e-03,4.035815e+03,-1.930573e-02,5
4.500008e-01,4.497407e-03,4.010919e+03,-1.995968e-02,5
4.600004e-01,4.597341e-03,3.983409e+03,-2.061008e-02,5
4.700000e-01,4.697275e-03,3.954345e+03,-2.125269e-02,7
4.800019e-01,4.797231e-03,3.924320e+03,-2.188620e-02,7
4.900015e-01,4.897167e-03,3.893775e+03,-2.250877e-02,7
5.000011e-01,4.997102e-03,3.863584e+03,-2.311640e-02,7
5.100008e-01,5.097036e-03,3.833761e+03,-2.371127e-02,7
5.200004e-01,5.196970e-03,3.804149e+03,-2.429478e-02,7
5.300000e-01,5.296905e-03,3.775828e+03,-2.486351e-02,7
5.400019e-01,5.396862e-03,3.748624e+03,-2.542021e-02,7
5.500015e-01,5.496796e-03,3.722415e+03,-2.596506e-02,7
5.600011e-01,5.596731e-03,3.696754e+03,-2.649744e-02,7
5.700007e-01,5.696666e-03,3.671655e+03,-2.701863e-02,7
5.800003e-01,5.796600e-03,3.646854e+03,-2.753330e-02,7
5.900000e-01,5.896535e-03,3.622060e+03,-2.804131e-02,9
6.000018e-01,5.996493e-03,3.596514e+03,-2.854519e-02,9
6.100014e-01,6.096426e-03,3.569001e+03,-2.905156e-02,8
6.200011e-01,6.196361e-03,3.535674e+03,-2.956989e-02,8
6.300007e-01,6.296296e-03,3.495323e+03,-3.010778e-02,8
6.400003e-01,6.396231e-03,3.453142e+03,-3.064138e-02,8
6.500022e-01,6.496188e-03,3.410411e+03,-3.116943e-02,8
6.600018e-01,6.596123e-03,3.368458e+03,-3.168655e-02,8
6.700014e-01,6.696057e-03,3.328100e+03,-3.219091e-02,8
6.800010e-01,6.795992e-03,3.288561e+03,-3.268629e-02,8
6.900007e-01,6.895926e-03,3.250405e+03,-3.317063e-02,8
7.000002e-01,6.995860e-03,3.213160e+03,-3.363934e-02,8
7.100021e-01,7.095817e-03,3.176629e+03,-3.410580e-02,8
7.200018e-01,7.195751e-03,3.140716e+03,-3.455656e-02,8
7.300013e-01,7.295687e-03,3.105132e+03,-3.500627e-02,8
7.400010e-01,7.395621e-03,3.070222e+03,-3.544604e-02,8
7.500006e-01,7.495556e-03,3.035337e+03,-3.587909e-02,8
7.600002e-01,7.595490e-03,3.001110e+03,-3.631176e-02,8
7.700021e-01,7.695447e-03,2.967126e+03,-3.672825e-02,8
7.800017e-01,7.795382e-03,2.932802e+03,-3.714464e-02,8
7.900013e-01,7.895316e-03,2.897668e+03,-3.756103e-02,10
8.000009e-01,7.995250e-03,2.858986e+03,-3.797742e-02,10
8.100005e-01,8.095185e-03,2.815195e+03,-3.839381e-02,10
8.200002e-01,8.195120e-03,2.763208e+03,-3.881620e-02,10
8.300020e-01,8.295075e-03,2.701503e+03,-3.924935e-02,12
8.400016e-01,8.395010e-03,2.640640e+03,-3.966830e-02,12
8.500013e-01,8.494944e-03,2.588295e+03,-4.006910e-02,12
8.600009e-01,8.594880e-03,2.542714e+03,-4.045252e-02,12
8.700005e-01,8.694815e-03,2.503876e+03,-4.082571e-02,14
8.800001e-01,8.794749e-03,2.467720e+03,-4.119213e-02,14
8.900020e-01,8.894707e-03,2.434534e+03,-4.155864e-02,14
