Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-2.610109e+00,0.000000e+00,0
1.000027e-02,1.000054e-04,4.846322e+02,-2.136357e-05,0
2.000055e-02,1.999997e-04,9.689465e+02,-6.063459e-05,0
3.000082e-02,3.000086e-04,1.452814e+03,-1.097302e-04,0
4.000109e-02,4.000443e-04,1.936441e+03,-1.689703e-04,0
5.000136e-02,5.000799e-04,2.419613e+03,-2.431685e-04,0
6.000164e-02,6.001157e-04,2.902124e+03,-3.377636e-04,0
7.000191e-02,7.001515e-04,3.383656e+03,-4.616701e-04,0
8.000218e-02,8.001871e-04,3.863062e+03,-6.323930e-04,1
9.000245e-02,9.002227e-04,4.327298e+03,-8.894171e-04,1
1.000027e-01,1.000258e-03,4.472623e+03,-3.595186e-04,1
1.100030e-01,1.100294e-03,4.423239e+03,2.106804e-03,1
1.200002e-01,1.200299e-03,3.893063e+03,6.479897e-03,1
1.300005e-01,1.300335e-03,3.797873e+03,8.029817e-03,3
1.400008e-01,1.400371e-03,3.271142e+03,1.056503e-02,3
1.500011e-01,1.500406e-03,2.990977e+03,1.220831e-02,3
1.600013e-01,1.600442e-03,2.847756e+03,1.341541e-02,3
1.700016e-01,1.700478e-03,2.780399e+03,1.441812e-02,3
1.800019e-01,1.800514e-03,2.751043e+03,1.531647e-02,3
1.900022e-01,1.900549e-03,2.732919e+03,1.616984e-02,3
2.000024e-01,2.000585e-03,2.720010e+03,1.699744e-02,5
2.100027e-01,2.100621e-03,2.697333e+03,1.784705e-02,5
2.200030e-01,2.200657e-03,2.574698e+03,1.900665e-02,7
2.300002e-01,2.300662e-03,2.256624e+03,2.071766e-02,7
2.400005e-01,2.400697e-03,2.048899e+03,2.205121e-02,11
2.500008e-01,2.500733e-03,1.896075e+03,2.320041e-02,11
2.600010e-01,2.600768e-03,1.712712e+03,2.438832e-02,11
2.700013e-01,2.700804e-03,1.446595e+03,2.572011e-02,11
2.800016e-01,2.800840e-03,1.268127e+03,2.681115e-02,11
2.900019e-01,2.900875e-03,1.190972e+03,2.766746e-02,13
3.000021e-01,3.000911e-03,1.133124e+03,2.847534e-02,13
3.100024e-01,3.100947e-03,1.030535e+03,2.937076e-02,13
3.200027e-01,3.200983e-03,8.250375e+02,3.045559e-02,13
3.300029e-01,3.301018e-03,7.046143e+02,3.133794e-02,13
3.400002e-01,3.401023e-03,6.797598e+02,3.202324e-02,13
3.500005e-01,3.501059e-03,6.747022e+02,3.266272e-02,13
3.600007e-01,3.601094e-03,6.789552e+02,3.327933e-02,13
3.700010e-01,3.701130e-03,6.903661e+02,3.387704e-02,13
3.800013e-01,3.801165e-03,7.060395e+02,3.446383e-02,15
3.900016e-01,3.901201e-03,7.234725e+02,3.504249e-02,17
4.000018e-01,4.001236e-03,7.346857e+02,3.563562e-02,17
4.100021e-01,4.101272e-03,7.088892e+02,3.632074e-02,17
4.200024e-01,4.201308e-03,5.766248e+02,3.724717e-02,17
4.300027e-01,4.301344e-03,3.967437e+02,3.826070e-02,17
4.400029e-01,4.401379e-03,2.915216e+02,3.911048e-02,17
4.500002e-01,4.501385e-03,2.439679e+02,3.983575e-02,17
4.600004e-01,4.601421e-03,2.214081e+02,4.049716e-02,17
4.700007e-01,4.701457e-03,2.094622e+02,4.113110e-02,17
4.800010e-01,4.801492e-03,2.036789e+02,4.174855e-02,17
4.900013e-01,4.901527e-03,2.024058e+02,4.235185e-02,17
5.000015e-01,5.001563e-03,2.047563e+02,4.294284e-02,17
