Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,3.086365e+00,0.000000e+00,0
1.000062e-02,1.000032e-04,3.828098e+02,-5.508804e-05,0
2.000124e-02,2.000058e-04,7.654009e+02,-1.190630e-04,0
3.000186e-02,3.000263e-04,1.147696e+03,-1.821901e-04,0
4.000010e-02,4.000661e-04,1.511770e+03,-2.486571e-04,1
5.000072e-02,5.001298e-04,1.555104e+03,1.319159e-04,1
6.000133e-02,6.001143e-04,1.707102e+03,4.241224e-04,1
7.000195e-02,7.000559e-04,1.858180e+03,7.149942e-04,1
8.000019e-02,7.999736e-04,2.006976e+03,1.012254e-03,1
9.000081e-02,8.999152e-04,2.154350e+03,1.299088e-03,3
1.000014e-01,9.998566e-04,2.284520e+03,1.520623e-03,3
1.100020e-01,1.099807e-03,2.355763e+03,1.301788e-03,3
1.200003e-01,1.199969e-03,2.436680e+03,1.200898e-03,3
1.300009e-01,1.300154e-03,2.517306e+03,1.058524e-03,3
1.400015e-01,1.400340e-03,2.598416e+03,9.235895e-04,3
1.500021e-01,1.500526e-03,2.679308e+03,7.866849e-04,3
1.600004e-01,1.600688e-03,2.759686e+03,6.410186e-04,3
1.700010e-01,1.700874e-03,2.839651e+03,4.882173e-04,3
1.800016e-01,1.801060e-03,2.919209e+03,3.294684e-04,3
1.900022e-01,1.901246e-03,2.998222e+03,1.620369e-04,3
2.000005e-01,2.001408e-03,3.076651e+03,-1.474352e-05,3
2.100011e-01,2.101594e-03,3.154533e+03,-2.004596e-04,3
2.200017e-01,2.201780e-03,3.231786e+03,-3.958422e-04,3
2.300023e-01,2.301958e-03,3.308364e+03,-6.020837e-04,3
2.400006e-01,2.401632e-03,3.384218e+03,-8.180669e-04,3
2.500012e-01,2.501329e-03,3.459242e+03,-1.046780e-03,3
2.600018e-01,2.601026e-03,3.533155e+03,-1.297455e-03,3
2.700000e-01,2.700699e-03,3.606047e+03,-1.562310e-03,3
2.800007e-01,2.800396e-03,3.677623e+03,-1.848465e-03,3
2.900013e-01,2.900093e-03,3.748070e+03,-2.149179e-03,3
3.000019e-01,2.999790e-03,3.816987e+03,-2.471516e-03,3
3.100002e-01,3.099464e-03,3.884262e+03,-2.813858e-03,3
3.200008e-01,3.199161e-03,3.949826e+03,-3.177234e-03,3
3.300014e-01,3.298858e-03,4.012720e+03,-3.579501e-03,3
3.400020e-01,3.398556e-03,4.073319e+03,-4.005667e-03,3
3.500002e-01,3.498229e-03,4.131107e+03,-4.462550e-03,3
3.600008e-01,3.597926e-03,4.186231e+03,-4.944026e-03,3
3.700015e-01,3.697623e-03,4.237292e+03,-5.470264e-03,3
3.800021e-01,3.797321e-03,4.284645e+03,-6.029768e-03,3
3.900003e-01,3.896995e-03,4.327987e+03,-6.619482e-03,3
4.000010e-01,3.996692e-03,4.367454e+03,-7.233693e-03,3
4.100016e-01,4.096389e-03,4.402822e+03,-7.868361e-03,3
4.200022e-01,4.196086e-03,4.434371e+03,-8.524315e-03,3
4.300004e-01,4.295760e-03,4.461018e+03,-9.210797e-03,3
4.400010e-01,4.395457e-03,4.484584e+03,-9.899911e-03,3
4.500017e-01,4.495155e-03,4.504951e+03,-1.059343e-02,3
4.600023e-01,4.594852e-03,4.522304e+03,-1.128843e-02,3
4.700005e-01,4.694526e-03,4.537095e+03,-1.198028e-02,3
4.800012e-01,4.794223e-03,4.549469e+03,-1.266830e-02,3
4.900018e-01,4.893920e-03,4.559646e+03,-1.335066e-02,3
5.000000e-01,4.993593e-03,4.568842e+03,-1.401641e-02,3
5.100006e-01,5.093291e-03,4.576987e+03,-1.466397e-02,3
5.200012e-01,5.192988e-03,4.583690e+03,-1.530072e-02,3
5.300019e-01,5.292686e-03,4.589727e+03,-1.592475e-02,3
5.400001e-01,5.392359e-03,4.595087e+03,-1.653770e-02,3
5.500007e-01,5.492056e-03,4.599559e+03,-1.714350e-02,3
5.600013e-01,5.591753e-03,4.603526e+03,-1.773657e-02,3
5.700020e-01,5.691450e-03,4.607018e+03,-1.831946e-02,3
5.800002e-01,5.791123e-03,4.609863e+03,-1.889321e-02,3
5.900008e-01,5.890820e-03,4.612487e+03,-1.945709e-02,3
6.000015e-01,5.990517e-03,4.614788e+03,-2.001033e-02,3
6.100020e-01,6.090214e-03,4.616958e+03,-2.055371e-02,3
6.200003e-01,6.189887e-03,4.619050e+03,-2.108809e-02,3
6.300009e-01,6.289584e-03,4.620688e+03,-2.161414e-02,3
6.400015e-01,6.389281e-03,4.622383e+03,-2.212594e-02,3
6.500021e-01,6.488978e-03,4.623813e+03,-2.263412e-02,3
6.600004e-01,6.588651e-03,4.624740e+03,-2.313546e-02,3
6.700010e-01,6.688349e-03,4.624928e+03,-2.363837e-02,3
6.800016e-01,6.788047e-03,4.624191e+03,-2.414861e-02,3
6.900023e-01,6.887743e-03,4.621021e+03,-2.467902e-02,5
7.000005e-01,6.987417e-03,4.610800e+03,-2.528863e-02,5
7.100011e-01,7.087114e-03,4.583634e+03,-2.610340e-02,5
7.200017e-01,7.186811e-03,4.517042e+03,-2.735365e-02,5
7.300023e-01,7.286509e-03,4.455983e+03,-2.853067e-02,5
7.400005e-01,7.386182e-03,4.413299e+03,-2.948602e-02,5
7.500012e-01,7.485879e-03,4.369403e+03,-3.043497e-02,5
7.600018e-01,7.585575e-03,4.332394e+03,-3.130071e-02,5
7.700000e-01,7.685249e-03,4.296898e+03,-3.213732e-02,5
7.800007e-01,7.784946e-03,4.266436e+03,-3.290948e-02,5
7.900013e-01,7.884642e-03,4.236935e+03,-3.366112e-02,5
8.000019e-01,7.984339e-03,4.209620e+03,-3.438127e-02,5
8.100001e-01,8.084012e-03,4.183586e+03,-3.508097e-02,5
8.200008e-01,8.183710e-03,4.158389e+03,-3.576488e-02,5
8.300014e-01,8.283407e-03,4.134958e+03,-3.642472e-02,5
8.400020e-01,8.383105e-03,4.112348e+03,-3.706729e-02,5
8.500003e-01,8.482778e-03,4.091837e+03,-3.767705e-02,5
8.600008e-01,8.582475e-03,4.071600e+03,-3.827865e-02,5
8.700015e-01,8.682172e-03,4.051951e+03,-3.887000e-02,5
8.800021e-01,8.781869e-03,4.033117e+03,-3.944864e-02,5
8.900003e-01,8.881542e-03,4.014993e+03,-4.001494e-02,5
9.000009e-01,8.981239e-03,3.997604e+03,-4.056873e-02,5
9.100016e-01,9.080936e-03,3.980372e+03,-4.111609e-02,5
9.200022e-01,9.180633e-03,3.963977e+03,-4.165350e-02,5
9.300004e-01,9.280869e-03,3.947597e+03,-4.218509e-02,5
9.400011e-01,9.382520e-03,3.930922e+03,-4.271681e-02,5
9.500017e-01,9.484171e-03,3.914762e+03,-4.323512e-02,5
9.600023e-01,9.585822e-03,3.898304e+03,-4.375120e-02,7
9.700005e-01,9.687450e-03,3.881342e+03,-4.426716e-02,7
9.800012e-01,9.789102e-03,3.864111e+03,-4.478160e-02,7
9.900017e-01,9.890754e-03,3.847438e+03,-4.528204e-02,7
1.000000e+00,9.992381e-03,3.830449e+03,-4.578236e-02,7
