Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,3.644295e+00,0.000000e+00,0
1.000076e-02,1.000108e-04,6.694251e+02,-2.110659e-05,0
2.000151e-02,1.999938e-04,1.338332e+03,-4.351928e-05,0
3.000059e-02,2.999452e-04,2.006643e+03,-6.712351e-05,0
4.000134e-02,3.999134e-04,2.674821e+03,-9.186555e-05,0
5.000042e-02,4.998647e-04,3.342507e+03,-1.177774e-04,0
6.000118e-02,5.999412e-04,4.009935e+03,-1.449526e-04,0
7.000025e-02,7.000658e-04,4.676708e+03,-1.736139e-04,0
8.000101e-02,8.002072e-04,5.343083e+03,-2.040074e-04,0
9.000009e-02,9.003318e-04,5.899170e+03,-1.880086e-04,1
1.000008e-01,1.000473e-03,6.178455e+03,1.645251e-04,1
1.100016e-01,1.100499e-03,6.485042e+03,4.892866e-04,1
1.200007e-01,1.200277e-03,6.798377e+03,7.832123e-04,1
1.300014e-01,1.300071e-03,7.101817e+03,1.096440e-03,1
1.400005e-01,1.399850e-03,7.394498e+03,1.430983e-03,1
1.500013e-01,1.499644e-03,7.678593e+03,1.778463e-03,1
1.600003e-01,1.599423e-03,7.955282e+03,2.133671e-03,1
1.700011e-01,1.699217e-03,8.223207e+03,2.498043e-03,1
1.800002e-01,1.798996e-03,8.479950e+03,2.873446e-03,1
1.900009e-01,1.898791e-03,8.725861e+03,3.255982e-03,1
2.000000e-01,1.998569e-03,8.953767e+03,3.652927e-03,3
2.100008e-01,2.098364e-03,9.146504e+03,4.112228e-03,3
2.200015e-01,2.198158e-03,9.336458e+03,4.552560e-03,3
2.300006e-01,2.297936e-03,9.533100e+03,4.931983e-03,3
2.400014e-01,2.397731e-03,9.701902e+03,5.355435e-03,5
2.500004e-01,2.497510e-03,9.372828e+03,6.869955e-03,3
2.600012e-01,2.597305e-03,9.120107e+03,7.949559e-03,3
2.700002e-01,2.697083e-03,8.913195e+03,8.896369e-03,3
2.800010e-01,2.796878e-03,8.676325e+03,9.850218e-03,3
2.900001e-01,2.896656e-03,8.506569e+03,1.066837e-02,3
3.000008e-01,2.996451e-03,8.345846e+03,1.144791e-02,3
3.100016e-01,3.096247e-03,8.197543e+03,1.218770e-02,3
3.200007e-01,3.196025e-03,8.069616e+03,1.288024e-02,3
3.300014e-01,3.295820e-03,7.954113e+03,1.353993e-02,3
3.400005e-01,3.395598e-03,7.848311e+03,1.417296e-02,3
3.500013e-01,3.495393e-03,7.752375e+03,1.477985e-02,3
3.600003e-01,3.595171e-03,7.663608e+03,1.536573e-02,3
3.700011e-01,3.694966e-03,7.581211e+03,1.593284e-02,3
3.800002e-01,3.794745e-03,7.505579e+03,1.648290e-02,3
3.900009e-01,3.894540e-03,7.435914e+03,1.701610e-02,3
4.000000e-01,3.994318e-03,7.370903e+03,1.753549e-02,3
4.100008e-01,4.094112e-03,7.310653e+03,1.804260e-02,3
4.200015e-01,4.193907e-03,7.255189e+03,1.853599e-02,3
4.300006e-01,4.293685e-03,7.203708e+03,1.901754e-02,3
4.400014e-01,4.393480e-03,7.155033e+03,1.948906e-02,3
4.500004e-01,4.493258e-03,7.109371e+03,1.995131e-02,3
4.600012e-01,4.593052e-03,7.066311e+03,2.040577e-02,3
4.700003e-01,4.692831e-03,7.025567e+03,2.084922e-02,3
4.800010e-01,4.792626e-03,6.987585e+03,2.128586e-02,3
4.900001e-01,4.892403e-03,6.951350e+03,2.171824e-02,3
5.000008e-01,4.992198e-03,6.916997e+03,2.214155e-02,3
5.100016e-01,5.091993e-03,6.884283e+03,2.256290e-02,3
5.200007e-01,5.191770e-03,6.852558e+03,2.297385e-02,3
5.300015e-01,5.291565e-03,6.821104e+03,2.338412e-02,3
5.400005e-01,5.391344e-03,6.787583e+03,2.379432e-02,3
5.500013e-01,5.491140e-03,6.750899e+03,2.420459e-02,3
5.600004e-01,5.590918e-03,6.708562e+03,2.461479e-02,5
5.700011e-01,5.690714e-03,6.659421e+03,2.502506e-02,5
5.800002e-01,5.790493e-03,6.601038e+03,2.543795e-02,5
5.900009e-01,5.890288e-03,6.532325e+03,2.585931e-02,7
6.000000e-01,5.990067e-03,6.456547e+03,2.628059e-02,7
6.100008e-01,6.089862e-03,6.373415e+03,2.670237e-02,9
6.200016e-01,6.189656e-03,6.287084e+03,2.712404e-02,9
6.300006e-01,6.289434e-03,6.198439e+03,2.755641e-02,9
6.400014e-01,6.389230e-03,6.108914e+03,2.798885e-02,9
6.500005e-01,6.489008e-03,6.019877e+03,2.841958e-02,9
6.600012e-01,6.588803e-03,5.935303e+03,2.884094e-02,9
6.700003e-01,6.688581e-03,5.855185e+03,2.925594e-02,9
6.800010e-01,6.788376e-03,5.780331e+03,2.966621e-02,9
6.900001e-01,6.888154e-03,5.708012e+03,3.006546e-02,9
7.000009e-01,6.987949e-03,5.639343e+03,3.046208e-02,9
7.100016e-01,7.087744e-03,5.574571e+03,3.085017e-02,9
7.200007e-01,7.187523e-03,5.512744e+03,3.122904e-02,9
7.300014e-01,7.287318e-03,5.452308e+03,3.160604e-02,9
7.400005e-01,7.387097e-03,5.392831e+03,3.197880e-02,10
7.500013e-01,7.486893e-03,5.333905e+03,3.234472e-02,10
7.600003e-01,7.586671e-03,5.274757e+03,3.271057e-02,10
7.700011e-01,7.686465e-03,5.208090e+03,3.308302e-02,12
7.800002e-01,7.786243e-03,5.127546e+03,3.345997e-02,12
7.900009e-01,7.886037e-03,5.028657e+03,3.384752e-02,12
8.000000e-01,7.985815e-03,4.928147e+03,3.422610e-02,12
8.100008e-01,8.085610e-03,4.833506e+03,3.460311e-02,12
8.200015e-01,8.185406e-03,4.746724e+03,3.497895e-02,12
8.300006e-01,8.285184e-03,4.667987e+03,3.533372e-02,12
8.400013e-01,8.384978e-03,4.596773e+03,3.568855e-02,12
8.500004e-01,8.484757e-03,4.531114e+03,3.603546e-02,12
8.600012e-01,8.584552e-03,4.469134e+03,3.636810e-02,12
8.700003e-01,8.684329e-03,4.412508e+03,3.670069e-02,12
8.800010e-01,8.784123e-03,4.359773e+03,3.703335e-02,12
8.900001e-01,8.883899e-03,4.310023e+03,3.736594e-02,12
9.000009e-01,8.983691e-03,4.264292e+03,3.767943e-02,12
9.100016e-01,9.083485e-03,4.221348e+03,3.798990e-02,12
9.200007e-01,9.183262e-03,4.180379e+03,3.830032e-02,12
9.300014e-01,9.283057e-03,4.141349e+03,3.861080e-02,12
9.400005e-01,9.382835e-03,4.104781e+03,3.892123e-02,12
9.500013e-01,9.482631e-03,4.071656e+03,3.923170e-02,12
9.600003e-01,9.582410e-03,4.041592e+03,3.953257e-02,12
9.700011e-01,9.682206e-03,4.013210e+03,3.982086e-02,12
9.800002e-01,9.781982e-03,3.986917e+03,4.010911e-02,12
9.900010e-01,9.881778e-03,3.961795e+03,4.039741e-02,12
1.000000e+00,9.981555e-03,3.938229e+03,4.068565e-02,12
