Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,3.524703e+00,0.000000e+00,0
1.000082e-02,1.000112e-04,6.151981e+02,-2.218417e-05,0
2.000164e-02,2.000245e-04,1.230634e+03,-4.515221e-05,0
3.000018e-02,2.999919e-04,1.845241e+03,-6.932853e-05,0
4.000100e-02,3.999413e-04,2.459759e+03,-9.453847e-05,0
5.000183e-02,4.998908e-04,3.074002e+03,-1.207696e-04,0
6.000036e-02,5.999094e-04,3.687929e+03,-1.481055e-04,0
7.000118e-02,6.999865e-04,4.301580e+03,-1.766680e-04,0
8.000201e-02,8.000637e-04,4.914883e+03,-2.065390e-04,0
9.000055e-02,9.001180e-04,5.527726e+03,-2.378261e-04,0
1.000014e-01,1.000195e-03,6.140327e+03,-2.706975e-04,0
1.100022e-01,1.100272e-03,6.752552e+03,-3.054357e-04,0
1.200007e-01,1.200327e-03,7.356334e+03,-3.413494e-04,1
1.300015e-01,1.300404e-03,7.541654e+03,9.673243e-05,1
1.400001e-01,1.400458e-03,7.802811e+03,5.141932e-04,1
1.500009e-01,1.500535e-03,8.066272e+03,9.088813e-04,1
1.600017e-01,1.600613e-03,8.326830e+03,1.305403e-03,1
1.700003e-01,1.700667e-03,8.576496e+03,1.725614e-03,1
1.800011e-01,1.800744e-03,8.818761e+03,2.155935e-03,1
1.900019e-01,1.900821e-03,9.053029e+03,2.597997e-03,1
2.000005e-01,2.000875e-03,9.279102e+03,3.050704e-03,1
2.100013e-01,2.100952e-03,9.497282e+03,3.512842e-03,1
2.200021e-01,2.201029e-03,9.706023e+03,3.986917e-03,1
2.300006e-01,2.301084e-03,9.907339e+03,4.468905e-03,1
2.400015e-01,2.401161e-03,1.010138e+04,4.955775e-03,1
2.500000e-01,2.501215e-03,1.028758e+04,5.448576e-03,1
2.600008e-01,2.601292e-03,1.046393e+04,5.950039e-03,1
2.700016e-01,2.701370e-03,1.061469e+04,6.486658e-03,1
2.800002e-01,2.801424e-03,1.036966e+04,7.687614e-03,3
2.900010e-01,2.901501e-03,9.728020e+03,9.452136e-03,3
3.000018e-01,3.001578e-03,9.297051e+03,1.077276e-02,3
3.100004e-01,3.101632e-03,8.948227e+03,1.190615e-02,3
3.200012e-01,3.201710e-03,8.643516e+03,1.292655e-02,3
3.300020e-01,3.301786e-03,8.385793e+03,1.384183e-02,3
3.400005e-01,3.401841e-03,8.188782e+03,1.465119e-02,3
3.500014e-01,3.501918e-03,8.029300e+03,1.539422e-02,3
3.600022e-01,3.601994e-03,7.890051e+03,1.609582e-02,3
3.700007e-01,3.702049e-03,7.766719e+03,1.676266e-02,3
3.800015e-01,3.802126e-03,7.655411e+03,1.740284e-02,3
3.900001e-01,3.902180e-03,7.555947e+03,1.801748e-02,3
4.000009e-01,4.002257e-03,7.466385e+03,1.860892e-02,3
4.100017e-01,4.102334e-03,7.384296e+03,1.918278e-02,3
4.200003e-01,4.202389e-03,7.309606e+03,1.973999e-02,3
4.300011e-01,4.302465e-03,7.241699e+03,2.028241e-02,3
4.400019e-01,4.402543e-03,7.180804e+03,2.080848e-02,3
4.500005e-01,4.502597e-03,7.125413e+03,2.132076e-02,3
4.600013e-01,4.602674e-03,7.075134e+03,2.182198e-02,3
