Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.530760e+00,0.000000e+00,0
1.000107e-02,1.000104e-04,4.602538e+02,-2.646199e-05,0
2.000213e-02,2.000208e-04,9.205360e+02,-5.417409e-05,0
3.000088e-02,3.000081e-04,1.380346e+03,-8.233919e-05,0
4.000195e-02,4.000185e-04,1.840070e+03,-1.125570e-04,0
5.000070e-02,5.000058e-04,2.299414e+03,-1.435169e-04,0
6.000176e-02,6.000162e-04,2.758670e+03,-1.759991e-04,0
7.000051e-02,7.000035e-04,3.217544e+03,-2.096623e-04,0
8.000158e-02,8.000140e-04,3.676319e+03,-2.449802e-04,0
9.000032e-02,9.000014e-04,4.134598e+03,-2.820198e-04,0
1.000014e-01,1.000012e-03,4.564900e+03,-3.125921e-04,1
1.100001e-01,1.099999e-03,4.670939e+03,1.032994e-04,1
1.200012e-01,1.200009e-03,4.876604e+03,4.296014e-04,1
1.300023e-01,1.300020e-03,5.079794e+03,7.584283e-04,1
1.400010e-01,1.400007e-03,5.284500e+03,1.074201e-03,1
1.500021e-01,1.500018e-03,5.487072e+03,1.394017e-03,1
1.600008e-01,1.600005e-03,5.685227e+03,1.726632e-03,1
1.700019e-01,1.700016e-03,5.878979e+03,2.070947e-03,1
1.800006e-01,1.800003e-03,6.068519e+03,2.424176e-03,1
1.900017e-01,1.900013e-03,6.253980e+03,2.784861e-03,1
2.000005e-01,2.000000e-03,6.434871e+03,3.152161e-03,1
2.100015e-01,2.100011e-03,6.610649e+03,3.522863e-03,1
2.200003e-01,2.200407e-03,6.779842e+03,3.886308e-03,3
2.300013e-01,2.300921e-03,6.937303e+03,4.199416e-03,3
2.400001e-01,2.401411e-03,7.069280e+03,4.307581e-03,3
2.500012e-01,2.501924e-03,7.175373e+03,4.088597e-03,3
2.600022e-01,2.602437e-03,7.274128e+03,3.760020e-03,3
2.700010e-01,2.702927e-03,7.369239e+03,3.368638e-03,3
2.800021e-01,2.803440e-03,7.456550e+03,2.829442e-03,3
2.900008e-01,2.903930e-03,7.530928e+03,2.082224e-03,3
3.000019e-01,3.004443e-03,7.581225e+03,9.998119e-04,3
3.100006e-01,3.104932e-03,7.580079e+03,-6.595098e-04,3
3.200017e-01,3.205445e-03,7.482098e+03,-3.102421e-03,3
3.300004e-01,3.305935e-03,7.353049e+03,-5.359891e-03,3
3.400015e-01,3.406448e-03,7.317492e+03,-6.553855e-03,3
3.500002e-01,3.506938e-03,7.254857e+03,-7.857724e-03,3
3.600013e-01,3.607451e-03,7.226927e+03,-8.824303e-03,3
3.700001e-01,3.707941e-03,7.195063e+03,-9.766559e-03,3
3.800011e-01,3.808454e-03,7.172923e+03,-1.059628e-02,3
3.900022e-01,3.908966e-03,7.156314e+03,-1.136242e-02,3
4.000009e-01,4.009455e-03,7.141691e+03,-1.208938e-02,3
4.100020e-01,4.109968e-03,7.129782e+03,-1.277414e-02,3
4.200008e-01,4.210459e-03,7.120768e+03,-1.342086e-02,3
4.300018e-01,4.310972e-03,7.114129e+03,-1.403853e-02,3
4.400006e-01,4.411460e-03,7.109542e+03,-1.463088e-02,3
4.500016e-01,4.511973e-03,7.105817e+03,-1.520495e-02,3
4.600004e-01,4.612463e-03,7.103193e+03,-1.576119e-02,3
4.700015e-01,4.712976e-03,7.102367e+03,-1.629087e-02,3
4.800002e-01,4.813465e-03,7.102037e+03,-1.680745e-02,3
4.900013e-01,4.913978e-03,7.101576e+03,-1.731919e-02,3
5.000000e-01,5.014468e-03,7.100401e+03,-1.782566e-02,3
5.100011e-01,5.114981e-03,7.096492e+03,-1.833848e-02,3
5.200021e-01,5.215494e-03,7.075067e+03,-1.894290e-02,5
5.300009e-01,5.315985e-03,6.923059e+03,-2.024827e-02,5
5.400020e-01,5.416498e-03,6.638019e+03,-2.221943e-02,5
5.500007e-01,5.516989e-03,6.523254e+03,-2.326128e-02,5
5.600018e-01,5.617502e-03,6.406035e+03,-2.429640e-02,5
5.700005e-01,5.717992e-03,6.304635e+03,-2.522713e-02,5
5.800016e-01,5.818505e-03,6.220882e+03,-2.605369e-02,5
5.900003e-01,5.918995e-03,6.146606e+03,-2.682408e-02,5
6.000014e-01,6.019508e-03,6.079235e+03,-2.755235e-02,5
6.100001e-01,6.119997e-03,6.017292e+03,-2.824631e-02,5
6.200012e-01,6.220510e-03,5.959859e+03,-2.891146e-02,5
6.300000e-01,6.321000e-03,5.907714e+03,-2.953720e-02,5
6.400011e-01,6.421512e-03,5.856955e+03,-3.014882e-02,5
6.500021e-01,6.522026e-03,5.806027e+03,-3.075061e-02,5
6.600009e-01,6.622517e-03,5.754878e+03,-3.134274e-02,7
6.700019e-01,6.723030e-03,5.704563e+03,-3.192135e-02,7
6.800007e-01,6.823518e-03,5.655862e+03,-3.248493e-02,7
6.900017e-01,6.924032e-03,5.609435e+03,-3.303413e-02,7
7.000005e-01,7.024521e-03,5.565791e+03,-3.356525e-02,6
7.100015e-01,7.125034e-03,5.524296e+03,-3.407988e-02,6
7.200003e-01,7.225523e-03,5.484730e+03,-3.458010e-02,6
7.300014e-01,7.326035e-03,5.446787e+03,-3.507056e-02,6
7.400001e-01,7.426525e-03,5.410080e+03,-3.555167e-02,6
7.500012e-01,7.527038e-03,5.373844e+03,-3.601805e-02,6
7.600023e-01,7.627550e-03,5.336397e+03,-3.648444e-02,6
7.700010e-01,7.728040e-03,5.293902e+03,-3.695996e-02,8
7.800021e-01,7.828553e-03,5.242903e+03,-3.744243e-02,8
7.900008e-01,7.929043e-03,5.188438e+03,-3.792478e-02,8
8.000019e-01,8.029555e-03,5.135623e+03,-3.839628e-02,8
8.100006e-01,8.130045e-03,5.085357e+03,-3.885547e-02,8
8.200017e-01,8.230558e-03,5.037721e+03,-3.930523e-02,8
8.300005e-01,8.331047e-03,4.992772e+03,-3.973934e-02,8
8.400015e-01,8.431560e-03,4.950234e+03,-4.016050e-02,8
8.500003e-01,8.532049e-03,4.910131e+03,-4.057854e-02,8
8.600013e-01,8.632562e-03,4.872604e+03,-4.098209e-02,8
8.700001e-01,8.733053e-03,4.837091e+03,-4.138405e-02,8
8.800011e-01,8.833566e-03,4.804151e+03,-4.177659e-02,8
8.900022e-01,8.934078e-03,4.772765e+03,-4.216256e-02,8
9.000009e-01,9.034568e-03,4.743190e+03,-4.254844e-02,8
9.100020e-01,9.135082e-03,4.715695e+03,-4.292777e-02,8
9.200008e-01,9.235572e-03,4.689746e+03,-4.329757e-02,8
9.300019e-01,9.336086e-03,4.664653e+03,-4.366746e-02,8
9.400006e-01,9.436576e-03,4.640837e+03,-4.403726e-02,8
9.500017e-01,9.537087e-03,4.619059e+03,-4.439456e-02,8
9.600004e-01,9.637576e-03,4.598351e+03,-4.474828e-02,8
9.700015e-01,9.738089e-03,4.578319e+03,-4.510207e-02,8
9.800002e-01,9.838576e-03,4.558787e+03,-4.545579e-02,8
9.900013e-01,9.939088e-03,4.540510e+03,-4.580960e-02,8
1.000000e+00,1.003958e-02,4.523429e+03,-4.615419e-02,8
