    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63
    	Angle ->    	 3.34123e-09	 1.96346e-01	 3.92718e-01	 5.89046e-01	 7.85398e-01	 9.81750e-01	 1.17808e+00	 1.37445e+00	 1.57080e+00	 1.76714e+00	 1.96351e+00	 2.15984e+00	 2.35619e+00	 2.55255e+00	 2.74887e+00	 2.94525e+00	 3.14159e+00	 3.33794e+00	 3.53431e+00	 3.73064e+00	 3.92699e+00	 4.12334e+00	 4.31967e+00	 4.51604e+00	 4.71239e+00	 4.90873e+00	 5.10511e+00	 5.30144e+00	 5.49779e+00	 5.69414e+00	 5.89047e+00	 6.08684e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000007e-01	 0.00000e+00	 4.42709e-05	 1.12047e-04	 1.57655e-04	 9.60704e-05	 1.03010e-05	-1.47263e-05	-1.01706e-04	-4.82924e-05	-1.07808e-04	-4.43071e-05	-5.41140e-05	-2.70901e-05	-2.19422e-06	-1.09111e-05	 7.22918e-06	-1.40847e-08	-7.26121e-06	 1.08734e-05	 2.13025e-06	 2.70358e-05	 5.40301e-05	 4.42600e-05	 1.07758e-04	 4.82929e-05	 1.01739e-04	 1.47703e-05	-1.02046e-05	-9.60036e-05	-1.57579e-04	-1.12015e-04	-4.42596e-05
U  1	1.000007e-01	 9.99909e-04	 5.80657e-04	 2.65257e-04	 7.84917e-05	 5.81818e-05	 6.60823e-05	 4.56904e-05	 6.48139e-05	 6.10310e-05	 5.17314e-05	 5.51005e-05	 1.63796e-05	-2.01446e-06	-1.80070e-05	-6.87972e-05	-3.31086e-05	-9.72998e-05	-3.31285e-05	-6.88530e-05	-1.80554e-05	-2.09194e-06	 1.63294e-05	 5.50486e-05	 5.17030e-05	 6.10140e-05	 6.47953e-05	 4.56515e-05	 6.60357e-05	 5.80876e-05	 7.84250e-05	 2.65174e-04	 5.80630e-04
U  2	1.000007e-01	-6.70436e-03	-6.15690e-03	-4.65796e-03	-2.48980e-03	-2.35292e-05	 2.33932e-03	 4.24391e-03	 5.42455e-03	 5.74020e-03	 5.17974e-03	 3.86450e-03	 2.01213e-03	-9.35121e-05	-2.14442e-03	-3.85105e-03	-4.97882e-03	-5.37180e-03	-4.98003e-03	-3.85300e-03	-2.14721e-03	-9.67055e-05	 2.00904e-03	 3.86182e-03	 5.17809e-03	 5.73964e-03	 5.42554e-03	 4.24635e-03	 2.34272e-03	-1.97645e-05	-2.48622e-03	-4.65527e-03	-6.15541e-03
UR 0	1.000007e-01	 3.83561e-02	 3.78140e-02	 3.62510e-02	 3.33885e-02	 2.88267e-02	 2.25664e-02	 1.48785e-02	 6.35684e-03	-2.23479e-03	-1.01702e-02	-1.69221e-02	-2.22151e-02	-2.60161e-02	-2.85377e-02	-3.00328e-02	-3.07915e-02	-3.10332e-02	-3.07947e-02	-3.00390e-02	-2.85470e-02	-2.60285e-02	-2.22309e-02	-1.69405e-02	-1.01911e-02	-2.25803e-03	 6.33140e-03	 1.48543e-02	 2.25447e-02	 2.88088e-02	 3.33759e-02	 3.62432e-02	 3.78099e-02
UR 1	1.000007e-01	 1.31637e-05	-1.10122e-02	-1.97655e-02	-2.64225e-02	-3.07536e-02	-3.31128e-02	-3.41536e-02	-3.43539e-02	-3.39247e-02	-3.30104e-02	-3.13802e-02	-2.88233e-02	-2.51543e-02	-2.02503e-02	-1.42348e-02	-7.35508e-03	-9.83248e-06	 7.33590e-03	 1.42164e-02	 2.02330e-02	 2.51385e-02	 2.88088e-02	 3.13684e-02	 3.30015e-02	 3.39205e-02	 3.43547e-02	 3.41592e-02	 3.31237e-02	 3.07687e-02	 2.64414e-02	 1.97882e-02	 1.10378e-02
UR 2	1.000007e-01	-1.34424e-07	-7.83446e-03	-3.60784e-03	-1.08111e-03	 1.32960e-03	 1.95486e-04	 7.80500e-04	 6.88098e-05	 1.76546e-04	 4.36091e-04	-1.97407e-04	 6.17152e-04	-4.06856e-04	 5.05911e-04	-3.09406e-04	 1.96545e-04	-6.16435e-08	-1.96179e-04	 3.09388e-04	-5.05645e-04	 4.07069e-04	-6.17038e-04	 1.97780e-04	-4.36031e-04	-1.76008e-04	-6.90428e-05	-7.79770e-04	-1.95351e-04	-1.32934e-03	 1.08155e-03	 3.60798e-03	 7.83539e-03
U  0	2.000013e-01	 0.00000e+00	 6.24193e-05	 1.47521e-04	 2.17010e-04	 7.14548e-05	-1.20258e-04	-1.95514e-04	-3.60487e-04	-2.53754e-04	-3.26919e-04	-1.79111e-04	-1.53841e-04	-7.36727e-05	-7.91743e-06	-1.07968e-05	 1.83721e-05	-3.54850e-08	-1.84477e-05	 1.07171e-05	 7.80446e-06	 7.35584e-05	 1.53703e-04	 1.79010e-04	 3.26830e-04	 2.53738e-04	 3.60536e-04	 1.95622e-04	 1.20432e-04	-7.13017e-05	-2.16864e-04	-1.47448e-04	-6.24065e-05
U  1	2.000013e-01	 1.99981e-03	 1.39244e-03	 8.06789e-04	 3.02703e-04	 1.40006e-04	 7.51414e-05	 4.51568e-06	 3.23282e-05	 3.10545e-05	 1.90949e-05	 2.10452e-05	-5.60484e-05	-1.04007e-04	-1.47167e-04	-2.44301e-04	-1.95715e-04	-3.02327e-04	-1.95755e-04	-2.44385e-04	-1.47270e-04	-1.04138e-04	-5.61596e-05	 2.09403e-05	 1.90103e-05	 3.09829e-05	 3.22566e-05	 4.40892e-06	 7.50083e-05	 1.39817e-04	 3.02520e-04	 8.06584e-04	 1.39233e-03
U  2	2.000013e-01	-1.41550e-02	-1.30241e-02	-9.91477e-03	-5.49002e-03	-5.87365e-04	 3.96637e-03	 7.50253e-03	 9.58392e-03	 1.00397e-02	 8.94053e-03	 6.58008e-03	 3.38723e-03	-1.43543e-04	-3.50673e-03	-6.26188e-03	-8.06155e-03	-8.68507e-03	-8.06253e-03	-6.26299e-03	-3.50923e-03	-1.46246e-04	 3.38453e-03	 6.57815e-03	 8.93863e-03	 1.00387e-02	 9.58454e-03	 7.50509e-03	 3.96974e-03	-5.83836e-04	-5.48654e-03	-9.91190e-03	-1.30228e-02
UR 0	2.000013e-01	 7.85887e-02	 7.73949e-02	 7.37967e-02	 6.67953e-02	 5.61407e-02	 4.22849e-02	 2.62416e-02	 9.61975e-03	-5.98720e-03	-1.93726e-02	-2.99794e-02	-3.77865e-02	-4.31371e-02	-4.66438e-02	-4.87621e-02	-4.98703e-02	-5.02597e-02	-4.98724e-02	-4.87665e-02	-4.66509e-02	-4.31473e-02	-3.77997e-02	-2.99945e-02	-1.93895e-02	-6.00873e-03	 9.59443e-03	 2.62171e-02	 4.22630e-02	 5.61226e-02	 6.67829e-02	 7.37892e-02	 7.73909e-02
