Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,1.356937e+00,0.000000e+00,0
1.000235e-02,1.000271e-04,4.327799e+02,-8.348426e-05,0
2.000226e-02,2.000186e-04,8.650316e+02,-1.751381e-04,0
3.000216e-02,3.000007e-04,1.295863e+03,-3.018184e-04,0
4.000206e-02,3.999828e-04,1.725538e+03,-4.485143e-04,0
5.000196e-02,4.999650e-04,2.152530e+03,-6.481455e-04,0
6.000186e-02,5.999472e-04,2.575982e+03,-9.057295e-04,0
7.000177e-02,6.999293e-04,2.991844e+03,-1.270662e-03,0
8.000167e-02,7.999114e-04,3.393701e+03,-1.783881e-03,0
9.000157e-02,8.998936e-04,3.766271e+03,-2.520990e-03,0
1.000015e-01,9.998756e-04,3.906038e+03,-3.979128e-03,2
1.100014e-01,1.099973e-03,2.267837e+03,-9.649058e-03,2
1.200013e-01,1.200193e-03,2.520769e+03,-9.748200e-03,2
1.300012e-01,1.300413e-03,2.406663e+03,-1.077477e-02,2
1.400011e-01,1.400632e-03,2.147306e+03,-1.211652e-02,2
1.500010e-01,1.500852e-03,2.102218e+03,-1.290817e-02,2
1.600009e-01,1.601072e-03,2.108375e+03,-1.355626e-02,2
1.700008e-01,1.701291e-03,2.064155e+03,-1.430469e-02,2
1.800007e-01,1.801511e-03,2.060634e+03,-1.494929e-02,2
1.900006e-01,1.901730e-03,2.034262e+03,-1.562755e-02,2
2.000005e-01,2.001950e-03,2.020563e+03,-1.626832e-02,2
2.100004e-01,2.101957e-03,1.998110e+03,-1.691604e-02,2
2.200003e-01,2.201701e-03,1.935631e+03,-1.764772e-02,4
2.300002e-01,2.301446e-03,1.781926e+03,-1.857917e-02,6
2.400001e-01,2.401191e-03,1.648451e+03,-1.944752e-02,6
2.500000e-01,2.500935e-03,1.527014e+03,-2.027247e-02,6
2.600023e-01,2.600705e-03,1.391321e+03,-2.110642e-02,8
2.700022e-01,2.700450e-03,9.930580e+02,-2.239983e-02,8
2.800021e-01,2.800195e-03,1.061476e+02,-2.424608e-02,14
2.900020e-01,2.899939e-03,3.524935e+02,-2.077638e-02,20
3.000019e-01,2.999684e-03,-9.159388e+02,-2.416747e-02,16
3.100019e-01,3.099428e-03,-4.391579e+02,-2.447083e-02,16
3.200018e-01,3.199173e-03,-6.453325e+02,-2.516940e-02,16
3.300017e-01,3.298918e-03,-4.185634e+02,-2.533551e-02,16
