,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_time,sim_type,sim_u2,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle,wheel_type
cheap_MTB_0.00,0.05,0.05,0.03,0.03,cheap_MTB_0.00,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,0.0,0.0,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.00.pkl,cheap_MTB
cheap_MTB_0.10,0.05,0.05,0.03,0.03,cheap_MTB_0.10,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,129.50643288296018,0.1,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.10.pkl,cheap_MTB
cheap_MTB_0.20,0.05,0.05,0.03,0.03,cheap_MTB_0.20,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,259.01286576592037,0.2,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.20.pkl,cheap_MTB
cheap_MTB_0.30,0.05,0.05,0.03,0.03,cheap_MTB_0.30,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,388.51929864888046,0.3,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.30.pkl,cheap_MTB
cheap_MTB_0.40,0.05,0.05,0.03,0.03,cheap_MTB_0.40,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,518.0257315318407,0.4,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.40.pkl,cheap_MTB
cheap_MTB_0.50,0.05,0.05,0.03,0.03,cheap_MTB_0.50,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,647.5321644148008,0.5,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.50.pkl,cheap_MTB
cheap_MTB_0.60,0.05,0.05,0.03,0.03,cheap_MTB_0.60,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,777.0385972977609,0.6,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.60.pkl,cheap_MTB
cheap_MTB_0.70,0.05,0.05,0.03,0.03,cheap_MTB_0.70,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,906.5450301807211,0.7,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.70.pkl,cheap_MTB
cheap_MTB_0.80,0.05,0.05,0.03,0.03,cheap_MTB_0.80,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,1036.0514630636815,0.8,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.80.pkl,cheap_MTB
cheap_MTB_0.90,0.05,0.05,0.03,0.03,cheap_MTB_0.90,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,1165.5578959466416,0.9,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.90.pkl,cheap_MTB
cheap_MTB_0.95,0.05,0.05,0.03,0.03,cheap_MTB_0.95,4.6153846153846154e-10,2.898550724637681e-09,2.898550724637681e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.28,26000000000.0,69000000000.0,1.0,exp,auto,1230.3111123881215,0.95,0.001414213562373095,truss,64.0,1.0,210000000000.0,cheap_MTB_0.95.pkl,cheap_MTB
vintage_road_0.00,0.05,0.05,0.025,0.025,vintage_road_0.00,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.315,26000000000.0,69000000000.0,1.0,exp,auto,0.0,0.0,0.0012727922061357853,truss,72.0,1.0,210000000000.00003,vintage_road_0.00.pkl,vintage_road
vintage_road_0.10,0.05,0.05,0.025,0.025,vintage_road_0.10,5.769230769230769e-10,2.173913043478261e-09,2.173913043478261e-09,0.0,0.0001,"[1e-05, 1e-05, 1e-05]",0.315,26000000000.0,69000000000.0,1.0,exp,auto,76.58392597869981,0.1,0.0012727922061357853,truss,72.0,1.0,210000000000.00003,vintage_road_0.10.pkl,vintage_road
