Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-4.646170e+00,0.000000e+00,0
1.000175e-02,1.057579e-04,6.387328e+02,1.412019e-06,0
2.000350e-02,2.115303e-04,1.278390e+03,2.869586e-06,0
3.000168e-02,3.172522e-04,1.918021e+03,4.413267e-06,0
4.000343e-02,4.229894e-04,2.558045e+03,6.021520e-06,0
5.000161e-02,5.286888e-04,3.197962e+03,7.694712e-06,0
6.000336e-02,6.344260e-04,3.838250e+03,9.461028e-06,0
7.000154e-02,7.401254e-04,4.478391e+03,1.131407e-05,0
8.000329e-02,8.458626e-04,5.118938e+03,1.326643e-05,0
9.000146e-02,9.515620e-04,5.759374e+03,1.537616e-05,0
1.000032e-01,1.057299e-03,6.400284e+03,1.757849e-05,0
1.100014e-01,1.163123e-03,7.041118e+03,2.002585e-05,0
1.200031e-01,1.269023e-03,7.682187e+03,2.256300e-05,0
1.300013e-01,1.374885e-03,8.323334e+03,2.500751e-05,0
1.400031e-01,1.480786e-03,8.964763e+03,2.762890e-05,0
1.500013e-01,1.586648e-03,9.605951e+03,3.042399e-05,0
1.600030e-01,1.692548e-03,1.024754e+04,3.364029e-05,0
1.700012e-01,1.798410e-03,1.088925e+04,3.714614e-05,0
1.800029e-01,1.904310e-03,1.153154e+04,4.035307e-05,0
1.900011e-01,2.010173e-03,1.217382e+04,4.369084e-05,0
2.000029e-01,2.116073e-03,1.281633e+04,4.731971e-05,0
2.100010e-01,2.221751e-03,1.345865e+04,5.130337e-05,0
2.200028e-01,2.327325e-03,1.410121e+04,5.554060e-05,0
2.300010e-01,2.432862e-03,1.474372e+04,6.016737e-05,0
2.400027e-01,2.538437e-03,1.538663e+04,6.482207e-05,0
2.500009e-01,2.643973e-03,1.602978e+04,6.927855e-05,0
2.600026e-01,2.749548e-03,1.667313e+04,7.413686e-05,0
2.700008e-01,2.855084e-03,1.731637e+04,7.944487e-05,0
2.800026e-01,2.960658e-03,1.795997e+04,8.530381e-05,0
2.900007e-01,3.066195e-03,1.860382e+04,9.148222e-05,0
3.000025e-01,3.171769e-03,1.924783e+04,9.801954e-05,0
3.100007e-01,3.277306e-03,1.989155e+04,1.049377e-04,0
3.200024e-01,3.382880e-03,2.053661e+04,1.122046e-04,0
3.300006e-01,3.488417e-03,2.118234e+04,1.197474e-04,0
3.400024e-01,3.593992e-03,2.182805e+04,1.276498e-04,0
3.500005e-01,3.699528e-03,2.247342e+04,1.359314e-04,0
3.600023e-01,3.805102e-03,2.311912e+04,1.455066e-04,0
3.700005e-01,3.910639e-03,2.376469e+04,1.563061e-04,0
3.800022e-01,4.016213e-03,2.441095e+04,1.683516e-04,0
3.900004e-01,4.121749e-03,2.505764e+04,1.802523e-04,0
4.000022e-01,4.227323e-03,2.570524e+04,1.938750e-04,0
4.100003e-01,4.332860e-03,2.635238e+04,2.210827e-04,0
4.200021e-01,4.438435e-03,2.699989e+04,2.497983e-04,0
4.300002e-01,4.543972e-03,2.764733e+04,2.826272e-04,0
4.400020e-01,4.649546e-03,2.829521e+04,3.215751e-04,0
4.500002e-01,4.755082e-03,2.894254e+04,3.784120e-04,0
4.600019e-01,4.860656e-03,2.959022e+04,4.449686e-04,0
4.700001e-01,4.966192e-03,3.023734e+04,5.374724e-04,0
4.800019e-01,5.071766e-03,3.088371e+04,6.749438e-04,0
4.900000e-01,5.177302e-03,3.152735e+04,8.839245e-04,0
5.000018e-01,5.282877e-03,3.216393e+04,1.247613e-03,0
5.100000e-01,5.388413e-03,3.277664e+04,1.941561e-03,0
5.200017e-01,5.493987e-03,3.331293e+04,3.299210e-03,0
5.300035e-01,5.599561e-03,3.369765e+04,5.302164e-03,0
5.400016e-01,5.705097e-03,3.406357e+04,6.831316e-03,0
5.500034e-01,5.810671e-03,3.440195e+04,8.198457e-03,0
5.600016e-01,5.916208e-03,3.473100e+04,9.407813e-03,0
5.700033e-01,6.021782e-03,3.505618e+04,1.049869e-02,0
5.800015e-01,6.127319e-03,3.537518e+04,1.150888e-02,0
5.900033e-01,6.232894e-03,3.568856e+04,1.245920e-02,0
6.000015e-01,6.338430e-03,3.599773e+04,1.335699e-02,0
6.100032e-01,6.444004e-03,3.630259e+04,1.421501e-02,0
6.200014e-01,6.549540e-03,3.660171e+04,1.504115e-02,0
6.300031e-01,6.655114e-03,3.689650e+04,1.583762e-02,0
6.400013e-01,6.760651e-03,3.718631e+04,1.661071e-02,0
6.500030e-01,6.866226e-03,3.747327e+04,1.735931e-02,0
6.600012e-01,6.971762e-03,3.775619e+04,1.808800e-02,0
6.700030e-01,7.077335e-03,3.803421e+04,1.880003e-02,0
6.800011e-01,7.182872e-03,3.830823e+04,1.949772e-02,0
6.900029e-01,7.288447e-03,3.857870e+04,2.018029e-02,0
7.000011e-01,7.393984e-03,3.884414e+04,2.085112e-02,0
7.100028e-01,7.499557e-03,3.910711e+04,2.150927e-02,0
7.200010e-01,7.605094e-03,3.936673e+04,2.215511e-02,0
7.300028e-01,7.710669e-03,3.962153e+04,2.279302e-02,0
7.400009e-01,7.816206e-03,3.987193e+04,2.342081e-02,0
7.500027e-01,7.921780e-03,4.011945e+04,2.403992e-02,0
7.600009e-01,8.027316e-03,4.036251e+04,2.465330e-02,0
7.700026e-01,8.132890e-03,4.060288e+04,2.525704e-02,0
7.800008e-01,8.238426e-03,4.083904e+04,2.585311e-02,0
7.900025e-01,8.344387e-03,4.107220e+04,2.644323e-02,0
8.000007e-01,8.451227e-03,4.130057e+04,2.702728e-02,0
8.100024e-01,8.558104e-03,4.152740e+04,2.760452e-02,0
8.200006e-01,8.664943e-03,4.175040e+04,2.817604e-02,0
8.300024e-01,8.771822e-03,4.196845e+04,2.874279e-02,0
8.400006e-01,8.878661e-03,4.218461e+04,2.930231e-02,0
8.500023e-01,8.985539e-03,4.239817e+04,2.985796e-02,0
8.600005e-01,9.092377e-03,4.260740e+04,3.040810e-02,0
8.700023e-01,9.199257e-03,4.281232e+04,3.095552e-02,0
8.800004e-01,9.306097e-03,4.301719e+04,3.149671e-02,0
8.900022e-01,9.412972e-03,4.321551e+04,3.203370e-02,0
9.000003e-01,9.519811e-03,4.341307e+04,3.256636e-02,0
9.100021e-01,9.626688e-03,4.360873e+04,3.309498e-02,0
9.200003e-01,9.733528e-03,4.379855e+04,3.361921e-02,0
9.300020e-01,9.840407e-03,4.398657e+04,3.413880e-02,0
9.400002e-01,9.947246e-03,4.417191e+04,3.465823e-02,0
9.500020e-01,1.005413e-02,4.435598e+04,3.516963e-02,0
9.600002e-01,1.016096e-02,4.453369e+04,3.568037e-02,0
9.700019e-01,1.026784e-02,4.470969e+04,3.619128e-02,0
9.800001e-01,1.037468e-02,4.488691e+04,3.669161e-02,0
9.900018e-01,1.048156e-02,4.505682e+04,3.719211e-02,0
1.000000e+00,1.058840e-02,4.522477e+04,3.769243e-02,0
