Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-2.787438e+00,0.000000e+00,0
1.000236e-02,1.670717e-04,8.320195e+02,2.221628e-06,0
2.000169e-02,3.340753e-04,1.663090e+03,4.671421e-06,0
3.000103e-02,5.010531e-04,2.494181e+03,7.199164e-06,0
4.000036e-02,6.681192e-04,3.325247e+03,9.830683e-06,0
5.000272e-02,8.352436e-04,4.156481e+03,1.258271e-05,0
6.000206e-02,1.002317e-03,4.987482e+03,1.559248e-05,0
7.000139e-02,1.169230e-03,5.818602e+03,1.856819e-05,0
8.000073e-02,1.336112e-03,6.649690e+03,2.149866e-05,0
9.000006e-02,1.502993e-03,7.480683e+03,2.458438e-05,0
1.000024e-01,1.669925e-03,8.311837e+03,2.785417e-05,0
1.100018e-01,1.836807e-03,9.142637e+03,3.131407e-05,0
1.200011e-01,2.003688e-03,9.973429e+03,3.494206e-05,0
1.300004e-01,2.170569e-03,1.080416e+04,3.873424e-05,0
1.400028e-01,2.337501e-03,1.163507e+04,4.269160e-05,0
1.500021e-01,2.504383e-03,1.246599e+04,4.646757e-05,0
1.600015e-01,2.671264e-03,1.329722e+04,5.071413e-05,0
1.700008e-01,2.838146e-03,1.412858e+04,5.525109e-05,0
1.800001e-01,3.005028e-03,1.496002e+04,5.991616e-05,0
1.900025e-01,3.171959e-03,1.579182e+04,6.467674e-05,0
2.000018e-01,3.338841e-03,1.662371e+04,6.907936e-05,0
2.100012e-01,3.505722e-03,1.745564e+04,7.364567e-05,0
2.200005e-01,3.672604e-03,1.828761e+04,7.838738e-05,0
2.300029e-01,3.839536e-03,1.911988e+04,8.323476e-05,0
2.400022e-01,4.006417e-03,1.995183e+04,8.844900e-05,0
2.500015e-01,4.173588e-03,2.078383e+04,9.413729e-05,0
2.600009e-01,4.341239e-03,2.161573e+04,1.005473e-04,0
2.700002e-01,4.508889e-03,2.244758e+04,1.077517e-04,0
2.800025e-01,4.676590e-03,2.327954e+04,1.161629e-04,0
2.900019e-01,4.844241e-03,2.411129e+04,1.260335e-04,0
3.000012e-01,5.011892e-03,2.494320e+04,1.377661e-04,0
3.100005e-01,5.179542e-03,2.577573e+04,1.498385e-04,0
3.200029e-01,5.347244e-03,2.660892e+04,1.614685e-04,0
3.300022e-01,5.514895e-03,2.744211e+04,1.736185e-04,0
3.400016e-01,5.682546e-03,2.827569e+04,1.865419e-04,0
3.500009e-01,5.850197e-03,2.910952e+04,2.005504e-04,0
3.600003e-01,6.017847e-03,2.994358e+04,2.157135e-04,0
3.700026e-01,6.185549e-03,3.077758e+04,2.326455e-04,0
3.800019e-01,6.353199e-03,3.161085e+04,2.519256e-04,0
3.900013e-01,6.520850e-03,3.244368e+04,2.744508e-04,0
4.000006e-01,6.688500e-03,3.327758e+04,3.015238e-04,0
4.100030e-01,6.856201e-03,3.411317e+04,3.293230e-04,0
4.200023e-01,7.023851e-03,3.494920e+04,3.569278e-04,0
4.300016e-01,7.191502e-03,3.578425e+04,3.876550e-04,0
