Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-5.423297e+00,0.000000e+00,0
1.000339e-02,6.918786e-05,2.596888e+02,5.508580e-07,0
2.000328e-02,1.383536e-04,5.225421e+02,1.076730e-06,0
3.000318e-02,2.075194e-04,7.855132e+02,1.507026e-06,0
4.000307e-02,2.766849e-04,1.048436e+03,1.947570e-06,0
5.000297e-02,3.458090e-04,1.311365e+03,2.426606e-06,0
6.000286e-02,4.149330e-04,1.574336e+03,2.944529e-06,0
7.000276e-02,4.840571e-04,1.837223e+03,3.517557e-06,0
8.000265e-02,5.531820e-04,2.100292e+03,4.136929e-06,0
9.000255e-02,6.223895e-04,2.363272e+03,4.814076e-06,0
1.000024e-01,6.915970e-04,2.626436e+03,5.517899e-06,0
1.100023e-01,7.608045e-04,2.889585e+03,6.244928e-06,0
1.200022e-01,8.300120e-04,3.152734e+03,7.035888e-06,0
1.300021e-01,8.992194e-04,3.415991e+03,7.869465e-06,0
1.400020e-01,9.684269e-04,3.679114e+03,8.746487e-06,0
1.500019e-01,1.037634e-03,3.942499e+03,9.647256e-06,0
1.600018e-01,1.106836e-03,4.205870e+03,1.062273e-05,0
1.700017e-01,1.175877e-03,4.469051e+03,1.171203e-05,0
1.800016e-01,1.244918e-03,4.732417e+03,1.289035e-05,0
1.900015e-01,1.313958e-03,4.995936e+03,1.414526e-05,0
2.000014e-01,1.382999e-03,5.259470e+03,1.538020e-05,0
2.100013e-01,1.452040e-03,5.522961e+03,1.680461e-05,0
2.200012e-01,1.521080e-03,5.786496e+03,1.837815e-05,0
2.300011e-01,1.590121e-03,6.049988e+03,2.013548e-05,0
2.400010e-01,1.659162e-03,6.313457e+03,2.214458e-05,0
2.500009e-01,1.728202e-03,6.577103e+03,2.420546e-05,0
2.600008e-01,1.797243e-03,6.840731e+03,2.609555e-05,0
2.700007e-01,1.866284e-03,7.104535e+03,2.781108e-05,0
2.800006e-01,1.935325e-03,7.368293e+03,2.970499e-05,0
2.900005e-01,2.004365e-03,7.632045e+03,3.196653e-05,0
3.000003e-01,2.073406e-03,7.895872e+03,3.486126e-05,0
3.100002e-01,2.142447e-03,8.159608e+03,3.835680e-05,0
3.200001e-01,2.211509e-03,8.423467e+03,4.172924e-05,0
3.300000e-01,2.280883e-03,8.687497e+03,4.500886e-05,0
3.400034e-01,2.350281e-03,8.951456e+03,4.852626e-05,0
3.500033e-01,2.419656e-03,9.215256e+03,5.223001e-05,0
3.600032e-01,2.489030e-03,9.479101e+03,5.623181e-05,0
3.700031e-01,2.558404e-03,9.742943e+03,6.189867e-05,0
3.800030e-01,2.627778e-03,1.000707e+04,6.805269e-05,0
3.900029e-01,2.697152e-03,1.027129e+04,7.408042e-05,0
4.000028e-01,2.766527e-03,1.053556e+04,8.157980e-05,0
4.100027e-01,2.835901e-03,1.079938e+04,9.207077e-05,0
4.200026e-01,2.905275e-03,1.106349e+04,1.026310e-04,0
4.300025e-01,2.974649e-03,1.132769e+04,1.136710e-04,0
4.400024e-01,3.044024e-03,1.159204e+04,1.307756e-04,0
4.500023e-01,3.113398e-03,1.185654e+04,1.517823e-04,0
4.600022e-01,3.182772e-03,1.212079e+04,1.754531e-04,0
4.700021e-01,3.252146e-03,1.238521e+04,2.098709e-04,0
4.800020e-01,3.321521e-03,1.264981e+04,2.493017e-04,0
4.900019e-01,3.390895e-03,1.291369e+04,3.354774e-04,0
5.000017e-01,3.460269e-03,1.317726e+04,4.911054e-04,0
5.100017e-01,3.529643e-03,1.343806e+04,8.000822e-04,0
5.200015e-01,3.599018e-03,1.368792e+04,1.492948e-03,0
5.300015e-01,3.668392e-03,1.388150e+04,3.167435e-03,0
5.400013e-01,3.737766e-03,1.388336e+04,6.265817e-03,0
5.500012e-01,3.807141e-03,1.400442e+04,7.445805e-03,0
5.600011e-01,3.876515e-03,1.418021e+04,8.097487e-03,0
5.700010e-01,3.945889e-03,1.428821e+04,9.134585e-03,0
5.800009e-01,4.015264e-03,1.443109e+04,9.870729e-03,0
5.900008e-01,4.084638e-03,1.456480e+04,1.060861e-02,0
6.000007e-01,4.154012e-03,1.468805e+04,1.135539e-02,0
