    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 9.23389e-09	 2.61798e-01	 5.23595e-01	 7.85398e-01	 1.04720e+00	 1.30900e+00	 1.57080e+00	 1.83259e+00	 2.09439e+00	 2.35619e+00	 2.61800e+00	 2.87979e+00	 3.14159e+00	 3.40339e+00	 3.66519e+00	 3.92699e+00	 4.18879e+00	 4.45059e+00	 4.71239e+00	 4.97419e+00	 5.23598e+00	 5.49779e+00	 5.75959e+00	 6.02139e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000024e-01	 0.00000e+00	 5.23435e-05	 1.49560e-04	 1.56301e-04	 1.09348e-04	 6.67640e-05	 3.91713e-05	 2.01035e-05	 6.37014e-06	-1.87879e-06	-4.75937e-06	-3.48046e-06	 2.49494e-09	 3.48584e-06	 4.76343e-06	 1.88235e-06	-6.36656e-06	-2.01048e-05	-3.91726e-05	-6.67641e-05	-1.09348e-04	-1.56299e-04	-1.49559e-04	-5.23428e-05
U  1	1.000024e-01	 6.91597e-04	 3.27495e-04	 6.37540e-05	 4.27962e-05	 7.35977e-05	 8.75363e-05	 8.75373e-05	 8.12339e-05	 7.14437e-05	 6.03489e-05	 5.03949e-05	 4.36340e-05	 4.12129e-05	 4.36335e-05	 5.03988e-05	 6.03512e-05	 7.14475e-05	 8.12395e-05	 8.75427e-05	 8.75417e-05	 7.36034e-05	 4.28012e-05	 6.37597e-05	 3.27498e-04
U  2	1.000024e-01	 5.51790e-06	 4.55750e-06	 2.22936e-06	-3.62603e-07	-2.34628e-06	-3.25843e-06	-3.11047e-06	-2.25571e-06	-1.16309e-06	-2.12968e-07	 4.20127e-07	 7.39597e-07	 8.36302e-07	 7.55737e-07	 4.47682e-07	-1.82312e-07	-1.13924e-06	-2.24941e-06	-3.12930e-06	-3.30392e-06	-2.41334e-06	-4.36976e-07	 2.16624e-06	 4.52136e-06
UR 0	1.000024e-01	-1.16828e-04	-9.67123e-05	-6.45829e-05	-3.78314e-05	-1.68877e-05	-1.88310e-06	 7.31118e-06	 1.17376e-05	 1.30168e-05	 1.30048e-05	 1.29936e-05	 1.32373e-05	 1.34169e-05	 1.32989e-05	 1.31133e-05	 1.31597e-05	 1.32283e-05	 1.20166e-05	 7.65443e-06	-1.47221e-06	-1.64088e-05	-3.73764e-05	-6.42533e-05	-9.65520e-05
UR 1	1.000024e-01	-2.40215e-07	-1.48403e-06	 1.17632e-06	 5.41841e-06	 8.56223e-06	 1.00831e-05	 9.69935e-06	 7.76408e-06	 4.65928e-06	 1.45314e-06	-6.58881e-07	-9.83248e-07	 1.08123e-07	 1.19147e-06	 8.37921e-07	-1.32185e-06	-4.61035e-06	-7.81366e-06	-9.85796e-06	-1.03632e-05	-8.98777e-06	-5.91279e-06	-1.65759e-06	 1.00797e-06
UR 2	1.000024e-01	-3.48091e-08	-5.69912e-03	-1.62397e-03	 5.42407e-04	 7.13858e-04	 4.42275e-04	 2.84898e-04	 2.28011e-04	 1.91022e-04	 1.47269e-04	 9.86858e-05	 4.92916e-05	-1.13076e-08	-4.93391e-05	-9.87172e-05	-1.47280e-04	-1.91049e-04	-2.28056e-04	-2.84930e-04	-4.42274e-04	-7.13851e-04	-5.42388e-04	 1.62397e-03	 5.69910e-03
U  0	2.000014e-01	 0.00000e+00	 1.03283e-04	 2.97237e-04	 3.10942e-04	 2.17398e-04	 1.32796e-04	 7.82513e-05	 4.05543e-05	 1.33298e-05	-3.12307e-06	-8.99367e-06	-6.67492e-06	 2.47827e-09	 6.68053e-06	 8.99895e-06	 3.12837e-06	-1.33241e-05	-4.05553e-05	-7.82557e-05	-1.32795e-04	-2.17397e-04	-3.10940e-04	-2.97235e-04	-1.03283e-04
U  1	2.000014e-01	 1.38300e-03	 6.53729e-04	 1.25174e-04	 8.33941e-05	 1.45062e-04	 1.73008e-04	 1.73219e-04	 1.60967e-04	 1.41803e-04	 1.20022e-04	 1.00469e-04	 8.71507e-05	 8.24109e-05	 8.71513e-05	 1.00471e-04	 1.20022e-04	 1.41805e-04	 1.60970e-04	 1.73223e-04	 1.73013e-04	 1.45067e-04	 8.33974e-05	 1.25178e-04	 6.53732e-04
U  2	2.000014e-01	 1.53802e-05	 1.28945e-05	 6.89349e-06	 5.65761e-08	-5.45357e-06	-8.33797e-06	-8.43713e-06	-6.46863e-06	-3.53842e-06	-6.57779e-07	 1.55255e-06	 2.86513e-06	 3.29659e-06	 2.88208e-06	 1.58226e-06	-6.22538e-07	-3.50605e-06	-6.44766e-06	-8.43471e-06	-8.35782e-06	-5.49433e-06	 5.62964e-09	 6.84839e-06	 1.28683e-05
UR 0	2.000014e-01	-2.68994e-04	-2.25290e-04	-1.55420e-04	-9.43447e-05	-4.50561e-05	-9.06607e-06	 1.39559e-05	 2.64147e-05	 3.20027e-05	 3.46448e-05	 3.68091e-05	 3.87677e-05	 3.96285e-05	 3.88279e-05	 3.69161e-05	 3.47702e-05	 3.21610e-05	 2.66190e-05	 1.42251e-05	-8.71640e-06	-4.46204e-05	-9.39291e-05	-1.55137e-04	-2.25156e-04
UR 1	2.000014e-01	-1.74976e-07	 3.27868e-06	 1.01421e-05	 2.23088e-05	 3.19189e-05	 3.69086e-05	 3.64165e-05	 3.10061e-05	 2.20798e-05	 1.23837e-05	 4.82452e-06	 1.00362e-06	 1.12763e-07	-7.83069e-07	-4.62513e-06	-1.22277e-05	-2.19944e-05	-3.09987e-05	-3.64952e-05	-3.70909e-05	-3.22380e-05	-2.26881e-05	-1.04970e-05	-3.62538e-06
UR 2	2.000014e-01	-3.66468e-08	-1.14185e-02	-3.25065e-03	 1.08432e-03	 1.42271e-03	 8.76957e-04	 5.62760e-04	 4.50412e-04	 3.77877e-04	 2.91567e-04	 1.95363e-04	 9.75309e-05	-1.95079e-08	-9.75423e-05	-1.95339e-04	-2.91582e-04	-3.77920e-04	-4.50502e-04	-5.62770e-04	-8.76918e-04	-1.42274e-03	-1.08431e-03	 3.25065e-03	 1.14185e-02
U  0	3.000003e-01	 0.00000e+00	 1.52525e-04	 4.42394e-04	 4.63122e-04	 3.23254e-04	 1.97192e-04	 1.16327e-04	 6.05047e-05	 2.01253e-05	-4.34355e-06	-1.31336e-05	-9.79839e-06	 4.74641e-10	 9.79994e-06	 1.31352e-05	 4.34498e-06	-2.01211e-05	-6.05054e-05	-1.16331e-04	-1.97193e-04	-3.23255e-04	-4.63118e-04	-4.42390e-04	-1.52525e-04
U  1	3.000003e-01	 2.07341e-03	 9.79134e-04	 1.84952e-04	 1.22344e-04	 2.14733e-04	 2.56520e-04	 2.56931e-04	 2.38870e-04	 2.10554e-04	 1.78329e-04	 1.49396e-04	 1.29671e-04	 1.22665e-04	 1.29673e-04	 1.49399e-04	 1.78330e-04	 2.10556e-04	 2.38872e-04	 2.56933e-04	 2.56523e-04	 2.14737e-04	 1.22348e-04	 1.84956e-04	 9.79143e-04
U  2	3.000003e-01	 3.48613e-05	 2.97422e-05	 1.71628e-05	 2.40504e-06	-1.00528e-05	-1.72691e-05	-1.85212e-05	-1.49119e-05	-8.53716e-06	-1.59288e-06	 4.25109e-06	 8.02055e-06	 9.31279e-06	 8.03172e-06	 4.27059e-06	-1.56999e-06	-8.51510e-06	-1.48932e-05	-1.85092e-05	-1.72671e-05	-1.00629e-05	 2.38684e-06	 1.71445e-05	 2.97310e-05
UR 0	3.000003e-01	-4.87475e-04	-4.15186e-04	-2.97398e-04	-1.88254e-04	-9.67369e-05	-2.78410e-05	 1.85845e-05	 4.68713e-05	 6.35023e-05	 7.47908e-05	 8.41723e-05	 9.13196e-05	 9.41007e-05	 9.13490e-05	 8.42263e-05	 7.48387e-05	 6.35458e-05	 4.69312e-05	 1.86940e-05	-2.76606e-05	-9.64629e-05	-1.87980e-04	-2.97250e-04	-4.15141e-04
UR 1	3.000003e-01	-7.52443e-08	 2.14743e-05	 4.05474e-05	 6.86969e-05	 9.07962e-05	 1.02403e-04	 1.01494e-04	 8.89360e-05	 6.79621e-05	 4.42584e-05	 2.36746e-05	 9.38790e-06	 7.42008e-08	-9.24442e-06	-2.35582e-05	-4.41881e-05	-6.79460e-05	-8.89569e-05	-1.01550e-04	-1.02507e-04	-9.09851e-05	-6.88953e-05	-4.06899e-05	-2.16148e-05
UR 2	3.000003e-01	-9.15238e-08	-1.71508e-02	-4.87836e-03	 1.62489e-03	 2.12565e-03	 1.30352e-03	 8.33144e-04	 6.67046e-04	 5.60419e-04	 4.32591e-04	 2.89758e-04	 1.44626e-04	-2.21627e-08	-1.44645e-04	-2.89725e-04	-4.32585e-04	-5.60373e-04	-6.67134e-04	-8.33168e-04	-1.30348e-03	-2.12563e-03	-1.62491e-03	 4.87835e-03	 1.71509e-02
U  0	4.000028e-01	 0.00000e+00	 2.00056e-04	 5.85003e-04	 6.12817e-04	 4.26908e-04	 2.59955e-04	 1.53392e-04	 7.99474e-05	 2.67561e-05	-5.53395e-06	-1.71755e-05	-1.28473e-05	-1.25889e-10	 1.28480e-05	 1.71761e-05	 5.53292e-06	-2.67569e-05	-7.99495e-05	-1.53393e-04	-2.59957e-04	-4.26911e-04	-6.12811e-04	-5.84998e-04	-2.00054e-04
U  1	4.000028e-01	 2.76653e-03	 1.30372e-03	 2.43103e-04	 1.59652e-04	 2.82602e-04	 3.38061e-04	 3.38661e-04	 3.14934e-04	 2.77690e-04	 2.35268e-04	 1.97175e-04	 1.71195e-04	 1.61975e-04	 1.71192e-04	 1.97174e-04	 2.35267e-04	 2.77692e-04	 3.14936e-04	 3.38663e-04	 3.38062e-04	 2.82603e-04	 1.59655e-04	 2.43106e-04	 1.30373e-03
U  2	4.000028e-01	 8.15798e-05	 7.08178e-05	 4.34053e-05	 1.01183e-05	-1.91404e-05	-3.74902e-05	-4.25123e-05	-3.57278e-05	-2.12177e-05	-3.95067e-06	 1.15983e-05	 2.21628e-05	 2.58770e-05	 2.21477e-05	 1.15707e-05	-3.98488e-06	-2.12497e-05	-3.57464e-05	-4.25112e-05	-3.74690e-05	-1.91034e-05	 1.01647e-05	 4.34511e-05	 7.08472e-05
UR 0	4.000028e-01	-8.85942e-04	-7.73862e-04	-5.79825e-04	-3.85341e-04	-2.13814e-04	-7.93360e-05	 1.73842e-05	 8.38276e-05	 1.31115e-04	 1.68780e-04	 2.00404e-04	 2.23088e-04	 2.31509e-04	 2.23027e-04	 2.00292e-04	 1.68589e-04	 1.30866e-04	 8.35485e-05	 1.71180e-05	-7.95692e-05	-2.13998e-04	-3.85562e-04	-5.80174e-04	-7.74146e-04
UR 1	4.000028e-01	 1.97299e-07	 7.62002e-05	 1.36813e-04	 2.04713e-04	 2.55897e-04	 2.82404e-04	 2.79700e-04	 2.49104e-04	 1.97953e-04	 1.38404e-04	 8.25681e-05	 3.70374e-05	-9.90540e-08	-3.72391e-05	-8.27839e-05	-1.38639e-04	-1.98186e-04	-2.49300e-04	-2.79822e-04	-2.82453e-04	-2.55904e-04	-2.04593e-04	-1.36492e-04	-7.58074e-05
UR 2	4.000028e-01	-4.27173e-08	-2.28961e-02	-6.50704e-03	 2.16388e-03	 2.82246e-03	 1.72190e-03	 1.09620e-03	 8.77855e-04	 7.38460e-04	 5.70341e-04	 3.81959e-04	 1.90631e-04	 2.70878e-08	-1.90610e-04	-3.81984e-04	-5.70355e-04	-7.38427e-04	-8.77864e-04	-1.09620e-03	-1.72191e-03	-2.82242e-03	-2.16388e-03	 6.50702e-03	 2.28962e-02
