Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-3.026268e+01,0.000000e+00,0
1.000027e-02,2.743190e-05,1.495272e+02,-2.575363e-06,0
2.000054e-02,5.486821e-05,3.303646e+02,-4.156793e-06,0
3.000081e-02,8.230584e-05,5.093504e+02,-4.567315e-06,0
4.000107e-02,1.097435e-04,6.886760e+02,-5.091171e-06,0
5.000134e-02,1.371797e-04,8.680006e+02,-5.625936e-06,0
6.000161e-02,1.645930e-04,1.047089e+03,-6.081347e-06,0
7.000188e-02,1.920062e-04,1.226291e+03,-6.543430e-06,0
8.000214e-02,2.194195e-04,1.405573e+03,-6.968570e-06,0
9.000242e-02,2.468327e-04,1.584835e+03,-7.365644e-06,0
1.000027e-01,2.742459e-04,1.764050e+03,-7.724971e-06,0
1.100029e-01,3.016592e-04,1.943448e+03,-8.065911e-06,0
1.200002e-01,3.290642e-04,2.122624e+03,-8.378500e-06,0
1.300005e-01,3.564775e-04,2.302020e+03,-8.653944e-06,0
1.400008e-01,3.838908e-04,2.481349e+03,-8.907733e-06,0
1.500010e-01,4.113040e-04,2.660674e+03,-9.744722e-06,0
1.600013e-01,4.387173e-04,2.840019e+03,-1.063335e-05,0
1.700016e-01,4.661306e-04,3.019416e+03,-1.151228e-05,0
1.800019e-01,4.935438e-04,3.198791e+03,-1.235206e-05,0
1.900021e-01,5.209571e-04,3.378210e+03,-1.322443e-05,0
2.000024e-01,5.483867e-04,3.557864e+03,-1.408257e-05,0
2.100027e-01,5.758976e-04,3.737267e+03,-1.489954e-05,0
2.200029e-01,6.034084e-04,3.916732e+03,-1.572478e-05,0
2.300002e-01,6.309109e-04,4.096474e+03,-1.654720e-05,0
2.400005e-01,6.584217e-04,4.276252e+03,-1.737297e-05,0
2.500007e-01,6.859325e-04,4.456110e+03,-1.821902e-05,0
2.600010e-01,7.134433e-04,4.635936e+03,-1.912316e-05,0
2.700013e-01,7.409541e-04,4.815701e+03,-2.003310e-05,0
2.800016e-01,7.684649e-04,4.995599e+03,-2.097453e-05,0
2.900018e-01,7.959756e-04,5.175382e+03,-2.196122e-05,0
3.000021e-01,8.234864e-04,5.355189e+03,-2.308329e-05,0
3.100024e-01,8.509973e-04,5.535039e+03,-2.424343e-05,0
3.200026e-01,8.785081e-04,5.715101e+03,-2.638800e-05,0
3.300029e-01,9.060190e-04,5.894981e+03,-2.869259e-05,0
3.400002e-01,9.335215e-04,6.074979e+03,-3.143769e-05,0
3.500004e-01,9.610322e-04,6.254953e+03,-3.396297e-05,0
3.600007e-01,9.885430e-04,6.434916e+03,-3.672865e-05,0
3.700010e-01,1.016054e-03,6.614929e+03,-4.067076e-05,0
3.800012e-01,1.043565e-03,6.795098e+03,-4.482916e-05,0
3.900015e-01,1.071075e-03,6.975092e+03,-5.044658e-05,0
4.000018e-01,1.098505e-03,7.155171e+03,-5.762215e-05,0
