Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-5.298043e-01,0.000000e+00,0
1.000060e-02,1.600893e-04,1.010527e+03,-5.582573e-07,0
2.000120e-02,3.201787e-04,2.022340e+03,-1.024998e-06,0
3.000179e-02,4.802973e-04,3.034429e+03,-1.510699e-06,0
4.000239e-02,6.403584e-04,4.046712e+03,-2.023725e-06,0
5.000299e-02,8.003893e-04,5.059157e+03,-2.539241e-06,0
6.000026e-02,9.603671e-04,6.071547e+03,-3.087383e-06,0
7.000086e-02,1.120398e-03,7.084481e+03,-3.571718e-06,0
8.000146e-02,1.280429e-03,8.097644e+03,-4.253352e-06,0
9.000206e-02,1.440460e-03,9.111139e+03,-4.752495e-06,0
1.000027e-01,1.600491e-03,1.012476e+04,-5.289629e-06,0
1.100033e-01,1.760522e-03,1.113878e+04,-5.969078e-06,0
1.200005e-01,1.920499e-03,1.215277e+04,-6.677458e-06,0
1.300011e-01,2.080531e-03,1.316743e+04,-7.552629e-06,0
1.400017e-01,2.240781e-03,1.418214e+04,-8.493927e-06,0
1.500023e-01,2.401161e-03,1.519698e+04,-9.343432e-06,0
1.600029e-01,2.561543e-03,1.621235e+04,-9.808919e-06,0
1.700002e-01,2.721871e-03,1.722761e+04,-1.032926e-05,0
1.800008e-01,2.882252e-03,1.824363e+04,-1.131228e-05,0
1.900014e-01,3.042633e-03,1.925996e+04,-1.256226e-05,0
2.000020e-01,3.203014e-03,2.027639e+04,-1.387431e-05,0
2.100026e-01,3.363395e-03,2.129288e+04,-1.530523e-05,0
2.200032e-01,3.523777e-03,2.230953e+04,-1.684095e-05,0
2.300005e-01,3.684105e-03,2.332641e+04,-1.795148e-05,0
2.400011e-01,3.844486e-03,2.434521e+04,-1.839151e-05,0
2.500017e-01,4.004867e-03,2.536494e+04,-1.869671e-05,0
2.600023e-01,4.165248e-03,2.638539e+04,-1.952184e-05,0
2.700028e-01,4.325387e-03,2.740662e+04,-2.103703e-05,0
2.800001e-01,4.485014e-03,2.842817e+04,-2.320823e-05,0
2.900007e-01,4.644695e-03,2.945040e+04,-2.571767e-05,0
3.000013e-01,4.804377e-03,3.047301e+04,-2.850300e-05,0
3.100019e-01,4.964057e-03,3.149594e+04,-3.151051e-05,0
3.200025e-01,5.123738e-03,3.251940e+04,-3.395339e-05,0
3.300031e-01,5.283418e-03,3.354363e+04,-3.575505e-05,0
3.400004e-01,5.443046e-03,3.456836e+04,-3.723382e-05,0
3.500010e-01,5.602726e-03,3.559361e+04,-3.828815e-05,0
3.600016e-01,5.762408e-03,3.661938e+04,-3.987764e-05,0
3.700022e-01,5.922088e-03,3.764558e+04,-4.201659e-05,0
3.800028e-01,6.081769e-03,3.867233e+04,-4.611656e-05,0
3.900000e-01,6.241397e-03,3.969934e+04,-5.210640e-05,0
4.000007e-01,6.401078e-03,4.072712e+04,-5.881135e-05,0
4.100012e-01,6.560759e-03,4.175595e+04,-6.612812e-05,0
