Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-3.876736e+00,0.000000e+00,0
1.000144e-02,1.196298e-04,5.531775e+02,3.440230e-05,0
2.000288e-02,2.392586e-04,1.108561e+03,6.605429e-05,0
3.000063e-02,3.588432e-04,1.663616e+03,9.873738e-05,0
4.000207e-02,4.784720e-04,2.218867e+03,1.335593e-04,0
5.000351e-02,5.981380e-04,2.774180e+03,1.695291e-04,0
6.000125e-02,7.178014e-04,3.329290e+03,2.065942e-04,0
7.000270e-02,8.375090e-04,3.884648e+03,2.451679e-04,0
8.000045e-02,9.571724e-04,4.439782e+03,2.852150e-04,0
9.000188e-02,1.076880e-03,4.995188e+03,3.268296e-04,0
1.000033e-01,1.196587e-03,5.550701e+03,3.703147e-04,0
1.100011e-01,1.316251e-03,6.105913e+03,4.161804e-04,0
1.200025e-01,1.435958e-03,6.661255e+03,4.641784e-04,0
1.300003e-01,1.555621e-03,7.216242e+03,5.142210e-04,0
1.400017e-01,1.675329e-03,7.771469e+03,5.664987e-04,0
1.500031e-01,1.795036e-03,8.326591e+03,6.211922e-04,0
1.600009e-01,1.914700e-03,8.881449e+03,6.784208e-04,0
1.700023e-01,2.034407e-03,9.436379e+03,7.382589e-04,0
1.800001e-01,2.154070e-03,9.990989e+03,8.009886e-04,0
1.900015e-01,2.273778e-03,1.054559e+04,8.668660e-04,0
2.000030e-01,2.393486e-03,1.110012e+04,9.360160e-04,0
2.100007e-01,2.513149e-03,1.165422e+04,1.008831e-03,0
2.200021e-01,2.632856e-03,1.220834e+04,1.085424e-03,0
2.300036e-01,2.752564e-03,1.276215e+04,1.166120e-03,0
2.400013e-01,2.872227e-03,1.331552e+04,1.251240e-03,0
2.500028e-01,2.991935e-03,1.386881e+04,1.341273e-03,0
2.600005e-01,3.111598e-03,1.442153e+04,1.436055e-03,0
2.700019e-01,3.231305e-03,1.497394e+04,1.536711e-03,0
2.800034e-01,3.351013e-03,1.552586e+04,1.643606e-03,0
2.900012e-01,3.470676e-03,1.607709e+04,1.756903e-03,0
3.000026e-01,3.590384e-03,1.662782e+04,1.877441e-03,0
3.100003e-01,3.710047e-03,1.717753e+04,2.005797e-03,0
3.200018e-01,3.829754e-03,1.772656e+04,2.143689e-03,0
3.300032e-01,3.949462e-03,1.827454e+04,2.294566e-03,0
3.400010e-01,4.069126e-03,1.882091e+04,2.455071e-03,0
3.500024e-01,4.188834e-03,1.936638e+04,2.627432e-03,0
3.600001e-01,4.308497e-03,1.991027e+04,2.812031e-03,0
3.700016e-01,4.428204e-03,2.045229e+04,3.010939e-03,0
3.800030e-01,4.547912e-03,2.099230e+04,3.225558e-03,0
3.900008e-01,4.667575e-03,2.152909e+04,3.461577e-03,0
4.000022e-01,4.787283e-03,2.206344e+04,3.717663e-03,0
4.100037e-01,4.906991e-03,2.259433e+04,3.994298e-03,0
4.200014e-01,5.026653e-03,2.312105e+04,4.293647e-03,0
4.300028e-01,5.146361e-03,2.364289e+04,4.623383e-03,0
4.400006e-01,5.266024e-03,2.415889e+04,4.983893e-03,0
4.500020e-01,5.385731e-03,2.466873e+04,5.374341e-03,0
4.600035e-01,5.505439e-03,2.517034e+04,5.804359e-03,0
4.700012e-01,5.625103e-03,2.566339e+04,6.270094e-03,0
4.800026e-01,5.744810e-03,2.614633e+04,6.773476e-03,0
4.900004e-01,5.864474e-03,2.661731e+04,7.322355e-03,0
5.000018e-01,5.984182e-03,2.707648e+04,7.907187e-03,0
5.100033e-01,6.103889e-03,2.752012e+04,8.538144e-03,0
5.200011e-01,6.223553e-03,2.794975e+04,9.203799e-03,0
5.300025e-01,6.343260e-03,2.836274e+04,9.906549e-03,0
5.400002e-01,6.462923e-03,2.875780e+04,1.064517e-02,0
5.500017e-01,6.582631e-03,2.913769e+04,1.140846e-02,0
5.600031e-01,6.702338e-03,2.950335e+04,1.219004e-02,0
5.700008e-01,6.822001e-03,2.984961e+04,1.299575e-02,0
5.800023e-01,6.941708e-03,3.018071e+04,1.381553e-02,0
5.900000e-01,7.061372e-03,3.049731e+04,1.464297e-02,0
6.000015e-01,7.181080e-03,3.080040e+04,1.547555e-02,0
6.100029e-01,7.300788e-03,3.109073e+04,1.630951e-02,0
6.200007e-01,7.420450e-03,3.136861e+04,1.714378e-02,0
6.300021e-01,7.540157e-03,3.163513e+04,1.797629e-02,0
6.400036e-01,7.659864e-03,3.189131e+04,1.880452e-02,0
6.500013e-01,7.779527e-03,3.213756e+04,1.962703e-02,0
6.600027e-01,7.899234e-03,3.237508e+04,2.044269e-02,0
6.700005e-01,8.018898e-03,3.260596e+04,2.124529e-02,0
6.800019e-01,8.138605e-03,3.282804e+04,2.204130e-02,0
6.900033e-01,8.258313e-03,3.304232e+04,2.283126e-02,0
