Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.723889e+00,0.000000e+00,0
1.000303e-02,5.789105e-05,2.515811e+02,2.697363e-06,0
2.000273e-02,1.157605e-04,5.048581e+02,5.271178e-06,0
3.000243e-02,1.736450e-04,7.581210e+02,8.024314e-06,0
4.000213e-02,2.315363e-04,1.011508e+03,1.086779e-05,0
5.000183e-02,2.894111e-04,1.264813e+03,1.384603e-05,0
6.000153e-02,3.472586e-04,1.518261e+03,1.699182e-05,0
7.000123e-02,4.051061e-04,1.771708e+03,2.029485e-05,0
8.000093e-02,4.629536e-04,2.025150e+03,2.376830e-05,0
9.000063e-02,5.208012e-04,2.278699e+03,2.741957e-05,0
1.000003e-01,5.787147e-04,2.532278e+03,3.126220e-05,0
1.100000e-01,6.366498e-04,2.785816e+03,3.530702e-05,0
1.200031e-01,6.946042e-04,3.039531e+03,3.955203e-05,0
1.300028e-01,7.525392e-04,3.293173e+03,4.408523e-05,0
1.400025e-01,8.104742e-04,3.546891e+03,4.876388e-05,0
1.500022e-01,8.684093e-04,3.800582e+03,5.382164e-05,0
1.600019e-01,9.263444e-04,4.054258e+03,5.913442e-05,0
1.700016e-01,9.842794e-04,4.308046e+03,6.461618e-05,0
1.800013e-01,1.042215e-03,4.561862e+03,7.057349e-05,0
1.900010e-01,1.100059e-03,4.815744e+03,7.704596e-05,0
2.000007e-01,1.157819e-03,5.069656e+03,8.373844e-05,0
2.100004e-01,1.215579e-03,5.323628e+03,9.112478e-05,0
2.200001e-01,1.273339e-03,5.577630e+03,9.873133e-05,0
2.300031e-01,1.331118e-03,5.831739e+03,1.071237e-04,0
2.400028e-01,1.388879e-03,6.085635e+03,1.157862e-04,0
2.500025e-01,1.446639e-03,6.339651e+03,1.252142e-04,0
2.600022e-01,1.504399e-03,6.593885e+03,1.349003e-04,0
2.700019e-01,1.562158e-03,6.848003e+03,1.460409e-04,0
2.800016e-01,1.619919e-03,7.102062e+03,1.581198e-04,0
2.900013e-01,1.677679e-03,7.356229e+03,1.703721e-04,0
3.000010e-01,1.735438e-03,7.610497e+03,1.842681e-04,0
3.100007e-01,1.793199e-03,7.864920e+03,1.994872e-04,0
3.200004e-01,1.850958e-03,8.119173e+03,2.160798e-04,0
3.300001e-01,1.908718e-03,8.373593e+03,2.347020e-04,0
3.400031e-01,1.966498e-03,8.628052e+03,2.545788e-04,0
3.500028e-01,2.024258e-03,8.882507e+03,2.794074e-04,0
3.600025e-01,2.082018e-03,9.136531e+03,3.135939e-04,0
3.700022e-01,2.139789e-03,9.390910e+03,3.500364e-04,0
3.800019e-01,2.197900e-03,9.645141e+03,3.913984e-04,0
3.900016e-01,2.256009e-03,9.899405e+03,4.388569e-04,0
4.000013e-01,2.314120e-03,1.015346e+04,4.926114e-04,0
4.100010e-01,2.372230e-03,1.040736e+04,5.570928e-04,0
4.200007e-01,2.430339e-03,1.066090e+04,6.447228e-04,0
4.300004e-01,2.488450e-03,1.091405e+04,7.495873e-04,0
4.400001e-01,2.546560e-03,1.116622e+04,8.856886e-04,0
4.500032e-01,2.604689e-03,1.141700e+04,1.072569e-03,0
4.600029e-01,2.662799e-03,1.166494e+04,1.325931e-03,0
4.700026e-01,2.720909e-03,1.190783e+04,1.685964e-03,0
4.800023e-01,2.779020e-03,1.214023e+04,2.214650e-03,0
4.900020e-01,2.837130e-03,1.235434e+04,2.955433e-03,0
5.000017e-01,2.895240e-03,1.254359e+04,3.873338e-03,0
5.100014e-01,2.953350e-03,1.271535e+04,4.803123e-03,0
5.200011e-01,3.011460e-03,1.288194e+04,5.632267e-03,0
5.300007e-01,3.069571e-03,1.304389e+04,6.396745e-03,0
5.400005e-01,3.127680e-03,1.320125e+04,7.115817e-03,0
5.500002e-01,3.185790e-03,1.335731e+04,7.781318e-03,0
5.600032e-01,3.243920e-03,1.351073e+04,8.415665e-03,0
5.700029e-01,3.302030e-03,1.366318e+04,9.014935e-03,0
5.800026e-01,3.360140e-03,1.381291e+04,9.592803e-03,0
5.900023e-01,3.418250e-03,1.396243e+04,1.014380e-02,0
6.000020e-01,3.476360e-03,1.410980e+04,1.067785e-02,0
6.100017e-01,3.534471e-03,1.425725e+04,1.119039e-02,0
6.200014e-01,3.592581e-03,1.440216e+04,1.169327e-02,0
6.300011e-01,3.650691e-03,1.454507e+04,1.218608e-02,0
6.400008e-01,3.708801e-03,1.468763e+04,1.266472e-02,0
6.500005e-01,3.766911e-03,1.482853e+04,1.313466e-02,0
6.600002e-01,3.825021e-03,1.496746e+04,1.359733e-02,0
6.700032e-01,3.883150e-03,1.510510e+04,1.405117e-02,0
6.800029e-01,3.941260e-03,1.524192e+04,1.449686e-02,0
6.900026e-01,3.999370e-03,1.537702e+04,1.493686e-02,0
7.000023e-01,4.057480e-03,1.551160e+04,1.536765e-02,0
7.100020e-01,4.115590e-03,1.564460e+04,1.579381e-02,0
7.200018e-01,4.173520e-03,1.577618e+04,1.621412e-02,0
7.300014e-01,4.230930e-03,1.590624e+04,1.663105e-02,0
7.400011e-01,4.288340e-03,1.603607e+04,1.704094e-02,0
7.500008e-01,4.345750e-03,1.616440e+04,1.744662e-02,0
7.600005e-01,4.403160e-03,1.629110e+04,1.784989e-02,0
7.700002e-01,4.460570e-03,1.641656e+04,1.825130e-02,0
7.800032e-01,4.517999e-03,1.654134e+04,1.864658e-02,0
7.900029e-01,4.575409e-03,1.666432e+04,1.903864e-02,0
8.000027e-01,4.632819e-03,1.678591e+04,1.942585e-02,0
8.100024e-01,4.690230e-03,1.690626e+04,1.981083e-02,0
8.200021e-01,4.747640e-03,1.702564e+04,2.019169e-02,0
8.300018e-01,4.805050e-03,1.714304e+04,2.057215e-02,0
8.400015e-01,4.862459e-03,1.726081e+04,2.094742e-02,0
8.500012e-01,4.919869e-03,1.737641e+04,2.132268e-02,0
8.600008e-01,4.977279e-03,1.749064e+04,2.169720e-02,0
8.700006e-01,5.034689e-03,1.760424e+04,2.206686e-02,0
