    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71
    	Angle ->    	 3.17786e-09	 1.74535e-01	 3.49080e-01	 5.23596e-01	 6.98145e-01	 8.72652e-01	 1.04720e+00	 1.22172e+00	 1.39626e+00	 1.57080e+00	 1.74533e+00	 1.91988e+00	 2.09439e+00	 2.26894e+00	 2.44345e+00	 2.61800e+00	 2.79251e+00	 2.96706e+00	 3.14159e+00	 3.31613e+00	 3.49067e+00	 3.66519e+00	 3.83974e+00	 4.01424e+00	 4.18879e+00	 4.36331e+00	 4.53785e+00	 4.71239e+00	 4.88692e+00	 5.06147e+00	 5.23598e+00	 5.41053e+00	 5.58504e+00	 5.75959e+00	 5.93411e+00	 6.10865e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000023e-01	 0.00000e+00	 1.45407e-05	 5.54078e-05	 7.76374e-05	 7.22590e-05	 5.58961e-05	 4.12123e-05	 3.07570e-05	 2.28711e-05	 1.60151e-05	 9.92410e-06	 4.78802e-06	 9.12367e-07	-1.69315e-06	-3.03700e-06	-3.30580e-06	-2.70832e-06	-1.51077e-06	 1.17108e-09	 1.51316e-06	 2.71063e-06	 3.30739e-06	 3.03800e-06	 1.69334e-06	-9.12666e-07	-4.78856e-06	-9.92461e-06	-1.60144e-05	-2.28695e-05	-3.07549e-05	-4.12103e-05	-5.58945e-05	-7.22584e-05	-7.76370e-05	-5.54074e-05	-1.45407e-05
U  1	1.000023e-01	 3.86279e-04	 2.28760e-04	 6.43588e-05	 1.00580e-05	 1.42479e-05	 2.83804e-05	 3.68608e-05	 4.00750e-05	 4.05940e-05	 3.96364e-05	 3.75414e-05	 3.45581e-05	 3.10398e-05	 2.73223e-05	 2.37827e-05	 2.06933e-05	 1.83021e-05	 1.67759e-05	 1.62749e-05	 1.67756e-05	 1.83014e-05	 2.06935e-05	 2.37841e-05	 2.73248e-05	 3.10426e-05	 3.45613e-05	 3.75447e-05	 3.96395e-05	 4.05971e-05	 4.00783e-05	 3.68639e-05	 2.83831e-05	 1.42498e-05	 1.00595e-05	 6.43604e-05	 2.28760e-04
U  2	1.000023e-01	 8.19193e-06	 7.24885e-06	 4.78452e-06	 1.64198e-06	-1.37455e-06	-3.72577e-06	-5.14172e-06	-5.58789e-06	-5.20951e-06	-4.25445e-06	-2.99628e-06	-1.67561e-06	-4.65340e-07	 5.37715e-07	 1.30081e-06	 1.83801e-06	 2.18325e-06	 2.37422e-06	 2.43711e-06	 2.38004e-06	 2.19293e-06	 1.84831e-06	 1.30837e-06	 5.39840e-07	-4.69880e-07	-1.68597e-06	-3.00956e-06	-4.26656e-06	-5.21699e-06	-5.58907e-06	-5.13700e-06	-3.71714e-06	-1.36477e-06	 1.65040e-06	 4.79003e-06	 7.25144e-06
UR 0	1.000023e-01	-2.26095e-04	-1.90086e-04	-1.19207e-04	-5.77538e-05	-1.88985e-05	 4.12788e-06	 1.56251e-05	 1.98664e-05	 2.07252e-05	 2.08419e-05	 2.13683e-05	 2.22639e-05	 2.29834e-05	 2.31212e-05	 2.25277e-05	 2.14928e-05	 2.04173e-05	 1.96478e-05	 1.94055e-05	 1.97442e-05	 2.05710e-05	 2.16725e-05	 2.26965e-05	 2.32486e-05	 2.30552e-05	 2.22842e-05	 2.13431e-05	 2.07852e-05	 2.06412e-05	 1.97547e-05	 1.54897e-05	 3.98169e-06	-1.90325e-05	-5.78348e-05	-1.19219e-04	-1.90063e-04
UR 1	1.000023e-01	 2.25141e-08	 6.70169e-08	 1.34178e-05	 3.33399e-05	 4.92713e-05	 5.88411e-05	 6.05931e-05	 5.47880e-05	 4.35038e-05	 2.99087e-05	 1.71809e-05	 7.22875e-06	 8.27094e-07	-2.51036e-06	-3.53991e-06	-3.24212e-06	-2.32450e-06	-1.16235e-06	 5.58599e-08	 1.27335e-06	 2.42587e-06	 3.32255e-06	 3.58086e-06	 2.48344e-06	-9.41446e-07	-7.41978e-06	-1.74187e-05	-3.01180e-05	-4.36311e-05	-5.48192e-05	-6.05433e-05	-5.87399e-05	-4.91543e-05	-3.32443e-05	-1.33537e-05	-1.99187e-08
UR 2	1.000023e-01	-2.91119e-08	-3.86690e-03	-2.07554e-03	-3.00587e-04	 3.55056e-04	 3.73273e-04	 2.46201e-04	 1.61274e-04	 1.28913e-04	 1.18119e-04	 1.09536e-04	 9.81714e-05	 8.45311e-05	 7.02501e-05	 5.60713e-05	 4.19852e-05	 2.80100e-05	 1.40652e-05	 4.37569e-10	-1.40595e-05	-2.80097e-05	-4.20111e-05	-5.60887e-05	-7.02819e-05	-8.45488e-05	-9.81610e-05	-1.09532e-04	-1.18110e-04	-1.28884e-04	-1.61277e-04	-2.46212e-04	-3.73270e-04	-3.55077e-04	 3.00589e-04	 2.07555e-03	 3.86691e-03
U  0	2.000013e-01	 0.00000e+00	 2.87879e-05	 1.10274e-04	 1.54845e-04	 1.44209e-04	 1.11622e-04	 8.24122e-05	 6.17049e-05	 4.60880e-05	 3.25202e-05	 2.04117e-05	 1.01986e-05	 2.43553e-06	-2.79476e-06	-5.55917e-06	-6.19801e-06	-5.12965e-06	-2.87305e-06	 9.55843e-10	 2.87498e-06	 5.13121e-06	 6.19942e-06	 5.56058e-06	 2.79607e-06	-2.43505e-06	-1.01981e-05	-2.04115e-05	-3.25203e-05	-4.60867e-05	-6.17014e-05	-8.24082e-05	-1.11619e-04	-1.44208e-04	-1.54844e-04	-1.10273e-04	-2.87878e-05
U  1	2.000013e-01	 7.72797e-04	 4.57040e-04	 1.27661e-04	 1.89904e-05	 2.74558e-05	 5.57875e-05	 7.28145e-05	 7.93119e-05	 8.04628e-05	 7.86832e-05	 7.46503e-05	 6.88544e-05	 6.19772e-05	 5.47108e-05	 4.77699e-05	 4.17098e-05	 3.70153e-05	 3.40303e-05	 3.30312e-05	 3.40310e-05	 3.70165e-05	 4.17120e-05	 4.77717e-05	 5.47133e-05	 6.19800e-05	 6.88577e-05	 7.46543e-05	 7.86870e-05	 8.04665e-05	 7.93165e-05	 7.28188e-05	 5.57904e-05	 2.74574e-05	 1.89917e-05	 1.27661e-04	 4.57040e-04
U  2	2.000013e-01	 2.23908e-05	 1.99685e-05	 1.35432e-05	 5.22858e-06	-2.90720e-06	-9.38657e-06	-1.33774e-05	-1.46770e-05	-1.36147e-05	-1.08658e-05	-7.24280e-06	-3.50818e-06	-2.36996e-07	 2.24798e-06	 3.87070e-06	 4.75194e-06	 5.11843e-06	 5.21604e-06	 5.22680e-06	 5.21600e-06	 5.11568e-06	 4.74220e-06	 3.84963e-06	 2.21275e-06	-2.85827e-07	-3.56567e-06	-7.29993e-06	-1.09119e-05	-1.36411e-05	-1.46793e-05	-1.33561e-05	-9.34683e-06	-2.85781e-06	 5.27726e-06	 1.35812e-05	 1.99892e-05
