time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,6.445841e-08,6.321363e+00,-3.575326e+01
2.000000e-03,1.292551e-07,1.264212e+01,-7.150592e+01
3.500000e-03,2.266825e-07,2.212290e+01,-1.251308e+02
5.750000e-03,3.736102e-07,3.634275e+01,-2.055607e+02
9.125000e-03,5.958824e-07,5.766948e+01,-3.261883e+02
1.418750e-02,9.336239e-07,8.965259e+01,-5.070903e+02
2.178125e-02,1.450339e-06,1.376113e+02,-7.783533e+02
3.317187e-02,2.249028e-06,2.095130e+02,-1.185042e+03
5.025781e-02,3.503411e-06,3.172821e+02,-1.794603e+03
7.025781e-02,5.066544e-06,4.433022e+02,-2.507393e+03
9.025782e-02,6.745499e-06,5.691802e+02,-3.219376e+03
1.102578e-01,8.554749e-06,6.949137e+02,-3.930539e+03
1.302578e-01,1.051195e-05,8.205003e+02,-4.640868e+03
1.502578e-01,1.263863e-05,9.459376e+02,-5.350350e+03
1.702578e-01,1.496079e-05,1.071223e+03,-6.058973e+03
1.902578e-01,1.751005e-05,1.196355e+03,-6.766721e+03
2.102578e-01,2.032526e-05,1.321330e+03,-7.473581e+03
2.302578e-01,2.345472e-05,1.446146e+03,-8.179540e+03
2.502578e-01,2.695927e-05,1.570802e+03,-8.884584e+03
2.702578e-01,3.091654e-05,1.695293e+03,-9.588699e+03
2.902578e-01,3.542731e-05,1.819618e+03,-1.029187e+04
3.102578e-01,4.062475e-05,1.943774e+03,-1.099408e+04
3.302578e-01,4.668854e-05,2.067758e+03,-1.169532e+04
3.502578e-01,5.386713e-05,2.191568e+03,-1.239557e+04
3.702578e-01,6.266266e-05,2.315200e+03,-1.309480e+04
3.902578e-01,7.337479e-05,2.438651e+03,-1.379301e+04
4.102578e-01,8.692906e-05,2.561918e+03,-1.449018e+04
4.302578e-01,1.046692e-04,2.684995e+03,-1.518627e+04
4.502578e-01,1.289455e-04,2.807875e+03,-1.588124e+04
4.702578e-01,1.642801e-04,2.930545e+03,-1.657502e+04
4.902578e-01,2.205865e-04,3.052975e+03,-1.726743e+04
5.102578e-01,3.246624e-04,3.175063e+03,-1.795790e+04
5.302578e-01,5.813065e-04,3.296233e+03,-1.864313e+04
5.502578e-01,1.865890e-03,3.405533e+03,-1.926069e+04
5.702578e-01,5.492001e-03,3.421217e+03,-1.934530e+04
5.902578e-01,8.105924e-03,3.401931e+03,-1.923106e+04
6.102578e-01,1.011514e-02,3.378563e+03,-1.909372e+04
6.302578e-01,1.180170e-02,3.353963e+03,-1.894950e+04
6.502578e-01,1.328340e-02,3.328772e+03,-1.880199e+04
6.702578e-01,1.462092e-02,3.303244e+03,-1.865268e+04
6.902578e-01,1.585095e-02,3.277436e+03,-1.850186e+04
7.102578e-01,1.699747e-02,3.251354e+03,-1.834956e+04
7.302578e-01,1.807745e-02,3.224959e+03,-1.819555e+04
7.502578e-01,1.910367e-02,3.198177e+03,-1.803942e+04
7.702578e-01,2.008642e-02,3.170892e+03,-1.788049e+04
7.902578e-01,2.103456e-02,3.142934e+03,-1.771779e+04
8.102578e-01,2.195643e-02,3.114055e+03,-1.754991e+04
8.302578e-01,2.286076e-02,3.083895e+03,-1.737478e+04
8.502578e-01,2.375768e-02,3.051915e+03,-1.718933e+04
8.702578e-01,2.465986e-02,3.017342e+03,-1.698912e+04
8.902578e-01,2.558250e-02,2.979190e+03,-1.676853e+04
9.102578e-01,2.653777e-02,2.936729e+03,-1.652338e+04
9.302578e-01,2.752069e-02,2.890594e+03,-1.625728e+04
9.502578e-01,2.850507e-02,2.843078e+03,-1.598329e+04
9.702578e-01,2.946542e-02,2.796376e+03,-1.571396e+04
9.902578e-01,3.039320e-02,2.751271e+03,-1.545380e+04
1.000000e+00,3.083479e-02,2.729774e+03,-1.532981e+04
