time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,2.562857e-07,2.259734e+01,-1.294278e+02
2.000000e-03,5.132778e-07,4.519224e+01,-2.588416e+02
3.500000e-03,9.001188e-07,7.907982e+01,-4.529348e+02
5.750000e-03,1.483418e-06,1.299003e+02,-7.440121e+02
9.125000e-03,2.365290e-06,2.061059e+02,-1.180484e+03
1.418750e-02,3.703869e-06,3.203569e+02,-1.834863e+03
2.178125e-02,5.748224e-06,4.916011e+02,-2.815673e+03
3.317187e-02,8.900261e-06,7.481619e+02,-4.285135e+03
5.025781e-02,1.384077e-05,1.132283e+03,-6.485203e+03
7.025781e-02,1.997126e-05,1.580771e+03,-9.053938e+03
9.025782e-02,2.652541e-05,2.027951e+03,-1.161517e+04
1.102578e-01,3.353924e-05,2.473757e+03,-1.416852e+04
1.302578e-01,4.111805e-05,2.918076e+03,-1.671336e+04
1.502578e-01,4.933078e-05,3.360831e+03,-1.924925e+04
1.702578e-01,5.827488e-05,3.801928e+03,-2.177563e+04
1.902578e-01,6.807445e-05,4.241263e+03,-2.429192e+04
2.102578e-01,7.888408e-05,4.678728e+03,-2.679750e+04
2.302578e-01,9.089922e-05,5.114206e+03,-2.929169e+04
2.502578e-01,1.043712e-04,5.547573e+03,-3.177379e+04
2.702578e-01,1.196294e-04,5.978698e+03,-3.424305e+04
2.902578e-01,1.371143e-04,6.407439e+03,-3.669864e+04
3.102578e-01,1.574302e-04,6.833645e+03,-3.913972e+04
3.302578e-01,1.814298e-04,7.257158e+03,-4.156537e+04
3.502578e-01,2.109378e-04,7.677769e+03,-4.397440e+04
3.702578e-01,2.470224e-04,8.095364e+03,-4.636614e+04
3.902578e-01,2.932431e-04,8.509711e+03,-4.873927e+04
4.102578e-01,3.551122e-04,8.920587e+03,-5.109250e+04
4.302578e-01,4.431421e-04,9.327730e+03,-5.342433e+04
4.502578e-01,5.801270e-04,9.730772e+03,-5.573264e+04
4.702578e-01,8.268075e-04,1.012897e+04,-5.801305e+04
4.902578e-01,1.411714e-03,1.051918e+04,-6.024714e+04
5.102578e-01,3.948049e-03,1.085735e+04,-6.217546e+04
5.302578e-01,1.028300e-02,1.089634e+04,-6.234309e+04
5.502578e-01,1.510462e-02,1.081429e+04,-6.179955e+04
5.702578e-01,1.886813e-02,1.071674e+04,-6.116639e+04
5.902578e-01,2.206592e-02,1.061402e+04,-6.050435e+04
6.102578e-01,2.492740e-02,1.050602e+04,-5.981253e+04
6.302578e-01,2.760758e-02,1.038655e+04,-5.905439e+04
6.502578e-01,3.042886e-02,1.021382e+04,-5.798260e+04
6.515078e-01,3.066385e-02,1.019236e+04,-5.785260e+04
6.533828e-01,3.121879e-02,1.012565e+04,-5.745307e+04
6.534121e-01,3.125102e-02,1.012060e+04,-5.742309e+04
6.534221e-01,3.126615e-02,1.011818e+04,-5.740871e+04
6.534221e-01,3.126615e-02,1.011818e+04,-5.740871e+04
