,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_offset,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,spk_T,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tc_dish_0.000,0.058,0.058,0.0265,0.0265,Tc_dish_0.000,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.0,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.000.pkl
Tc_dish_0.003,0.058,0.058,0.02383333333333333,0.029166666666666667,Tc_dish_0.003,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.0026666666666666666,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.003.pkl
Tc_dish_0.005,0.058,0.058,0.021166666666666667,0.03183333333333333,Tc_dish_0.005,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.005333333333333333,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.005.pkl
Tc_dish_0.008,0.058,0.058,0.0185,0.0345,Tc_dish_0.008,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.008,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.008.pkl
Tc_dish_0.011,0.058,0.058,0.01583333333333333,0.03716666666666667,Tc_dish_0.011,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.010666666666666666,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.011.pkl
Tc_dish_0.013,0.058,0.058,0.013166666666666667,0.03983333333333333,Tc_dish_0.013,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.013333333333333332,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.013.pkl
Tc_dish_0.016,0.058,0.058,0.010499999999999999,0.042499999999999996,Tc_dish_0.016,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.016,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.016.pkl
Tc_dish_0.019,0.058,0.058,0.007833333333333335,0.04516666666666666,Tc_dish_0.019,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.018666666666666665,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.019.pkl
Tc_dish_0.021,0.058,0.058,0.005166666666666667,0.04783333333333333,Tc_dish_0.021,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.021333333333333333,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.021.pkl
Tc_dish_0.024,0.058,0.058,0.0024999999999999988,0.0505,Tc_dish_0.024,1.0115384615384616e-09,3.1739130434782607e-09,1.608695652173913e-09,0.0,0.000104,0.024,,0.304,26000000000.0,69000000000.0,0.0,0.0017800000000000001,beam,36.0,0.0,210000000000.0,Tc_dish_0.024.pkl
