Step,Time [s],Temperature,U3 [m],Tension [N],Compression [N]
0,0.000000e+00,0.000000e+00,4.046569e-02,0.000000e+00,0.000000e+00
0,1.500075e-02,-1.600080e-02,4.046569e-02,3.571838e+01,-2.037741e+02
0,3.000150e-02,-3.200160e-02,4.046569e-02,7.143732e+01,-4.075435e+02
0,4.500224e-02,-4.800240e-02,4.046569e-02,1.071561e+02,-6.113164e+02
0,6.000058e-02,-6.400062e-02,4.046569e-02,1.428690e+02,-8.150572e+02
0,7.500133e-02,-8.000142e-02,4.046569e-02,1.785878e+02,-1.018831e+03
0,9.000207e-02,-9.600221e-02,4.046569e-02,2.143061e+02,-1.222603e+03
0,1.050004e-01,-1.120004e-01,4.046569e-02,2.500188e+02,-1.426343e+03
0,1.200012e-01,-1.280012e-01,4.046569e-02,2.857374e+02,-1.630115e+03
0,1.350019e-01,-1.440020e-01,4.046569e-02,3.214560e+02,-1.833887e+03
0,1.500002e-01,-1.600003e-01,4.046569e-02,3.571685e+02,-2.037625e+03
0,1.650010e-01,-1.760011e-01,4.046569e-02,3.928853e+02,-2.241391e+03
0,1.800017e-01,-1.920019e-01,4.046569e-02,4.286040e+02,-2.445158e+03
0,1.950001e-01,-2.080001e-01,4.046569e-02,4.643158e+02,-2.648893e+03
0,2.100008e-01,-2.240009e-01,4.046569e-02,5.000336e+02,-2.852661e+03
0,2.250016e-01,-2.400017e-01,4.046569e-02,5.357517e+02,-3.056429e+03
0,2.400023e-01,-2.560025e-01,4.046569e-02,5.714698e+02,-3.260195e+03
0,2.550007e-01,-2.720007e-01,4.046569e-02,6.071817e+02,-3.463930e+03
0,2.700014e-01,-2.880015e-01,4.046569e-02,6.428991e+02,-3.667697e+03
0,2.850021e-01,-3.040023e-01,4.046569e-02,6.786170e+02,-3.871463e+03
0,3.000005e-01,-3.200005e-01,4.046569e-02,7.143283e+02,-4.075195e+03
0,3.150012e-01,-3.360013e-01,4.046569e-02,7.500453e+02,-4.278960e+03
0,3.300020e-01,-3.520021e-01,4.046569e-02,7.857628e+02,-4.482723e+03
0,3.450003e-01,-3.680004e-01,4.046569e-02,8.214748e+02,-4.686456e+03
0,3.600011e-01,-3.840011e-01,4.046569e-02,8.571937e+02,-4.890219e+03
0,3.750018e-01,-4.000020e-01,4.046569e-02,8.929097e+02,-5.093982e+03
0,3.900001e-01,-4.160002e-01,4.046569e-02,9.286198e+02,-5.297713e+03
0,4.050009e-01,-4.320010e-01,4.046569e-02,9.643380e+02,-5.501474e+03
0,4.200017e-01,-4.480018e-01,4.046569e-02,1.000055e+03,-5.705236e+03
0,4.350024e-01,-4.640026e-01,4.046569e-02,1.035772e+03,-5.908996e+03
0,4.500007e-01,-4.800008e-01,4.046569e-02,1.071482e+03,-6.112724e+03
0,4.650015e-01,-4.960016e-01,4.046569e-02,1.107199e+03,-6.316484e+03
0,4.800022e-01,-5.120024e-01,4.046569e-02,1.142915e+03,-6.520244e+03
0,4.950006e-01,-5.280007e-01,4.046569e-02,1.178628e+03,-6.723969e+03
0,5.100013e-01,-5.440014e-01,4.046569e-02,1.214345e+03,-6.927728e+03
0,5.250021e-01,-5.600022e-01,4.046569e-02,1.250061e+03,-7.131486e+03
0,5.400004e-01,-5.760004e-01,4.046569e-02,1.285770e+03,-7.335211e+03
0,5.550011e-01,-5.920013e-01,4.046569e-02,1.321488e+03,-7.538968e+03
0,5.700019e-01,-6.080020e-01,4.046569e-02,1.357204e+03,-7.742725e+03
0,5.850002e-01,-6.240003e-01,4.046569e-02,1.392914e+03,-7.946448e+03
0,6.000010e-01,-6.400011e-01,4.046569e-02,1.428629e+03,-8.150204e+03
0,6.150017e-01,-6.560019e-01,4.046569e-02,1.464347e+03,-8.353959e+03
0,6.300001e-01,-6.720001e-01,4.046569e-02,1.500056e+03,-8.557678e+03
0,6.450008e-01,-6.880009e-01,4.046569e-02,1.535773e+03,-8.761432e+03
0,6.600016e-01,-7.040017e-01,4.046569e-02,1.571488e+03,-8.965183e+03
0,6.750023e-01,-7.200024e-01,4.046569e-02,1.607204e+03,-9.168933e+03
0,6.900007e-01,-7.360007e-01,4.046569e-02,1.642912e+03,-9.372651e+03
0,7.050014e-01,-7.520015e-01,4.046569e-02,1.678628e+03,-9.576404e+03
0,7.200021e-01,-7.680023e-01,4.046569e-02,1.714345e+03,-9.780155e+03
0,7.350005e-01,-7.840006e-01,4.046569e-02,1.750053e+03,-9.983874e+03
0,7.500012e-01,-8.000013e-01,4.046569e-02,1.785771e+03,-1.018762e+04
0,7.650020e-01,-8.160021e-01,4.046569e-02,1.821485e+03,-1.039137e+04
0,7.800003e-01,-8.320003e-01,4.046569e-02,1.857195e+03,-1.059509e+04
0,7.950010e-01,-8.480011e-01,4.046569e-02,1.892910e+03,-1.079884e+04
0,8.100018e-01,-8.640019e-01,4.046569e-02,1.928625e+03,-1.100259e+04
