Step,Time [s],Strain Energy [J]
0,0.000000e+00,0.000000e+00
0,7.501665e-03,2.183959e-03
0,1.500079e-02,8.732763e-03
0,2.250245e-02,1.965048e-02
0,3.000158e-02,3.493042e-02
0,3.750070e-02,5.457509e-02
0,4.500236e-02,7.859432e-02
0,5.250149e-02,1.069678e-01
0,6.000061e-02,1.397040e-01
0,6.750228e-02,1.768250e-01
0,7.500140e-02,2.182911e-01
0,8.250052e-02,2.641166e-01
0,9.000219e-02,3.143229e-01
0,9.750132e-02,3.688764e-01
0,1.050004e-01,4.277923e-01
0,1.125021e-01,4.910938e-01
0,1.200012e-01,5.587376e-01
0,1.275004e-01,6.307442e-01
0,1.350020e-01,7.071403e-01
0,1.425011e-01,7.878734e-01
0,1.500003e-01,8.729680e-01
0,1.575019e-01,9.624573e-01
0,1.650010e-01,1.056279e+00
0,1.725002e-01,1.154463e+00
0,1.800018e-01,1.257046e+00
0,1.875010e-01,1.363956e+00
0,1.950001e-01,1.475228e+00
0,2.025017e-01,1.590901e+00
0,2.100009e-01,1.710895e+00
0,2.175000e-01,1.835254e+00
0,2.250017e-01,1.964018e+00
0,2.325008e-01,2.097101e+00
0,2.400025e-01,2.234593e+00
0,2.475016e-01,2.376400e+00
0,2.550007e-01,2.522570e+00
0,2.625024e-01,2.673153e+00
0,2.700015e-01,2.828045e+00
0,2.775006e-01,2.987299e+00
0,2.850023e-01,3.150967e+00
0,2.925014e-01,3.318937e+00
0,3.000005e-01,3.491271e+00
0,3.075022e-01,3.668029e+00
0,3.150013e-01,3.849089e+00
0,3.225004e-01,4.034509e+00
0,3.300021e-01,4.224354e+00
0,3.375012e-01,4.418496e+00
0,3.450004e-01,4.616996e+00
0,3.525020e-01,4.819932e+00
0,3.600011e-01,5.027154e+00
0,3.675002e-01,5.238741e+00
0,3.750019e-01,5.454761e+00
0,3.825010e-01,5.675065e+00
0,3.900002e-01,5.899729e+00
0,3.975018e-01,6.128835e+00
0,4.050010e-01,6.362208e+00
0,4.125001e-01,6.599940e+00
0,4.200017e-01,6.842115e+00
0,4.275009e-01,7.088575e+00
0,4.350000e-01,7.339400e+00
0,4.425017e-01,7.594669e+00
0,4.500008e-01,7.854212e+00
0,4.575025e-01,8.118200e+00
0,4.650016e-01,8.386458e+00
0,4.725007e-01,8.659079e+00
0,4.800024e-01,8.936151e+00
0,4.875015e-01,9.217484e+00
0,4.950006e-01,9.503188e+00
0,5.025023e-01,9.793344e+00
0,5.100014e-01,1.008776e+01
0,5.175005e-01,1.038654e+01
0,5.250022e-01,1.068977e+01
0,5.325013e-01,1.099727e+01
0,5.400004e-01,1.130912e+01
0,5.475021e-01,1.162543e+01
0,5.550012e-01,1.194600e+01
0,5.625004e-01,1.227092e+01
0,5.700020e-01,1.260029e+01
0,5.775011e-01,1.293390e+01
0,5.850003e-01,1.327188e+01
0,5.925019e-01,1.361432e+01
0,6.000010e-01,1.396102e+01
0,6.075002e-01,1.431209e+01
0,6.150019e-01,1.466764e+01
0,6.225010e-01,1.502742e+01
0,6.300001e-01,1.539156e+01
0,6.375017e-01,1.576018e+01
0,6.450009e-01,1.613303e+01
0,6.525000e-01,1.651025e+01
0,6.600016e-01,1.689193e+01
0,6.675008e-01,1.727787e+01
0,6.750025e-01,1.766828e+01
0,6.825016e-01,1.806291e+01
0,6.900007e-01,1.846190e+01
0,6.975024e-01,1.886540e+01
0,7.050015e-01,1.927312e+01
0,7.125006e-01,1.968518e+01
0,7.200023e-01,2.010175e+01
0,7.275014e-01,2.052253e+01
0,7.350005e-01,2.094766e+01
0,7.425022e-01,2.137729e+01
0,7.500013e-01,2.181115e+01
0,7.575004e-01,2.224936e+01
0,7.650021e-01,2.269206e+01
0,7.725012e-01,2.313896e+01
0,7.800003e-01,2.359023e+01
0,7.875020e-01,2.404601e+01
0,7.950011e-01,2.450600e+01
0,8.025002e-01,2.497029e+01
0,8.100019e-01,2.543908e+01
0,8.175011e-01,2.591208e+01
0,8.250002e-01,2.638942e+01
0,8.325018e-01,2.687129e+01
0,8.400009e-01,2.735736e+01
0,8.475001e-01,2.784779e+01
0,8.550017e-01,2.834277e+01
0,8.625008e-01,2.884195e+01
0,8.700000e-01,2.934548e+01
0,8.775017e-01,2.985353e+01
0,8.850008e-01,3.036575e+01
0,8.925024e-01,3.088251e+01
0,9.000016e-01,3.140346e+01
0,9.075007e-01,3.192873e+01
0,9.150023e-01,3.245855e+01
0,9.225015e-01,3.299253e+01
0,9.300006e-01,3.353086e+01
0,9.375023e-01,3.407374e+01
0,9.450014e-01,3.462076e+01
0,9.525005e-01,3.517211e+01
0,9.600022e-01,3.572796e+01
0,9.675013e-01,3.628825e+01
0,9.750004e-01,3.685236e+01
0,9.825021e-01,3.742061e+01
0,9.900012e-01,3.798699e+01
0,9.975004e-01,3.853719e+01
0,1.005002e+00,3.910053e+01
0,1.012501e+00,3.966120e+01
0,1.020000e+00,4.022447e+01
0,1.027502e+00,4.078595e+01
0,1.035001e+00,4.134809e+01
0,1.042500e+00,4.191033e+01
0,1.050002e+00,4.247243e+01
0,1.057501e+00,4.303433e+01
0,1.065000e+00,4.359597e+01
0,1.072502e+00,4.415778e+01
0,1.080001e+00,4.471938e+01
0,1.087500e+00,4.528099e+01
0,1.095002e+00,4.584286e+01
0,1.102501e+00,4.640457e+01
0,1.110002e+00,4.696647e+01
0,1.117502e+00,4.752819e+01
0,1.125001e+00,4.808995e+01
0,1.132502e+00,4.865187e+01
0,1.140001e+00,4.921362e+01
0,1.147501e+00,4.977535e+01
0,1.155002e+00,5.033723e+01
0,1.162501e+00,5.089888e+01
0,1.170001e+00,5.146047e+01
0,1.177502e+00,5.202222e+01
0,1.185001e+00,5.258369e+01
0,1.192500e+00,5.314518e+01
0,1.200002e+00,5.370684e+01
0,1.207501e+00,5.426821e+01
0,1.215000e+00,5.482957e+01
0,1.222502e+00,5.539108e+01
0,1.230001e+00,5.595238e+01
