time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,3.606411e-08,1.756081e+00,-4.899180e+01
2.000000e-03,7.232781e-08,3.512250e+00,-9.798320e+01
3.500000e-03,1.268367e-07,6.146436e+00,-1.714705e+02
5.750000e-03,2.090238e-07,1.009771e+01,-2.817014e+02
9.125000e-03,3.332640e-07,1.602462e+01,-4.470476e+02
1.418750e-02,5.218012e-07,2.491497e+01,-6.950663e+02
2.178125e-02,8.095697e-07,3.825048e+01,-1.067093e+03
3.317187e-02,1.252625e-06,5.825367e+01,-1.625131e+03
5.025781e-02,1.943742e-06,8.825832e+01,-2.462183e+03
7.025781e-02,2.795699e-06,1.233801e+02,-3.441987e+03
9.025782e-02,3.697754e-06,1.585017e+02,-4.421782e+03
1.102578e-01,4.653803e-06,1.936231e+02,-5.401568e+03
1.302578e-01,5.668452e-06,2.287442e+02,-6.381343e+03
1.502578e-01,6.747136e-06,2.638650e+02,-7.361110e+03
1.702578e-01,7.896119e-06,2.989857e+02,-8.340866e+03
1.902578e-01,9.122628e-06,3.341060e+02,-9.320612e+03
2.102578e-01,1.043503e-05,3.692261e+02,-1.030035e+04
2.302578e-01,1.184306e-05,4.043459e+02,-1.128007e+04
2.502578e-01,1.335810e-05,4.394655e+02,-1.225979e+04
2.702578e-01,1.499353e-05,4.745847e+02,-1.323949e+04
2.902578e-01,1.676522e-05,5.097037e+02,-1.421919e+04
3.102578e-01,1.869210e-05,5.448223e+02,-1.519887e+04
3.302578e-01,2.079696e-05,5.799407e+02,-1.617854e+04
3.502578e-01,2.310751e-05,6.150586e+02,-1.715820e+04
3.702578e-01,2.565780e-05,6.501762e+02,-1.813784e+04
3.902578e-01,2.849018e-05,6.852934e+02,-1.911747e+04
4.102578e-01,3.165804e-05,7.204100e+02,-2.009708e+04
4.302578e-01,3.522974e-05,7.555262e+02,-2.107668e+04
4.502578e-01,3.929436e-05,7.906416e+02,-2.205625e+04
4.702578e-01,4.397040e-05,8.257563e+02,-2.303580e+04
4.902578e-01,4.941923e-05,8.608699e+02,-2.401532e+04
5.102578e-01,5.586692e-05,8.959822e+02,-2.499479e+04
5.302578e-01,6.364102e-05,9.310925e+02,-2.597421e+04
5.502578e-01,7.323607e-05,9.661999e+02,-2.695355e+04
5.702578e-01,8.543822e-05,1.001303e+03,-2.793275e+04
5.902578e-01,1.022993e-04,1.036396e+03,-2.891168e+04
6.102578e-01,1.256082e-04,1.071472e+03,-2.989013e+04
6.302578e-01,1.618481e-04,1.106506e+03,-3.086738e+04
6.502578e-01,2.282580e-04,1.141397e+03,-3.184064e+04
6.702578e-01,4.001010e-04,1.175426e+03,-3.278970e+04
6.902578e-01,1.054910e-03,1.198960e+03,-3.344423e+04
7.102578e-01,1.871637e-03,1.202891e+03,-3.354875e+04
7.302578e-01,2.526555e-03,1.201055e+03,-3.349140e+04
7.352578e-01,2.697302e-03,1.199596e+03,-3.344900e+04
7.371328e-01,2.769755e-03,1.198817e+03,-3.342661e+04
7.399453e-01,2.905917e-03,1.197143e+03,-3.337882e+04
7.410000e-01,2.984565e-03,1.196102e+03,-3.334928e+04
7.413955e-01,3.031026e-03,1.195476e+03,-3.333160e+04
7.415438e-01,3.057555e-03,1.195116e+03,-3.332145e+04
7.415994e-01,3.071515e-03,1.194926e+03,-3.331609e+04
7.416203e-01,3.078089e-03,1.194836e+03,-3.331356e+04
7.416516e-01,3.091030e-03,1.194659e+03,-3.330858e+04
7.416633e-01,3.098188e-03,1.194560e+03,-3.330582e+04
7.416733e-01,3.108439e-03,1.194419e+03,-3.330185e+04
7.416733e-01,3.108439e-03,1.194419e+03,-3.330185e+04
