,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,lambda,mu,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_temp_factor,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tc_lambda5.0,0.05,0.05,0.025,0.025,Tc_lambda5.0,5.0,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0005545025209826065,beam,56.0,0.0,200000000000.0,Tc_lambda5.0.pkl
Tc_lambda6.8,0.05,0.05,0.025,0.025,Tc_lambda6.8,6.796781954392628,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0006245807285521027,beam,60.0,0.0,200000000000.0,Tc_lambda6.8.pkl
Tc_lambda9.2,0.05,0.05,0.025,0.025,Tc_lambda9.2,9.239248987111456,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0006943187668456324,beam,66.0,0.0,200000000000.0,Tc_lambda9.2.pkl
Tc_lambda12.6,0.05,0.05,0.025,0.025,Tc_lambda12.6,12.559432157547901,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0007860470071133529,beam,70.0,0.0,200000000000.0,Tc_lambda12.6.pkl
Tc_lambda17.1,0.05,0.05,0.025,0.025,Tc_lambda17.1,17.072744369168007,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0008795436732714224,beam,76.0,0.0,200000000000.0,Tc_lambda17.1.pkl
Tc_lambda23.2,0.05,0.05,0.025,0.025,Tc_lambda23.2,23.207944168063893,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0009872427329653763,beam,82.0,0.0,200000000000.0,Tc_lambda23.2.pkl
Tc_lambda31.5,0.05,0.05,0.025,0.025,Tc_lambda31.5,31.547867224009668,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0011111078154194187,beam,88.0,0.0,200000000000.0,Tc_lambda31.5.pkl
Tc_lambda42.9,0.05,0.05,0.025,0.025,Tc_lambda42.9,42.88479492954471,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0012403052688839933,beam,96.0,0.0,200000000000.0,Tc_lambda42.9.pkl
Tc_lambda58.3,0.05,0.05,0.025,0.025,Tc_lambda58.3,58.295720058991584,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0014029131496086182,beam,102.0,0.0,200000000000.0,Tc_lambda58.3.pkl
Tc_lambda79.2,0.05,0.05,0.025,0.025,Tc_lambda79.2,79.24465962305567,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00157507484608548,beam,110.0,0.0,200000000000.0,Tc_lambda79.2.pkl
Tc_lambda107.7,0.05,0.05,0.025,0.025,Tc_lambda107.7,107.72173450159416,0.37681159420289856,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0017582214825381593,beam,120.0,0.0,200000000000.0,Tc_lambda107.7.pkl
