time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,1.984271e-08,6.482130e-01,-6.370720e+00
2.000000e-03,3.988869e-08,1.296430e+00,-1.274149e+01
3.500000e-03,6.999861e-08,2.268756e+00,-2.229764e+01
5.750000e-03,1.154096e-07,3.727249e+00,-3.663190e+01
9.125000e-03,1.840399e-07,5.914993e+00,-5.813333e+01
1.418750e-02,2.881168e-07,9.196615e+00,-9.038555e+01
2.178125e-02,4.468019e-07,1.411906e+01,-1.387639e+02
3.317187e-02,6.907821e-07,2.150273e+01,-2.113316e+02
5.025781e-02,1.070811e-06,3.257825e+01,-3.201833e+02
7.025781e-02,1.537933e-06,4.554275e+01,-4.476000e+02
9.025782e-02,2.032389e-06,5.850726e+01,-5.750167e+02
1.102578e-01,2.556308e-06,7.147176e+01,-7.024333e+02
1.302578e-01,3.112470e-06,8.443626e+01,-8.298499e+02
1.502578e-01,3.704157e-06,9.740076e+01,-9.572664e+02
1.702578e-01,4.335152e-06,1.103653e+02,-1.084683e+03
1.902578e-01,5.009803e-06,1.233297e+02,-1.212099e+03
2.102578e-01,5.733164e-06,1.362942e+02,-1.339516e+03
2.302578e-01,6.511129e-06,1.492587e+02,-1.466932e+03
2.502578e-01,7.350637e-06,1.622232e+02,-1.594348e+03
2.702578e-01,8.259909e-06,1.751877e+02,-1.721764e+03
2.902578e-01,9.248773e-06,1.881522e+02,-1.849180e+03
3.102578e-01,1.032909e-05,2.011166e+02,-1.976596e+03
3.302578e-01,1.151534e-05,2.140811e+02,-2.104012e+03
3.502578e-01,1.282536e-05,2.270455e+02,-2.231427e+03
3.702578e-01,1.428151e-05,2.400100e+02,-2.358843e+03
3.902578e-01,1.591215e-05,2.529744e+02,-2.486258e+03
4.102578e-01,1.776892e-05,2.659388e+02,-2.613673e+03
4.302578e-01,1.987518e-05,2.789032e+02,-2.741089e+03
4.502578e-01,2.230832e-05,2.918676e+02,-2.868503e+03
4.702578e-01,2.515993e-05,3.048320e+02,-2.995918e+03
4.902578e-01,2.856144e-05,3.177964e+02,-3.123332e+03
5.102578e-01,3.270911e-05,3.307606e+02,-3.250746e+03
5.302578e-01,3.791067e-05,3.437249e+02,-3.378159e+03
5.502578e-01,4.467963e-05,3.566890e+02,-3.505571e+03
5.702578e-01,5.394543e-05,3.696529e+02,-3.632980e+03
5.902578e-01,6.758946e-05,3.826163e+02,-3.760386e+03
6.102578e-01,9.010225e-05,3.955786e+02,-3.887780e+03
6.302578e-01,1.355604e-04,4.085368e+02,-4.015132e+03
6.502578e-01,2.823182e-04,4.214620e+02,-4.142160e+03
6.702578e-01,2.172524e-03,4.313205e+02,-4.238869e+03
6.902578e-01,4.755175e-03,4.322267e+02,-4.247058e+03
7.102578e-01,6.431438e-03,4.325312e+02,-4.249250e+03
7.302578e-01,7.759598e-03,4.327577e+02,-4.250823e+03
7.502578e-01,8.894127e-03,4.329459e+02,-4.251923e+03
7.702578e-01,9.900277e-03,4.331168e+02,-4.252865e+03
7.902578e-01,1.081386e-02,4.332733e+02,-4.253659e+03
8.102578e-01,1.165673e-02,4.334165e+02,-4.254320e+03
8.302578e-01,1.244363e-02,4.335436e+02,-4.254821e+03
8.502578e-01,1.318552e-02,4.336445e+02,-4.254900e+03
8.702578e-01,1.389057e-02,4.337122e+02,-4.254858e+03
8.902578e-01,1.456901e-02,4.336927e+02,-4.253932e+03
9.102578e-01,1.527078e-02,4.330758e+02,-4.247151e+03
9.152578e-01,1.547123e-02,4.325637e+02,-4.241888e+03
9.202578e-01,1.569695e-02,4.316186e+02,-4.232335e+03
9.277578e-01,1.617627e-02,4.282895e+02,-4.199068e+03
9.305703e-01,1.658285e-02,4.249166e+02,-4.165543e+03
9.308340e-01,1.665157e-02,4.242883e+02,-4.159309e+03
9.312295e-01,1.683313e-02,4.225046e+02,-4.141618e+03
9.313778e-01,1.699731e-02,4.207915e+02,-4.124641e+03
9.314334e-01,1.710025e-02,4.196879e+02,-4.113704e+03
9.314543e-01,1.716786e-02,4.189474e+02,-4.106365e+03
9.314543e-01,1.716786e-02,4.189474e+02,-4.106365e+03
