,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,lambda,mu,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_temp_factor,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tc_mu0.010,0.05,0.05,0.025,0.025,Tc_mu0.010,10.0,0.01,2.653846153846154e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0004759822332412332,beam,152.0,0.0,200000000000.0,Tc_mu0.010.pkl
Tc_mu0.014,0.05,0.05,0.025,0.025,Tc_mu0.014,10.0,0.013593563908785255,3.607522729639164e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0004959621322448447,beam,140.0,0.0,200000000000.0,Tc_mu0.014.pkl
Tc_mu0.018,0.05,0.05,0.025,0.025,Tc_mu0.018,10.0,0.018478497974222907,4.903909077774541e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0005146842282627833,beam,130.0,0.0,200000000000.0,Tc_mu0.018.pkl
Tc_mu0.025,0.05,0.05,0.025,0.025,Tc_mu0.025,10.0,0.025118864315095794,6.666160145160039e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000535700329218051,beam,120.0,0.0,200000000000.0,Tc_mu0.025.pkl
Tc_mu0.034,0.05,0.05,0.025,0.025,Tc_mu0.034,10.0,0.034145488738336005,9.061687395943018e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0005545025209826065,beam,112.0,0.0,200000000000.0,Tc_mu0.034.pkl
Tc_mu0.046,0.05,0.05,0.025,0.025,Tc_mu0.046,10.0,0.046415888336127774,1.2318062673818525e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000575434460671301,beam,104.0,0.0,200000000000.0,Tc_mu0.046.pkl
Tc_mu0.063,0.05,0.05,0.025,0.025,Tc_mu0.063,10.0,0.06309573444801933,1.6744637218897437e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0005927881296055263,beam,98.0,0.0,200000000000.0,Tc_mu0.063.pkl
Tc_mu0.086,0.05,0.05,0.025,0.025,Tc_mu0.086,10.0,0.08576958985908942,2.2761929616450654e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0006185734585580258,beam,90.0,0.0,200000000000.0,Tc_mu0.086.pkl
Tc_mu0.117,0.05,0.05,0.025,0.025,Tc_mu0.117,10.0,0.11659144011798317,3.094157449284938e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000640284359511268,beam,84.0,0.0,200000000000.0,Tc_mu0.117.pkl
Tc_mu0.158,0.05,0.05,0.025,0.025,Tc_mu0.158,10.0,0.15848931924611134,4.206062703069878e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0006644544815391254,beam,78.0,0.0,200000000000.0,Tc_mu0.158.pkl
Tc_mu0.215,0.05,0.05,0.025,0.025,Tc_mu0.215,10.0,0.21544346900318834,5.717538215853845e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0006821763773564979,beam,74.0,0.0,200000000000.0,Tc_mu0.215.pkl
Tc_mu0.293,0.05,0.05,0.025,0.025,Tc_mu0.293,10.0,0.29286445646252357,7.772172113813126e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0007013963738441378,beam,70.0,0.0,200000000000.0,Tc_mu0.293.pkl
Tc_mu0.398,0.05,0.05,0.025,0.025,Tc_mu0.398,10.0,0.3981071705534973,1.0565151833919737e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000722338176560647,beam,66.0,0.0,200000000000.0,Tc_mu0.398.pkl
Tc_mu0.541,0.05,0.05,0.025,0.025,Tc_mu0.541,10.0,0.5411695265464638,1.436180666604077e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0007452752373898128,beam,62.0,0.0,200000000000.0,Tc_mu0.541.pkl
Tc_mu0.736,0.05,0.05,0.025,0.025,Tc_mu0.736,10.0,0.7356422544596414,1.952281367604433e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0007575946709478998,beam,60.0,0.0,200000000000.0,Tc_mu0.736.pkl
Tc_mu1.000,0.05,0.05,0.025,0.025,Tc_mu1.000,10.0,1.0,2.653846153846154e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.0007705459453610818,beam,58.0,0.0,200000000000.0,Tc_mu1.000.pkl
