Tension [N],displacement [mm],delta Load [N]
295.3,0,0
295.3,0.4826,9.860436533
295.3,0.9906,19.71343276
295.3,1.4478,28.65261984
506.8,0,0
506.8,0.508,9.861822213
506.8,1.016,19.71481844
506.8,1.4986,28.6553912
718,0,0
718,0.5588,9.864593572
718,1.143,19.72174684
718,1.6764,28.66509096
932.3,0,0
932.3,0.6096,9.867364931
932.3,1.2446,19.72728956
932.3,1.8034,28.67201936
1087.6,0,0
1087.6,0.6604,9.870136291
1087.6,1.3462,19.73283228
1087.6,1.9558,28.68033344
1254.9,0,0
1254.9,0.7366,9.87429333
1254.9,1.4986,19.74114635
1254.9,2.1844,28.69280455
