,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_offset,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,spk_T,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tc_dish_0.000_T0,0.05,0.05,0.025,0.025,Tc_dish_0.000_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T0.pkl
Tc_dish_0.000_T167,0.05,0.05,0.025,0.025,Tc_dish_0.000_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T167.pkl
Tc_dish_0.000_T333,0.05,0.05,0.025,0.025,Tc_dish_0.000_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T333.pkl
Tc_dish_0.000_T500,0.05,0.05,0.025,0.025,Tc_dish_0.000_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T500.pkl
Tc_dish_0.000_T667,0.05,0.05,0.025,0.025,Tc_dish_0.000_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T667.pkl
Tc_dish_0.000_T833,0.05,0.05,0.025,0.025,Tc_dish_0.000_T833,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,833.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T833.pkl
Tc_dish_0.000_T1000,0.05,0.05,0.025,0.025,Tc_dish_0.000_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,1000.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T1000.pkl
Tc_dish_0.000_T1167,0.05,0.05,0.025,0.025,Tc_dish_0.000_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T1167.pkl
Tc_dish_0.000_T1333,0.05,0.05,0.025,0.025,Tc_dish_0.000_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T1333.pkl
Tc_dish_0.000_T1500,0.05,0.05,0.025,0.025,Tc_dish_0.000_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.000_T1500.pkl
