,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_temp_factor,spk_T,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Klat_T0,0.05,0.05,0.025,0.025,Klat_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,0.0,0.0018,beam,36.0,0.0,2e+11,Klat_T0.pkl
Klat_T100,0.05,0.05,0.025,0.025,Klat_T100,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,100.0,0.0018,beam,36.0,0.0,2e+11,Klat_T100.pkl
Klat_T200,0.05,0.05,0.025,0.025,Klat_T200,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,200.0,0.0018,beam,36.0,0.0,2e+11,Klat_T200.pkl
Klat_T300,0.05,0.05,0.025,0.025,Klat_T300,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,300.0,0.0018,beam,36.0,0.0,2e+11,Klat_T300.pkl
Klat_T400,0.05,0.05,0.025,0.025,Klat_T400,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,400.0,0.0018,beam,36.0,0.0,2e+11,Klat_T400.pkl
Klat_T500,0.05,0.05,0.025,0.025,Klat_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,500.0,0.0018,beam,36.0,0.0,2e+11,Klat_T500.pkl
Klat_T600,0.05,0.05,0.025,0.025,Klat_T600,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,600.0,0.0018,beam,36.0,0.0,2e+11,Klat_T600.pkl
Klat_T700,0.05,0.05,0.025,0.025,Klat_T700,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,700.0,0.0018,beam,36.0,0.0,2e+11,Klat_T700.pkl
Klat_T800,0.05,0.05,0.025,0.025,Klat_T800,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,800.0,0.0018,beam,36.0,0.0,2e+11,Klat_T800.pkl
Klat_T900,0.05,0.05,0.025,0.025,Klat_T900,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,900.0,0.0018,beam,36.0,0.0,2e+11,Klat_T900.pkl
Klat_T1000,0.05,0.05,0.025,0.025,Klat_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1000.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1000.pkl
Klat_T1100,0.05,0.05,0.025,0.025,Klat_T1100,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1100.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1100.pkl
Klat_T1200,0.05,0.05,0.025,0.025,Klat_T1200,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1200.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1200.pkl
Klat_T1300,0.05,0.05,0.025,0.025,Klat_T1300,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1300.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1300.pkl
Klat_T1400,0.05,0.05,0.025,0.025,Klat_T1400,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1400.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1400.pkl
Klat_T1500,0.05,0.05,0.025,0.025,Klat_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1500.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1500.pkl
Klat_T1600,0.05,0.05,0.025,0.025,Klat_T1600,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1600.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1600.pkl
Klat_T1700,0.05,0.05,0.025,0.025,Klat_T1700,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1700.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1700.pkl
Klat_T1800,0.05,0.05,0.025,0.025,Klat_T1800,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1800.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1800.pkl
Klat_T1900,0.05,0.05,0.025,0.025,Klat_T1900,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,,0.3,26000000000.0,69000000000.0,1.5,1900.0,0.0018,beam,36.0,0.0,2e+11,Klat_T1900.pkl
