time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,3.835567e-08,1.359874e+00,-3.017861e+01
2.000000e-03,7.693266e-08,2.719765e+00,-6.035708e+01
3.500000e-03,1.349229e-07,4.759588e+00,-1.056249e+02
5.750000e-03,2.223761e-07,7.819322e+00,-1.735265e+02
9.125000e-03,3.546111e-07,1.240892e+01,-2.753789e+02
1.418750e-02,5.553483e-07,1.929331e+01,-4.281574e+02
2.178125e-02,8.618669e-07,2.961989e+01,-6.573246e+02
3.317187e-02,1.334027e-06,4.510973e+01,-1.001075e+03
5.025781e-02,2.070998e-06,6.834443e+01,-1.516698e+03
7.025781e-02,2.980169e-06,9.554180e+01,-2.120259e+03
9.025782e-02,3.943735e-06,1.227391e+02,-2.723817e+03
1.102578e-01,4.966071e-06,1.499362e+02,-3.327371e+03
1.302578e-01,6.052353e-06,1.771332e+02,-3.930922e+03
1.502578e-01,7.208676e-06,2.043302e+02,-4.534470e+03
1.702578e-01,8.442040e-06,2.315270e+02,-5.138014e+03
1.902578e-01,9.760498e-06,2.587237e+02,-5.741554e+03
2.102578e-01,1.117335e-05,2.859202e+02,-6.345090e+03
2.302578e-01,1.269139e-05,3.131167e+02,-6.948622e+03
2.502578e-01,1.432721e-05,3.403130e+02,-7.552151e+03
2.702578e-01,1.609557e-05,3.675091e+02,-8.155675e+03
2.902578e-01,1.801393e-05,3.947051e+02,-8.759194e+03
3.102578e-01,2.010307e-05,4.219009e+02,-9.362709e+03
3.302578e-01,2.238795e-05,4.490966e+02,-9.966219e+03
3.502578e-01,2.489881e-05,4.762920e+02,-1.056972e+04
3.702578e-01,2.767271e-05,5.034872e+02,-1.117322e+04
3.902578e-01,3.075561e-05,5.306822e+02,-1.177671e+04
4.102578e-01,3.420526e-05,5.578768e+02,-1.238020e+04
4.302578e-01,3.809539e-05,5.850711e+02,-1.298367e+04
4.502578e-01,4.252178e-05,6.122649e+02,-1.358713e+04
4.702578e-01,4.761157e-05,6.394582e+02,-1.419058e+04
4.902578e-01,5.353763e-05,6.666507e+02,-1.479402e+04
5.102578e-01,6.054216e-05,6.938422e+02,-1.539743e+04
5.302578e-01,6.897688e-05,7.210322e+02,-1.600080e+04
5.502578e-01,7.963166e-05,7.482198e+02,-1.660412e+04
5.702578e-01,9.303452e-05,7.754039e+02,-1.720736e+04
5.902578e-01,1.109522e-04,8.025813e+02,-1.781045e+04
6.102578e-01,1.365971e-04,8.297448e+02,-1.841323e+04
6.302578e-01,1.776681e-04,8.568719e+02,-1.901520e+04
6.502578e-01,2.591608e-04,8.838586e+02,-1.961404e+04
6.702578e-01,5.243067e-04,9.095870e+02,-2.018483e+04
6.902578e-01,1.424598e-03,9.221353e+02,-2.046186e+04
7.102578e-01,2.218415e-03,9.239439e+02,-2.049951e+04
7.302578e-01,2.824027e-03,9.240168e+02,-2.049847e+04
7.502578e-01,3.339615e-03,9.231692e+02,-2.047689e+04
7.702578e-01,3.858330e-03,9.201296e+02,-2.040653e+04
7.752578e-01,4.055581e-03,9.178520e+02,-2.035509e+04
7.771328e-01,4.220949e-03,9.156901e+02,-2.030663e+04
7.773086e-01,4.274151e-03,9.149869e+02,-2.029093e+04
7.773186e-01,4.281281e-03,9.148924e+02,-2.028882e+04
7.773286e-01,4.293123e-03,9.147354e+02,-2.028532e+04
7.773286e-01,4.293123e-03,9.147354e+02,-2.028532e+04
