time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,8.680781e-09,2.993828e-01,-4.651138e+00
2.000000e-03,1.739270e-08,5.987693e-01,-9.302355e+00
3.500000e-03,3.047476e-08,1.047850e+00,-1.627918e+01
5.750000e-03,5.017208e-08,1.721474e+00,-2.674445e+01
9.125000e-03,7.991913e-08,2.731913e+00,-4.244243e+01
1.418750e-02,1.250584e-07,4.247578e+00,-6.598947e+01
2.178125e-02,1.940433e-07,6.521081e+00,-1.013101e+02
3.317187e-02,3.005679e-07,9.931345e+00,-1.542913e+02
5.025781e-02,4.675891e-07,1.504675e+01,-2.337631e+02
7.025781e-02,6.748799e-07,2.103461e+01,-3.267891e+02
9.025782e-02,8.955709e-07,2.702247e+01,-4.198151e+02
1.102578e-01,1.131740e-06,3.301033e+01,-5.128412e+02
1.302578e-01,1.384737e-06,3.899819e+01,-6.058672e+02
1.502578e-01,1.656327e-06,4.498605e+01,-6.988932e+02
1.702578e-01,1.948686e-06,5.097391e+01,-7.919192e+02
1.902578e-01,2.264310e-06,5.696178e+01,-8.849452e+02
2.102578e-01,2.606135e-06,6.294964e+01,-9.779711e+02
2.302578e-01,2.977609e-06,6.893749e+01,-1.070997e+03
2.502578e-01,3.382821e-06,7.492535e+01,-1.164023e+03
2.702578e-01,3.826649e-06,8.091321e+01,-1.257049e+03
2.902578e-01,4.314964e-06,8.690107e+01,-1.350074e+03
3.102578e-01,4.854890e-06,9.288892e+01,-1.443100e+03
3.302578e-01,5.455159e-06,9.887678e+01,-1.536126e+03
3.502578e-01,6.126593e-06,1.048646e+02,-1.629151e+03
3.702578e-01,6.882765e-06,1.108525e+02,-1.722177e+03
3.902578e-01,7.740935e-06,1.168403e+02,-1.815203e+03
4.102578e-01,8.723388e-06,1.228282e+02,-1.908228e+03
4.302578e-01,9.859408e-06,1.288160e+02,-2.001253e+03
4.502578e-01,1.118826e-05,1.348039e+02,-2.094279e+03
4.702578e-01,1.278701e-05,1.407917e+02,-2.187304e+03
4.902578e-01,1.469556e-05,1.467795e+02,-2.280329e+03
5.102578e-01,1.704391e-05,1.527673e+02,-2.373354e+03
5.302578e-01,2.000523e-05,1.587551e+02,-2.466378e+03
5.502578e-01,2.385802e-05,1.647428e+02,-2.559402e+03
5.702578e-01,2.908139e-05,1.707305e+02,-2.652425e+03
5.902578e-01,3.657831e-05,1.767181e+02,-2.745446e+03
6.102578e-01,4.829049e-05,1.827055e+02,-2.838464e+03
6.302578e-01,6.938115e-05,1.886923e+02,-2.931472e+03
6.502578e-01,1.208899e-04,1.946765e+02,-3.024441e+03
6.702578e-01,8.158241e-04,2.004394e+02,-3.113956e+03
6.902578e-01,3.734017e-03,2.010205e+02,-3.122611e+03
7.102578e-01,5.284543e-03,2.011635e+02,-3.124428e+03
7.302578e-01,6.471479e-03,2.012819e+02,-3.125861e+03
7.502578e-01,7.471649e-03,2.013864e+02,-3.127078e+03
7.702578e-01,8.354296e-03,2.014747e+02,-3.128035e+03
7.902578e-01,9.156498e-03,2.015373e+02,-3.128600e+03
8.102578e-01,9.905166e-03,2.015458e+02,-3.128314e+03
8.302578e-01,1.064122e-02,2.013940e+02,-3.125526e+03
8.352578e-01,1.083996e-02,2.012831e+02,-3.123690e+03
8.427578e-01,1.121909e-02,2.009175e+02,-3.117820e+03
8.455703e-01,1.167199e-02,2.002943e+02,-3.108028e+03
8.455703e-01,1.167199e-02,1.997973e+02,-3.090203e+03
