,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,lambda,mu,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_temp_factor,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tc_mu0.010,0.05,0.05,0.025,0.025,Tc_mu0.010,10.0,0.01,2.65384615385e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000475982233241,beam,152.0,0.0,2e+11,Tc_mu0.010.pkl
Tc_mu0.014,0.05,0.05,0.025,0.025,Tc_mu0.014,10.0,0.0135935639088,3.60752272964e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000495962132245,beam,140.0,0.0,2e+11,Tc_mu0.014.pkl
Tc_mu0.018,0.05,0.05,0.025,0.025,Tc_mu0.018,10.0,0.0184784979742,4.90390907777e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000514684228263,beam,130.0,0.0,2e+11,Tc_mu0.018.pkl
Tc_mu0.025,0.05,0.05,0.025,0.025,Tc_mu0.025,10.0,0.0251188643151,6.66616014516e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000535700329218,beam,120.0,0.0,2e+11,Tc_mu0.025.pkl
Tc_mu0.034,0.05,0.05,0.025,0.025,Tc_mu0.034,10.0,0.0341454887383,9.06168739594e-11,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000554502520983,beam,112.0,0.0,2e+11,Tc_mu0.034.pkl
Tc_mu0.046,0.05,0.05,0.025,0.025,Tc_mu0.046,10.0,0.0464158883361,1.23180626738e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000575434460671,beam,104.0,0.0,2e+11,Tc_mu0.046.pkl
Tc_mu0.063,0.05,0.05,0.025,0.025,Tc_mu0.063,10.0,0.063095734448,1.67446372189e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000592788129606,beam,98.0,0.0,2e+11,Tc_mu0.063.pkl
Tc_mu0.086,0.05,0.05,0.025,0.025,Tc_mu0.086,10.0,0.0857695898591,2.27619296165e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000618573458558,beam,90.0,0.0,2e+11,Tc_mu0.086.pkl
Tc_mu0.117,0.05,0.05,0.025,0.025,Tc_mu0.117,10.0,0.116591440118,3.09415744928e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000640284359511,beam,84.0,0.0,2e+11,Tc_mu0.117.pkl
Tc_mu0.158,0.05,0.05,0.025,0.025,Tc_mu0.158,10.0,0.158489319246,4.20606270307e-10,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000664454481539,beam,78.0,0.0,2e+11,Tc_mu0.158.pkl
