Time [s],U3 [m],RF3 [N],n_buckled
0.000000e+00,-1.908571e-06,0.000000e+00,0
1.000000e+00,1.768765e-05,1.000047e+00,0
2.000000e+00,3.728391e-05,2.000091e+00,0
3.500000e+00,6.667848e-05,3.500165e+00,0
5.750000e+00,1.107709e-04,5.750302e+00,0
9.125000e+00,1.769118e-04,9.125605e+00,0
1.418750e+01,2.761305e-04,1.418890e+01,0
2.178125e+01,4.249845e-04,2.178506e+01,0
3.178125e+01,6.210778e-04,3.179164e+01,0
4.178125e+01,8.172886e-04,4.180376e+01,0
5.178125e+01,1.013660e-03,5.182346e+01,0
6.178125e+01,1.210244e-03,6.185300e+01,0
7.178125e+01,1.407101e-03,7.189501e+01,0
8.178125e+01,1.604305e-03,8.195261e+01,0
9.178125e+01,1.801951e-03,9.202965e+01,0
1.017812e+02,2.000166e-03,1.021309e+02,0
1.117812e+02,2.199119e-03,1.122627e+02,0
1.217812e+02,2.399044e-03,1.224327e+02,0
1.317812e+02,2.600260e-03,1.326498e+02,0
1.417812e+02,2.803131e-03,1.429175e+02,0
1.517812e+02,3.007466e-03,1.531878e+02,0
1.617812e+02,3.207804e-03,1.630674e+02,0
1.717812e+02,3.378806e-03,1.710448e+02,1
1.817812e+02,3.518466e-03,1.769669e+02,1
1.917812e+02,3.656569e-03,1.823861e+02,1
2.017812e+02,3.804228e-03,1.879194e+02,1
2.117812e+02,3.961384e-03,1.936075e+02,1
2.217812e+02,4.116438e-03,1.989204e+02,1
2.317812e+02,4.243076e-03,2.027333e+02,3
2.417812e+02,4.347316e-03,2.052727e+02,3
2.517812e+02,4.448854e-03,2.072950e+02,3
2.617812e+02,4.556279e-03,2.091524e+02,3
2.717812e+02,4.672371e-03,2.109880e+02,3
2.817812e+02,4.797549e-03,2.128581e+02,3
2.917812e+02,4.931320e-03,2.147828e+02,3
3.017812e+02,5.072869e-03,2.167661e+02,3
3.117812e+02,5.221312e-03,2.188048e+02,3
3.217812e+02,5.375799e-03,2.208931e+02,3
3.317812e+02,5.535558e-03,2.230241e+02,3
3.417812e+02,5.699905e-03,2.251909e+02,3
3.517812e+02,5.868244e-03,2.273872e+02,3
3.617812e+02,6.040056e-03,2.296069e+02,3
3.717812e+02,6.214901e-03,2.318453e+02,3
3.817812e+02,6.392390e-03,2.340976e+02,3
3.917812e+02,6.572192e-03,2.363598e+02,3
4.017812e+02,6.754015e-03,2.386284e+02,3
4.117812e+02,6.937608e-03,2.409003e+02,3
4.217812e+02,7.122747e-03,2.431727e+02,3
4.317812e+02,7.309232e-03,2.454430e+02,3
4.417812e+02,7.496883e-03,2.477088e+02,3
4.517812e+02,7.685530e-03,2.499678e+02,3
4.617812e+02,7.875006e-03,2.522174e+02,3
4.717812e+02,8.065141e-03,2.544550e+02,3
4.817812e+02,8.255744e-03,2.566769e+02,3
4.917812e+02,8.446584e-03,2.588788e+02,3
5.017812e+02,8.637333e-03,2.610538e+02,3
5.117812e+02,8.827481e-03,2.631915e+02,3
5.217812e+02,9.016101e-03,2.652733e+02,3
5.317812e+02,9.201248e-03,2.672645e+02,5
5.417812e+02,9.378411e-03,2.690936e+02,5
5.517812e+02,9.538492e-03,2.706336e+02,5
5.617812e+02,9.675493e-03,2.718100e+02,5
5.717812e+02,9.799618e-03,2.727444e+02,5
5.817812e+02,9.922908e-03,2.735796e+02,5
5.917812e+02,1.005069e-02,2.743861e+02,5
6.017812e+02,1.018434e-02,2.751908e+02,5
6.117812e+02,1.032370e-02,2.760016e+02,5
6.217812e+02,1.046814e-02,2.768196e+02,5
6.317812e+02,1.061698e-02,2.776435e+02,5
6.417812e+02,1.076959e-02,2.784708e+02,5
6.517812e+02,1.092544e-02,2.792994e+02,5
6.617812e+02,1.108408e-02,2.801272e+02,5
6.717812e+02,1.124512e-02,2.809523e+02,5
6.817812e+02,1.140828e-02,2.817733e+02,5
6.917812e+02,1.157329e-02,2.825889e+02,5
7.017812e+02,1.173992e-02,2.833978e+02,5
7.117812e+02,1.190799e-02,2.841991e+02,5
7.217812e+02,1.207736e-02,2.849922e+02,5
7.317812e+02,1.224789e-02,2.857764e+02,5
7.417812e+02,1.241947e-02,2.865511e+02,5
7.517812e+02,1.259200e-02,2.873159e+02,5
7.617812e+02,1.276539e-02,2.880704e+02,5
7.717812e+02,1.293958e-02,2.888143e+02,5
7.817812e+02,1.311449e-02,2.895474e+02,5
7.917812e+02,1.329007e-02,2.902694e+02,5
8.017812e+02,1.346626e-02,2.909802e+02,5
8.117812e+02,1.364302e-02,2.916797e+02,5
8.217812e+02,1.382032e-02,2.923677e+02,5
8.317812e+02,1.399810e-02,2.930442e+02,5
8.417812e+02,1.417635e-02,2.937091e+02,5
8.517812e+02,1.435503e-02,2.943623e+02,5
8.617812e+02,1.453411e-02,2.950039e+02,5
8.717812e+02,1.471356e-02,2.956338e+02,5
8.817812e+02,1.489338e-02,2.962520e+02,5
8.917812e+02,1.507353e-02,2.968585e+02,5
9.017812e+02,1.525400e-02,2.974532e+02,5
9.117812e+02,1.543476e-02,2.980363e+02,5
9.217812e+02,1.561579e-02,2.986075e+02,5
9.317812e+02,1.579709e-02,2.991669e+02,5
9.417812e+02,1.597863e-02,2.997146e+02,5
9.517812e+02,1.616040e-02,3.002503e+02,5
9.617812e+02,1.634237e-02,3.007741e+02,5
9.717812e+02,1.652453e-02,3.012859e+02,5
9.817812e+02,1.670685e-02,3.017854e+02,5
9.917812e+02,1.688932e-02,3.022727e+02,5
1.001781e+03,1.707190e-02,3.027474e+02,5
1.011781e+03,1.725458e-02,3.032094e+02,5
1.021781e+03,1.743733e-02,3.036584e+02,5
1.031781e+03,1.762010e-02,3.040941e+02,5
1.041781e+03,1.780287e-02,3.045161e+02,5
1.051781e+03,1.798560e-02,3.049240e+02,5
1.061781e+03,1.816824e-02,3.053173e+02,5
1.071781e+03,1.835074e-02,3.056956e+02,5
1.081781e+03,1.853305e-02,3.060583e+02,5
1.091781e+03,1.871514e-02,3.064049e+02,5
1.101781e+03,1.889695e-02,3.067350e+02,5
1.111781e+03,1.907845e-02,3.070482e+02,5
1.121781e+03,1.925959e-02,3.073439e+02,5
1.131781e+03,1.944038e-02,3.076221e+02,5
1.141781e+03,1.962078e-02,3.078827e+02,5
1.151781e+03,1.980083e-02,3.081256e+02,5
1.161781e+03,1.998053e-02,3.083512e+02,5
1.171781e+03,2.015992e-02,3.085596e+02,5
1.181781e+03,2.033904e-02,3.087514e+02,5
1.191781e+03,2.051792e-02,3.089270e+02,5
1.201781e+03,2.069660e-02,3.090868e+02,5
1.211781e+03,2.087511e-02,3.092312e+02,5
1.221781e+03,2.105346e-02,3.093605e+02,5
1.231781e+03,2.123163e-02,3.094747e+02,7
1.241781e+03,2.140958e-02,3.095736e+02,7
1.251781e+03,2.158722e-02,3.096568e+02,7
1.261781e+03,2.176442e-02,3.097230e+02,7
1.271781e+03,2.194094e-02,3.097704e+02,7
1.281781e+03,2.211642e-02,3.097963e+02,7
1.291781e+03,2.229042e-02,3.097973e+02,7
1.301781e+03,2.246223e-02,3.097680e+02,7
1.311781e+03,2.263100e-02,3.097024e+02,7
1.321781e+03,2.279587e-02,3.095937e+02,7
1.331781e+03,2.295624e-02,3.094364e+02,9
1.341781e+03,2.311199e-02,3.092272e+02,9
1.351781e+03,2.326359e-02,3.089661e+02,9
1.361781e+03,2.341194e-02,3.086554e+02,9
1.371781e+03,2.355806e-02,3.082996e+02,9
1.381781e+03,2.370275e-02,3.079030e+02,9
1.391781e+03,2.384676e-02,3.074708e+02,9
1.401781e+03,2.399059e-02,3.070071e+02,9
1.411781e+03,2.413459e-02,3.065159e+02,9
1.421781e+03,2.427897e-02,3.060003e+02,9
1.431781e+03,2.442387e-02,3.054632e+02,9
1.441781e+03,2.456937e-02,3.049067e+02,9
1.451781e+03,2.471550e-02,3.043330e+02,9
1.461781e+03,2.486227e-02,3.037437e+02,9
1.471781e+03,2.500968e-02,3.031401e+02,9
1.481781e+03,2.515772e-02,3.025236e+02,9
1.491781e+03,2.530635e-02,3.018951e+02,9
1.501781e+03,2.545555e-02,3.012557e+02,9
1.511781e+03,2.560529e-02,3.006060e+02,9
1.521781e+03,2.575553e-02,2.999469e+02,9
1.531781e+03,2.590623e-02,2.992789e+02,9
1.541781e+03,2.605734e-02,2.986024e+02,9
1.551781e+03,2.620882e-02,2.979181e+02,9
1.561781e+03,2.636063e-02,2.972261e+02,9
1.571781e+03,2.651270e-02,2.965268e+02,9
1.581781e+03,2.666499e-02,2.958203e+02,9
1.591781e+03,2.681742e-02,2.951069e+02,9
1.601781e+03,2.696994e-02,2.943866e+02,9
1.611781e+03,2.712246e-02,2.936593e+02,9
1.621781e+03,2.727489e-02,2.929250e+02,9
