,f_rim,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_time,sim_u2,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
fr0.1_Tn0.00,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.00,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.00.pkl
fr0.1_Tn0.10,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.10,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,250.080155199,0.1,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.10.pkl
fr0.1_Tn0.20,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.20,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,500.160310397,0.2,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.20.pkl
fr0.1_Tn0.30,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.30,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,750.240465596,0.3,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.30.pkl
fr0.1_Tn0.40,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.40,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1000.32062079,0.4,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.40.pkl
fr0.1_Tn0.50,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.50,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1250.40077599,0.5,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.50.pkl
fr0.1_Tn0.60,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.60,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1500.48093119,0.6,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.60.pkl
fr0.1_Tn0.70,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.70,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1750.56108639,0.7,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.70.pkl
fr0.1_Tn0.80,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.80,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2000.64124159,0.8,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.80.pkl
fr0.1_Tn0.90,0.1,0.05,0.05,0.025,0.025,fr0.1_Tn0.90,1.53257552765e-09,7.66287763823e-10,7.66287763823e-10,0.0,1.57190067251e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2250.72139679,0.9,0.00339519796291,beam,36.0,0.0,2e+11,fr0.1_Tn0.90.pkl
fr0.2_Tn0.00,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.00,2.98650076556e-09,1.49325038278e-09,1.49325038278e-09,0.0,3.14380134503e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.00320102333739,beam,36.0,0.0,2e+11,fr0.2_Tn0.00.pkl
fr0.2_Tn0.10,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.10,2.98650076556e-09,1.49325038278e-09,1.49325038278e-09,0.0,3.14380134503e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,320.936480231,0.1,0.00320102333739,beam,36.0,0.0,2e+11,fr0.2_Tn0.10.pkl
