Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,9.962150e+00,0.000000e+00,0
1.000044e-02,1.000075e-04,8.012390e+02,-1.327108e-04,0
2.000087e-02,2.000171e-04,1.599379e+03,-2.993055e-04,0
3.000131e-02,3.000028e-04,2.392209e+03,-5.190064e-04,0
4.000175e-02,3.999491e-04,3.177766e+03,-7.976755e-04,0
5.000219e-02,4.998955e-04,3.951041e+03,-1.165350e-03,0
6.000033e-02,5.998189e-04,4.704060e+03,-1.652109e-03,0
7.000076e-02,6.997652e-04,5.427726e+03,-2.272903e-03,0
8.000120e-02,7.997116e-04,6.110078e+03,-3.034668e-03,0
9.000164e-02,8.996580e-04,6.745242e+03,-3.902481e-03,0
1.000021e-01,9.996044e-04,7.341555e+03,-4.791946e-03,0
1.100002e-01,1.099682e-03,7.879599e+03,-5.714987e-03,0
1.200007e-01,1.199882e-03,7.396107e+03,-7.772171e-03,2
1.300011e-01,1.300081e-03,6.323358e+03,-1.000156e-02,2
1.400015e-01,1.400280e-03,5.851654e+03,-1.130741e-02,2
1.500020e-01,1.500479e-03,5.566279e+03,-1.232926e-02,2
1.600001e-01,1.600656e-03,5.379297e+03,-1.320195e-02,2
1.700005e-01,1.700855e-03,5.246243e+03,-1.398936e-02,2
1.800010e-01,1.801055e-03,5.145818e+03,-1.472083e-02,2
1.900014e-01,1.901254e-03,5.070203e+03,-1.541014e-02,2
2.000019e-01,2.001453e-03,5.014786e+03,-1.606314e-02,2
2.100000e-01,2.101629e-03,4.974754e+03,-1.668740e-02,2
2.200004e-01,2.201828e-03,4.946156e+03,-1.729081e-02,2
2.300009e-01,2.302028e-03,4.927319e+03,-1.787370e-02,2
2.400013e-01,2.402227e-03,4.914497e+03,-1.844152e-02,2
2.500017e-01,2.502427e-03,4.903658e+03,-1.899919e-02,2
2.600022e-01,2.602626e-03,4.889833e+03,-1.954978e-02,4
2.700003e-01,2.702802e-03,4.864329e+03,-2.010393e-02,4
2.800007e-01,2.803001e-03,4.817533e+03,-2.067104e-02,4
2.900012e-01,2.903200e-03,4.721435e+03,-2.128185e-02,6
3.000016e-01,3.003399e-03,4.527691e+03,-2.198426e-02,8
3.100021e-01,3.103599e-03,4.122210e+03,-2.286826e-02,8
3.200002e-01,3.203775e-03,3.125343e+03,-2.421398e-02,8
3.300006e-01,3.303975e-03,2.237802e+03,-2.535864e-02,10
3.400011e-01,3.404174e-03,6.535960e+01,-2.518907e-02,16
3.500015e-01,3.504373e-03,-3.701372e+02,-2.653213e-02,16
3.600020e-01,3.604573e-03,-1.102173e+02,-2.671666e-02,15
3.700001e-01,3.704749e-03,1.369888e+02,-2.705820e-02,12
3.800005e-01,3.804948e-03,2.080814e+02,-2.751279e-02,12
3.900010e-01,3.905148e-03,3.335449e+02,-2.783224e-02,12
4.000014e-01,4.004491e-03,4.402985e+02,-2.820130e-02,12
4.100018e-01,4.103678e-03,5.428676e+02,-2.857018e-02,12
4.200000e-01,4.202842e-03,6.465755e+02,-2.893312e-02,12
4.300004e-01,4.302030e-03,7.451962e+02,-2.929929e-02,13
4.400009e-01,4.401217e-03,8.357776e+02,-2.967273e-02,13
4.500013e-01,4.500405e-03,9.105874e+02,-3.005952e-02,13
4.600017e-01,4.599592e-03,9.691298e+02,-3.046042e-02,13
4.700022e-01,4.698780e-03,1.019407e+03,-3.086527e-02,13
4.800003e-01,4.797943e-03,1.065269e+03,-3.127002e-02,13
4.900007e-01,4.897132e-03,1.108805e+03,-3.167487e-02,13
5.000012e-01,4.996318e-03,1.150493e+03,-3.207971e-02,14
5.100016e-01,5.095505e-03,1.189810e+03,-3.248456e-02,14
5.200021e-01,5.194692e-03,1.225162e+03,-3.288940e-02,14
5.300002e-01,5.293857e-03,1.254719e+03,-3.329416e-02,14
5.400006e-01,5.393045e-03,1.279015e+03,-3.369913e-02,14
5.500011e-01,5.492231e-03,1.299460e+03,-3.410811e-02,14
5.600015e-01,5.591418e-03,1.317749e+03,-3.451362e-02,14
5.700020e-01,5.690605e-03,1.336584e+03,-3.491846e-02,14
5.800001e-01,5.789771e-03,1.356540e+03,-3.532321e-02,14
5.900005e-01,5.888958e-03,1.376808e+03,-3.572806e-02,14
6.000010e-01,5.988145e-03,1.397342e+03,-3.613290e-02,15
6.100014e-01,6.087332e-03,1.418006e+03,-3.652266e-02,15
6.200019e-01,6.186518e-03,1.438087e+03,-3.691131e-02,15
6.300023e-01,6.285705e-03,1.458465e+03,-3.729996e-02,16
6.400004e-01,6.384868e-03,1.477509e+03,-3.768852e-02,16
6.500008e-01,6.484055e-03,1.495200e+03,-3.807717e-02,16
6.600013e-01,6.583243e-03,1.509124e+03,-3.846582e-02,16
6.700017e-01,6.682430e-03,1.514800e+03,-3.885447e-02,16
6.800022e-01,6.781616e-03,1.507639e+03,-3.924312e-02,16
6.900003e-01,6.880781e-03,1.505990e+03,-3.962364e-02,16
7.000007e-01,6.979969e-03,1.536430e+03,-3.998498e-02,16
7.100012e-01,7.079157e-03,1.582088e+03,-4.034107e-02,16
7.200016e-01,7.178343e-03,1.629916e+03,-4.068456e-02,16
7.300020e-01,7.277529e-03,1.677031e+03,-4.102463e-02,16
7.400002e-01,7.376694e-03,1.723680e+03,-4.136462e-02,16
7.500006e-01,7.475882e-03,1.769949e+03,-4.170470e-02,16
7.600011e-01,7.575069e-03,1.815183e+03,-4.204477e-02,16
7.700015e-01,7.674255e-03,1.859524e+03,-4.238483e-02,16
7.800019e-01,7.773443e-03,1.903317e+03,-4.272490e-02,16
7.900001e-01,7.872608e-03,1.946572e+03,-4.306490e-02,16
8.000005e-01,7.971794e-03,1.989373e+03,-4.340497e-02,16
8.100010e-01,8.070981e-03,2.031979e+03,-4.374504e-02,16
8.200014e-01,8.170565e-03,2.074117e+03,-4.408146e-02,16
8.300018e-01,8.271773e-03,2.115468e+03,-4.440534e-02,16
8.400000e-01,8.372962e-03,2.156225e+03,-4.472914e-02,16
8.500004e-01,8.474174e-03,2.196553e+03,-4.505302e-02,16
8.600008e-01,8.575385e-03,2.236332e+03,-4.537690e-02,16
8.700013e-01,8.676595e-03,2.276011e+03,-4.570077e-02,16
8.800017e-01,8.777805e-03,2.315294e+03,-4.602465e-02,16
8.900021e-01,8.879019e-03,2.354035e+03,-4.634852e-02,16
