time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,5.633421e-08,5.438853e+00,-3.104471e+01
2.000000e-03,1.128801e-07,1.087785e+01,-6.208906e+01
3.500000e-03,1.978197e-07,1.903622e+01,-1.086558e+02
5.750000e-03,3.256800e-07,3.127376e+01,-1.785057e+02
9.125000e-03,5.184942e-07,4.963003e+01,-2.832803e+02
1.418750e-02,8.100465e-07,7.716433e+01,-4.404414e+02
2.178125e-02,1.252715e-06,1.184655e+02,-6.761815e+02
3.317187e-02,1.929071e-06,1.804169e+02,-1.029788e+03
5.025781e-02,2.972612e-06,2.733427e+02,-1.560190e+03
7.025781e-02,4.241655e-06,3.821155e+02,-2.181041e+03
9.025782e-02,5.566622e-06,4.908863e+02,-2.801879e+03
1.102578e-01,6.952208e-06,5.996552e+02,-3.422703e+03
1.302578e-01,8.403919e-06,7.084222e+02,-4.043514e+03
1.502578e-01,9.928179e-06,8.171872e+02,-4.664312e+03
1.702578e-01,1.153235e-05,9.259501e+02,-5.285095e+03
1.902578e-01,1.322489e-05,1.034711e+03,-5.905866e+03
2.102578e-01,1.501563e-05,1.143470e+03,-6.526622e+03
2.302578e-01,1.691600e-05,1.252227e+03,-7.147365e+03
2.502578e-01,1.893944e-05,1.360982e+03,-7.768095e+03
2.702578e-01,2.110189e-05,1.469735e+03,-8.388810e+03
2.902578e-01,2.342236e-05,1.578486e+03,-9.009512e+03
3.102578e-01,2.592385e-05,1.687235e+03,-9.630199e+03
3.302578e-01,2.863443e-05,1.795981e+03,-1.025087e+04
3.502578e-01,3.158887e-05,1.904726e+03,-1.087153e+04
3.702578e-01,3.483082e-05,2.013469e+03,-1.149218e+04
3.902578e-01,3.841608e-05,2.122209e+03,-1.211281e+04
4.102578e-01,4.241740e-05,2.230947e+03,-1.273342e+04
4.302578e-01,4.693181e-05,2.339683e+03,-1.335402e+04
4.502578e-01,5.209236e-05,2.448416e+03,-1.397461e+04
4.702578e-01,5.808751e-05,2.557146e+03,-1.459517e+04
4.902578e-01,6.519500e-05,2.665874e+03,-1.521572e+04
5.102578e-01,7.405415e-05,2.774598e+03,-1.583624e+04
5.302578e-01,8.510944e-05,2.883317e+03,-1.645674e+04
5.502578e-01,9.985644e-05,2.992030e+03,-1.707719e+04
5.702578e-01,1.211176e-04,3.100729e+03,-1.769757e+04
5.902578e-01,1.559162e-04,3.209396e+03,-1.831776e+04
6.102578e-01,2.281946e-04,3.317939e+03,-1.893723e+04
6.302578e-01,5.037198e-04,3.425131e+03,-1.954891e+04
6.502578e-01,2.484539e-03,3.482368e+03,-1.987274e+04
6.702578e-01,4.218134e-03,3.487642e+03,-1.989710e+04
6.902578e-01,5.457830e-03,3.489029e+03,-1.989908e+04
7.102578e-01,6.473621e-03,3.489195e+03,-1.989400e+04
7.302578e-01,7.359182e-03,3.488391e+03,-1.988332e+04
7.502578e-01,8.165291e-03,3.486087e+03,-1.986396e+04
7.702578e-01,8.947148e-03,3.479914e+03,-1.982235e+04
7.902578e-01,9.900407e-03,3.458449e+03,-1.969246e+04
7.952578e-01,1.023338e-02,3.447593e+03,-1.962829e+04
8.027578e-01,1.117656e-02,3.421795e+03,-1.947714e+04
8.029336e-01,1.131370e-02,3.419217e+03,-1.946225e+04
8.029501e-01,1.134640e-02,3.418623e+03,-1.945882e+04
8.029501e-01,1.134640e-02,3.418623e+03,-1.945882e+04
