Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,1.654669e+00,0.000000e+00,0
1.000074e-02,1.000055e-04,4.516496e+02,-3.456199e-05,0
2.000148e-02,2.000029e-04,9.026970e+02,-7.020399e-05,0
3.000222e-02,3.000004e-04,1.353662e+03,-1.083794e-04,0
4.000057e-02,3.999739e-04,1.804180e+03,-1.479139e-04,0
5.000131e-02,4.999713e-04,2.254557e+03,-1.904356e-04,0
6.000206e-02,6.000485e-04,2.704553e+03,-2.351403e-04,0
7.000040e-02,7.001438e-04,3.153991e+03,-2.827293e-04,0
8.000115e-02,8.002630e-04,3.601879e+03,-3.336892e-04,1
9.000189e-02,9.003822e-04,3.799187e+03,5.416416e-05,1
1.000002e-01,1.000477e-03,3.990151e+03,4.032353e-04,1
1.100010e-01,1.100496e-03,4.179549e+03,7.675760e-04,1
1.200017e-01,1.200372e-03,4.353878e+03,1.187608e-03,1
1.300001e-01,1.300223e-03,4.519647e+03,1.630379e-03,1
1.400008e-01,1.400099e-03,4.679616e+03,2.082796e-03,1
1.500016e-01,1.499974e-03,4.832972e+03,2.547004e-03,1
1.600023e-01,1.599850e-03,4.979317e+03,3.023957e-03,1
1.700006e-01,1.699702e-03,5.117303e+03,3.515616e-03,1
1.800014e-01,1.799577e-03,5.248333e+03,4.016662e-03,1
1.900021e-01,1.899453e-03,5.372924e+03,4.525780e-03,1
2.000005e-01,1.999305e-03,5.491033e+03,5.040578e-03,1
2.100012e-01,2.099180e-03,5.601365e+03,5.564785e-03,1
2.200020e-01,2.199492e-03,5.702813e+03,6.100048e-03,1
2.300003e-01,2.299831e-03,5.772961e+03,6.705558e-03,3
2.400011e-01,2.400194e-03,5.494873e+03,8.195461e-03,3
2.500018e-01,2.500557e-03,5.233596e+03,9.540689e-03,3
2.600001e-01,2.600896e-03,4.984175e+03,1.078684e-02,3
2.700009e-01,2.701259e-03,4.723270e+03,1.198712e-02,3
2.800016e-01,2.801622e-03,4.533225e+03,1.298372e-02,3
2.900023e-01,2.901984e-03,4.397873e+03,1.384878e-02,3
3.000007e-01,3.002323e-03,4.282617e+03,1.465269e-02,3
3.100015e-01,3.102686e-03,4.177837e+03,1.541649e-02,3
3.200022e-01,3.203049e-03,4.082194e+03,1.614644e-02,3
3.300005e-01,3.303387e-03,3.996489e+03,1.684076e-02,3
3.400013e-01,3.403750e-03,3.916849e+03,1.751149e-02,3
3.500020e-01,3.504113e-03,3.842783e+03,1.815991e-02,3
3.600004e-01,3.604451e-03,3.774173e+03,1.878695e-02,3
3.700011e-01,3.704814e-03,3.709767e+03,1.939611e-02,3
3.800018e-01,3.805178e-03,3.648978e+03,1.998938e-02,3
3.900002e-01,3.905516e-03,3.591571e+03,2.056780e-02,3
4.000010e-01,4.005879e-03,3.538020e+03,2.113214e-02,3
4.100017e-01,4.106242e-03,3.487206e+03,2.168418e-02,3
4.200000e-01,4.206581e-03,3.438138e+03,2.222715e-02,3
4.300008e-01,4.306943e-03,3.389698e+03,2.276108e-02,3
4.400015e-01,4.406645e-03,3.340920e+03,2.328962e-02,3
4.500023e-01,4.506034e-03,3.292528e+03,2.381117e-02,3
4.600006e-01,4.605399e-03,3.244890e+03,2.432491e-02,3
4.700013e-01,4.704787e-03,3.198677e+03,2.483098e-02,3
4.800021e-01,4.804176e-03,3.155292e+03,2.532711e-02,5
4.900005e-01,4.903540e-03,3.114589e+03,2.581318e-02,5
5.000012e-01,5.002929e-03,3.075900e+03,2.629097e-02,5
5.100019e-01,5.102317e-03,3.039683e+03,2.676107e-02,5
5.200003e-01,5.201682e-03,3.005906e+03,2.722223e-02,5
5.300010e-01,5.301071e-03,2.974674e+03,2.767519e-02,5
5.400017e-01,5.400458e-03,2.945833e+03,2.811988e-02,5
5.500001e-01,5.499823e-03,2.919036e+03,2.855711e-02,5
5.600008e-01,5.599211e-03,2.894088e+03,2.898824e-02,5
5.700016e-01,5.698600e-03,2.870403e+03,2.941489e-02,5
5.800023e-01,5.797989e-03,2.847899e+03,2.983583e-02,5
5.900007e-01,5.897354e-03,2.825072e+03,3.025666e-02,5
6.000014e-01,5.996743e-03,2.798044e+03,3.068043e-02,7
6.100022e-01,6.096132e-03,2.750167e+03,3.113519e-02,7
6.200005e-01,6.195497e-03,2.663211e+03,3.164984e-02,7
6.300012e-01,6.294885e-03,2.576459e+03,3.215913e-02,7
6.400020e-01,6.394274e-03,2.498586e+03,3.264777e-02,7
6.500003e-01,6.493638e-03,2.430808e+03,3.311681e-02,7
6.600011e-01,6.593026e-03,2.369573e+03,3.356859e-02,7
6.700018e-01,6.692415e-03,2.314922e+03,3.400511e-02,7
6.800002e-01,6.791779e-03,2.266435e+03,3.442961e-02,7
6.900009e-01,6.891168e-03,2.223943e+03,3.484184e-02,7
7.000017e-01,6.990556e-03,2.185797e+03,3.524719e-02,7
7.100000e-01,7.089921e-03,2.151185e+03,3.564011e-02,7
7.200007e-01,7.189310e-03,2.119043e+03,3.602987e-02,7
7.300015e-01,7.288698e-03,2.089420e+03,3.641833e-02,7
7.400022e-01,7.388086e-03,2.062417e+03,3.679250e-02,7
7.500006e-01,7.487451e-03,2.036273e+03,3.716658e-02,7
7.600013e-01,7.586839e-03,2.010661e+03,3.754075e-02,7
7.700021e-01,7.686228e-03,1.984934e+03,3.791492e-02,7
7.800004e-01,7.785592e-03,1.959070e+03,3.828899e-02,7
7.900012e-01,7.884980e-03,1.932375e+03,3.866316e-02,9
8.000019e-01,7.984368e-03,1.904732e+03,3.903732e-02,9
8.100002e-01,8.083732e-03,1.876230e+03,3.941141e-02,10
8.200010e-01,8.183120e-03,1.843991e+03,3.979765e-02,10
8.300017e-01,8.282509e-03,1.805444e+03,4.018741e-02,10
8.400001e-01,8.381873e-03,1.762808e+03,4.057864e-02,12
8.500008e-01,8.481262e-03,1.697065e+03,4.100376e-02,12
8.600016e-01,8.580651e-03,1.214372e+03,4.199493e-02,16
8.700023e-01,8.681205e-03,7.650104e+02,4.203527e-02,16
8.800007e-01,8.782240e-03,1.652469e+02,4.296365e-02,16
8.900014e-01,8.883577e-03,7.780746e+02,4.230535e-02,17
9.000021e-01,8.984913e-03,5.870699e+02,4.289280e-02,17
9.100005e-01,9.086227e-03,5.842789e+02,4.324632e-02,17
9.200012e-01,9.187564e-03,6.285237e+02,4.354220e-02,17
9.300020e-01,9.288902e-03,5.872573e+02,4.393717e-02,16
9.400003e-01,9.390214e-03,5.979367e+02,4.426071e-02,16
9.500011e-01,9.491554e-03,5.997862e+02,4.458834e-02,16
9.600018e-01,9.592892e-03,5.984512e+02,4.491605e-02,16
9.700001e-01,9.694204e-03,6.096354e+02,4.522460e-02,16
9.800009e-01,9.795543e-03,6.136103e+02,4.553968e-02,16
9.900016e-01,9.896880e-03,6.231689e+02,4.584549e-02,16
1.000000e+00,9.998193e-03,6.311440e+02,4.615203e-02,16
