Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-6.513245e-01,0.000000e+00,23
1.000075e-02,1.000093e-04,5.638774e+02,-1.796723e-05,5
2.000151e-02,2.000188e-04,5.000788e+02,-7.115136e-05,5
3.000022e-02,3.000079e-04,6.334167e+02,-1.758321e-04,7
4.000098e-02,4.000173e-04,7.335234e+02,-7.446169e-05,7
5.000173e-02,5.000268e-04,8.473048e+02,-4.705218e-05,7
6.000045e-02,6.000159e-04,9.606410e+02,-1.049327e-05,7
7.000120e-02,7.000254e-04,1.073992e+03,2.737538e-05,7
8.000196e-02,8.000349e-04,1.187152e+03,6.595656e-05,7
9.000067e-02,9.000241e-04,1.300036e+03,1.057079e-04,7
1.000014e-01,1.000034e-03,1.412695e+03,1.467072e-04,7
1.100001e-01,1.100023e-03,1.525065e+03,1.887893e-04,7
1.200009e-01,1.200032e-03,1.637166e+03,2.319052e-04,7
1.300016e-01,1.300042e-03,1.748956e+03,2.760874e-04,7
1.400004e-01,1.400031e-03,1.860422e+03,3.213243e-04,7
1.500011e-01,1.500040e-03,1.971590e+03,3.675745e-04,7
1.600019e-01,1.600049e-03,2.082451e+03,4.148439e-04,7
1.700006e-01,1.700038e-03,2.192985e+03,4.631028e-04,7
1.800013e-01,1.800048e-03,2.303225e+03,5.123788e-04,7
1.900001e-01,1.900037e-03,2.413115e+03,5.626779e-04,7
2.000008e-01,2.000047e-03,2.522687e+03,6.139864e-04,7
2.100016e-01,2.100056e-03,2.631928e+03,6.663310e-04,7
2.200003e-01,2.200045e-03,2.740793e+03,7.198474e-04,7
2.300010e-01,2.300055e-03,2.849337e+03,7.746744e-04,7
2.400018e-01,2.399975e-03,2.957529e+03,8.308113e-04,7
2.500005e-01,2.499392e-03,3.065354e+03,8.883071e-04,7
2.600013e-01,2.598830e-03,3.172864e+03,9.471756e-04,7
2.700020e-01,2.698269e-03,3.280043e+03,1.007599e-03,7
2.800007e-01,2.797686e-03,3.386885e+03,1.069675e-03,7
2.900015e-01,2.897123e-03,3.493421e+03,1.133446e-03,5
3.000002e-01,2.996541e-03,3.599687e+03,1.199378e-03,5
3.100010e-01,3.095979e-03,3.705266e+03,1.272461e-03,5
3.200017e-01,3.195417e-03,3.810451e+03,1.348709e-03,5
3.300004e-01,3.294835e-03,3.915183e+03,1.427467e-03,5
3.400012e-01,3.394273e-03,4.019496e+03,1.508897e-03,5
3.500019e-01,3.493711e-03,4.123352e+03,1.593480e-03,5
3.600007e-01,3.593128e-03,4.226715e+03,1.680950e-03,5
3.700014e-01,3.692566e-03,4.329593e+03,1.771568e-03,5
3.800001e-01,3.791984e-03,4.431949e+03,1.865971e-03,5
3.900009e-01,3.891421e-03,4.533834e+03,1.964062e-03,5
4.000016e-01,3.990859e-03,4.635204e+03,2.065935e-03,5
4.100004e-01,4.090277e-03,4.735958e+03,2.172468e-03,5
4.200011e-01,4.189715e-03,4.836163e+03,2.283874e-03,5
4.300019e-01,4.289154e-03,4.935755e+03,2.400050e-03,5
4.400006e-01,4.388572e-03,5.034679e+03,2.521406e-03,5
4.500013e-01,4.488009e-03,5.132934e+03,2.648420e-03,5
4.600000e-01,4.587427e-03,5.230416e+03,2.782064e-03,5
4.700008e-01,4.686951e-03,5.327080e+03,2.923690e-03,5
4.800016e-01,4.787532e-03,5.422765e+03,3.074658e-03,5
4.900003e-01,4.888093e-03,5.517021e+03,3.245990e-03,5
5.000010e-01,4.988674e-03,5.609894e+03,3.433661e-03,5
5.100018e-01,5.089254e-03,5.701162e+03,3.638593e-03,5
5.200005e-01,5.189814e-03,5.790338e+03,3.864695e-03,5
5.300012e-01,5.290395e-03,5.876912e+03,4.122780e-03,5
5.400020e-01,5.390975e-03,5.961089e+03,4.401945e-03,5
5.500007e-01,5.491536e-03,6.043197e+03,4.694234e-03,5
5.600015e-01,5.592118e-03,6.124001e+03,4.990713e-03,5
5.700002e-01,5.692678e-03,6.203876e+03,5.285884e-03,5
5.800009e-01,5.793259e-03,6.283133e+03,5.579477e-03,5
5.900017e-01,5.893840e-03,6.361363e+03,5.874762e-03,5
6.000004e-01,5.994399e-03,6.437960e+03,6.177426e-03,5
6.100011e-01,6.094980e-03,6.512426e+03,6.492471e-03,5
6.200019e-01,6.195561e-03,6.584724e+03,6.819059e-03,5
6.300007e-01,6.296121e-03,6.654603e+03,7.159307e-03,5
6.400014e-01,6.396703e-03,6.721243e+03,7.517607e-03,5
6.500001e-01,6.497264e-03,6.784410e+03,7.901167e-03,5
6.600009e-01,6.597846e-03,6.844709e+03,8.300104e-03,5
6.700016e-01,6.698428e-03,6.902015e+03,8.710520e-03,5
6.800004e-01,6.798987e-03,6.956229e+03,9.133275e-03,5
6.900011e-01,6.899568e-03,7.007314e+03,9.567479e-03,5
7.000018e-01,7.000150e-03,7.055371e+03,1.001154e-02,5
7.100006e-01,7.100711e-03,7.098980e+03,1.047315e-02,5
7.200013e-01,7.201293e-03,7.138453e+03,1.095025e-02,5
7.300000e-01,7.301854e-03,7.174933e+03,1.143277e-02,5
7.400008e-01,7.402434e-03,7.208364e+03,1.192283e-02,5
7.500015e-01,7.503015e-03,7.238612e+03,1.242161e-02,5
7.600002e-01,7.603576e-03,7.265231e+03,1.292943e-02,5
7.700010e-01,7.704157e-03,7.288509e+03,1.344706e-02,5
7.800018e-01,7.804737e-03,7.308006e+03,1.398037e-02,5
7.900005e-01,7.905299e-03,7.319393e+03,1.456940e-02,7
8.000013e-01,8.005879e-03,7.300743e+03,1.546586e-02,7
8.100020e-01,8.106461e-03,6.949005e+03,1.945785e-02,7
8.200007e-01,8.207021e-03,6.458759e+03,2.402528e-02,7
8.300015e-01,8.307602e-03,6.506237e+03,2.418408e-02,7
8.400002e-01,8.408162e-03,6.415091e+03,2.538460e-02,7
8.500009e-01,8.508742e-03,6.336062e+03,2.642683e-02,7
8.600017e-01,8.609324e-03,6.293660e+03,2.719726e-02,7
8.700004e-01,8.709884e-03,6.240318e+03,2.802087e-02,7
8.800011e-01,8.810465e-03,6.189491e+03,2.880376e-02,7
8.900019e-01,8.911045e-03,6.142219e+03,2.954802e-02,9
9.000006e-01,9.011605e-03,6.095038e+03,3.027246e-02,9
9.100014e-01,9.112186e-03,6.049294e+03,3.097280e-02,9
