Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-2.443588e+00,0.000000e+00,0
1.000000e-02,9.999863e-05,3.467293e+02,-7.617034e-06,0
2.000000e-02,2.000034e-04,6.933664e+02,-1.599289e-05,1
3.000000e-02,3.000123e-04,1.039669e+03,-2.501049e-05,3
4.000000e-02,4.000211e-04,1.190036e+03,1.664197e-04,3
5.000000e-02,5.000300e-04,1.167231e+03,-1.954881e-04,3
6.000000e-02,5.999880e-04,1.256959e+03,-2.056029e-04,5
7.000000e-02,6.999384e-04,1.349509e+03,-3.185664e-04,5
8.000001e-02,7.998889e-04,1.430161e+03,-4.131177e-04,5
9.000000e-02,8.998394e-04,1.449716e+03,-1.276539e-04,5
1.000000e-01,9.997899e-04,1.498173e+03,-3.157429e-05,5
1.100000e-01,1.099740e-03,1.551644e+03,7.451293e-05,5
1.200000e-01,1.199691e-03,1.605532e+03,1.655486e-04,5
1.300000e-01,1.299642e-03,1.658317e+03,2.533720e-04,5
1.400000e-01,1.399592e-03,1.708701e+03,3.391150e-04,5
1.500000e-01,1.499543e-03,1.754780e+03,4.215312e-04,7
1.600000e-01,1.599493e-03,1.796514e+03,5.095409e-04,7
1.700000e-01,1.699443e-03,1.838541e+03,6.179935e-04,7
1.800000e-01,1.799394e-03,1.878068e+03,6.642210e-04,7
1.900000e-01,1.899344e-03,1.913869e+03,5.498956e-04,7
2.000000e-01,1.999295e-03,1.954788e+03,4.680318e-04,7
2.100000e-01,2.099245e-03,1.996364e+03,3.974995e-04,7
2.200000e-01,2.199195e-03,2.037557e+03,3.209680e-04,7
2.300000e-01,2.299146e-03,2.077872e+03,2.320272e-04,7
2.400000e-01,2.399096e-03,2.116985e+03,1.219189e-04,7
2.500000e-01,2.499046e-03,2.155649e+03,-6.501330e-06,7
2.600000e-01,2.598997e-03,2.195531e+03,-1.258339e-04,7
2.700000e-01,2.698947e-03,2.236681e+03,-2.230308e-04,7
2.800000e-01,2.798897e-03,2.278262e+03,-3.103794e-04,7
2.900000e-01,2.898848e-03,2.319875e+03,-3.963328e-04,7
3.000000e-01,2.998798e-03,2.361429e+03,-4.834946e-04,7
3.100000e-01,3.098749e-03,2.402899e+03,-5.727377e-04,7
3.200000e-01,3.198699e-03,2.444238e+03,-6.643928e-04,7
3.300000e-01,3.298650e-03,2.485479e+03,-7.585238e-04,7
