    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 3.37098e-09	 2.65322e-01	 5.27100e-01	 7.85404e-01	 1.04369e+00	 1.30547e+00	 1.57079e+00	 1.83612e+00	 2.09791e+00	 2.35619e+00	 2.61449e+00	 2.87626e+00	 3.14159e+00	 3.40692e+00	 3.66870e+00	 3.92699e+00	 4.18527e+00	 4.44707e+00	 4.71239e+00	 4.97771e+00	 5.23950e+00	 5.49778e+00	 5.75609e+00	 6.01786e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000007e-01	 0.00000e+00	 3.83585e-05	 7.55296e-05	 7.90160e-05	 2.98333e-05	 2.43509e-05	 2.90946e-05	 2.81047e-05	 2.31166e-05	 1.06987e-05	 8.57244e-06	 6.01818e-07	 2.65175e-09	-5.97613e-07	-8.56961e-06	-1.06989e-05	-2.31181e-05	-2.81068e-05	-2.90951e-05	-2.43503e-05	-2.98323e-05	-7.90183e-05	-7.55313e-05	-3.83594e-05
U  1	1.000007e-01	 9.99741e-04	 6.35763e-04	 2.94928e-04	 5.79603e-05	-5.96618e-05	-1.30940e-04	-1.50366e-04	-1.35358e-04	-9.69688e-05	-4.23072e-05	 3.02266e-05	 7.54187e-05	 1.04418e-04	 7.54166e-05	 3.02220e-05	-4.23098e-05	-9.69705e-05	-1.35358e-04	-1.50365e-04	-1.30940e-04	-5.96594e-05	 5.79625e-05	 2.94930e-04	 6.35757e-04
U  2	1.000007e-01	-2.97780e-03	-2.74919e-03	-2.20045e-03	-1.57017e-03	-1.01169e-03	-5.79103e-04	-2.60259e-04	-5.60048e-06	 2.28391e-04	 4.58448e-04	 6.64639e-04	 8.11278e-04	 8.62271e-04	 8.11252e-04	 6.64604e-04	 4.58412e-04	 2.28348e-04	-5.63145e-06	-2.60267e-04	-5.79105e-04	-1.01171e-03	-1.57018e-03	-2.20044e-03	-2.74919e-03
