Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,2.732910e+00,0.000000e+00,0
1.000200e-02,1.000218e-04,2.871336e+02,-8.804900e-05,0
2.000173e-02,2.000213e-04,5.743685e+02,-1.700147e-04,0
3.000146e-02,3.000038e-04,8.601759e+02,-2.902614e-04,0
4.000118e-02,3.999395e-04,1.145682e+03,-4.063560e-04,0
5.000091e-02,4.998751e-04,1.430074e+03,-5.491918e-04,0
6.000064e-02,5.998107e-04,1.713469e+03,-7.088374e-04,0
7.000037e-02,6.997463e-04,1.995087e+03,-9.007137e-04,0
8.000010e-02,7.996820e-04,2.274786e+03,-1.121155e-03,0
9.000210e-02,8.996403e-04,2.551505e+03,-1.387330e-03,0
1.000018e-01,9.995758e-04,2.824204e+03,-1.705932e-03,0
1.100015e-01,1.099532e-03,3.091356e+03,-2.087137e-03,0
1.200013e-01,1.199723e-03,3.351355e+03,-2.538275e-03,0
1.300010e-01,1.299914e-03,3.602436e+03,-3.059869e-03,0
1.400007e-01,1.400105e-03,3.843579e+03,-3.645497e-03,0
1.500005e-01,1.500296e-03,4.071070e+03,-4.313218e-03,0
1.600002e-01,1.600487e-03,4.289973e+03,-4.992018e-03,0
1.700022e-01,1.700701e-03,4.495187e+03,-5.718316e-03,0
1.800019e-01,1.800893e-03,4.688424e+03,-6.446419e-03,0
1.900016e-01,1.901084e-03,4.697542e+03,-7.614441e-03,2
2.000014e-01,2.001275e-03,4.062511e+03,-1.068246e-02,2
2.100011e-01,2.101466e-03,4.064214e+03,-1.139958e-02,2
2.200008e-01,2.201658e-03,4.035468e+03,-1.219368e-02,2
2.300006e-01,2.301848e-03,3.900722e+03,-1.329034e-02,2
2.400003e-01,2.402040e-03,3.787358e+03,-1.428182e-02,2
2.500000e-01,2.502231e-03,3.714588e+03,-1.512577e-02,2
2.600020e-01,2.602446e-03,3.667045e+03,-1.587715e-02,2
2.700017e-01,2.702637e-03,3.633444e+03,-1.657360e-02,2
2.800015e-01,2.802828e-03,3.606880e+03,-1.723685e-02,2
2.900012e-01,2.903019e-03,3.581568e+03,-1.788352e-02,2
3.000009e-01,3.003210e-03,3.552541e+03,-1.852742e-02,2
3.100006e-01,3.103401e-03,3.522320e+03,-1.916342e-02,2
3.200004e-01,3.203592e-03,3.499293e+03,-1.977219e-02,2
3.300001e-01,3.303783e-03,3.486834e+03,-2.034745e-02,2
3.400021e-01,3.403997e-03,3.475260e+03,-2.091254e-02,2
3.500018e-01,3.504188e-03,3.459492e+03,-2.147909e-02,2
3.600016e-01,3.604380e-03,3.447821e+03,-2.202837e-02,2
3.700013e-01,3.704571e-03,3.441607e+03,-2.255754e-02,2
3.800010e-01,3.804762e-03,3.433451e+03,-2.308410e-02,2
3.900007e-01,3.904954e-03,3.427529e+03,-2.359957e-02,2
4.000005e-01,4.005145e-03,3.424003e+03,-2.410430e-02,2
4.100002e-01,4.105336e-03,3.419954e+03,-2.460475e-02,2
4.200022e-01,4.205550e-03,3.418425e+03,-2.509548e-02,2
4.300019e-01,4.305741e-03,3.416802e+03,-2.557992e-02,2
4.400016e-01,4.405933e-03,3.416708e+03,-2.605771e-02,2
4.500014e-01,4.506123e-03,3.417010e+03,-2.653029e-02,2
4.600011e-01,4.606314e-03,3.418307e+03,-2.699649e-02,2
4.700008e-01,4.706505e-03,3.420153e+03,-2.745542e-02,2
4.800006e-01,4.806696e-03,3.422671e+03,-2.791074e-02,2
4.900003e-01,4.906887e-03,3.425385e+03,-2.836057e-02,2
5.000000e-01,5.007078e-03,3.428429e+03,-2.880663e-02,2
5.100020e-01,5.107292e-03,3.431924e+03,-2.924839e-02,2
5.200017e-01,5.207485e-03,3.435523e+03,-2.968661e-02,2
5.300015e-01,5.307675e-03,3.439309e+03,-3.012009e-02,2
5.400012e-01,5.407866e-03,3.443786e+03,-3.054838e-02,2
5.500009e-01,5.508059e-03,3.448201e+03,-3.097368e-02,2
5.600007e-01,5.608249e-03,3.452953e+03,-3.139334e-02,2
5.700004e-01,5.708441e-03,3.457778e+03,-3.181047e-02,2
5.800001e-01,5.808633e-03,3.462606e+03,-3.222455e-02,2
5.900021e-01,5.908847e-03,3.467502e+03,-3.263359e-02,2
6.000018e-01,6.009038e-03,3.472271e+03,-3.304254e-02,2
6.100016e-01,6.109230e-03,3.477327e+03,-3.345148e-02,2
6.200013e-01,6.209421e-03,3.482286e+03,-3.384976e-02,2
6.300010e-01,6.309611e-03,3.486681e+03,-3.424235e-02,2
6.400008e-01,6.409803e-03,3.490808e+03,-3.463494e-02,2
6.500005e-01,6.509995e-03,3.494834e+03,-3.502753e-02,2
6.600002e-01,6.610185e-03,3.498322e+03,-3.542012e-02,2
6.700022e-01,6.710399e-03,3.501372e+03,-3.581279e-02,2
6.800019e-01,6.810589e-03,3.504531e+03,-3.620538e-02,2
6.900017e-01,6.910781e-03,3.507615e+03,-3.658508e-02,2
7.000014e-01,7.010972e-03,3.510812e+03,-3.696130e-02,2
7.100011e-01,7.111164e-03,3.514051e+03,-3.733753e-02,4
7.200008e-01,7.211356e-03,3.517037e+03,-3.771375e-02,4
7.300006e-01,7.311549e-03,3.519510e+03,-3.808998e-02,4
7.400003e-01,7.411740e-03,3.521778e+03,-3.846621e-02,4
7.500000e-01,7.511931e-03,3.523417e+03,-3.884244e-02,4
7.600020e-01,7.612145e-03,3.523723e+03,-3.921875e-02,4
7.700017e-01,7.712336e-03,3.521257e+03,-3.960409e-02,6
7.800015e-01,7.812527e-03,3.515174e+03,-4.000113e-02,6
7.900012e-01,7.912718e-03,3.505788e+03,-4.041007e-02,6
8.000009e-01,8.012909e-03,3.494626e+03,-4.081901e-02,6
8.100007e-01,8.113099e-03,3.482873e+03,-4.122796e-02,6
8.200004e-01,8.213290e-03,3.471011e+03,-4.163691e-02,6
8.300001e-01,8.313482e-03,3.459506e+03,-4.204586e-02,6
8.400021e-01,8.413696e-03,3.447942e+03,-4.245489e-02,6
8.500018e-01,8.513886e-03,3.436416e+03,-4.286382e-02,6
8.600016e-01,8.614079e-03,3.425366e+03,-4.326314e-02,6
8.700013e-01,8.714270e-03,3.414397e+03,-4.365573e-02,6
8.800010e-01,8.814401e-03,3.403802e+03,-4.404831e-02,6
8.900008e-01,8.912547e-03,3.393585e+03,-4.444089e-02,6
9.000005e-01,9.010695e-03,3.383272e+03,-4.483348e-02,6
9.100002e-01,9.108840e-03,3.373051e+03,-4.522607e-02,6
9.200022e-01,9.207009e-03,3.362939e+03,-4.561856e-02,6
9.300019e-01,9.305155e-03,3.352706e+03,-4.599480e-02,6
9.400017e-01,9.403301e-03,3.342106e+03,-4.637102e-02,6
9.500014e-01,9.501448e-03,3.331236e+03,-4.674725e-02,6
9.600011e-01,9.599594e-03,3.320348e+03,-4.712348e-02,6
9.700008e-01,9.697739e-03,3.308786e+03,-4.749971e-02,6
9.800006e-01,9.795886e-03,3.297317e+03,-4.787593e-02,8
9.900003e-01,9.894032e-03,3.285673e+03,-4.825216e-02,8
1.000000e+00,9.992181e-03,3.274043e+03,-4.862838e-02,8
