Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-2.366578e+00,0.000000e+00,0
1.000233e-02,1.000231e-04,7.091160e+02,-7.838525e-06,0
2.000221e-02,2.000216e-04,1.417354e+03,-1.590909e-05,3
3.000209e-02,3.000202e-04,1.886234e+03,6.082719e-05,3
4.000197e-02,4.000187e-04,1.938247e+03,-3.173012e-05,3
5.000184e-02,5.000173e-04,2.142164e+03,-1.376248e-04,5
6.000172e-02,6.000159e-04,2.346075e+03,-2.286927e-04,5
7.000159e-02,7.000143e-04,2.463227e+03,-1.327048e-04,5
8.000147e-02,8.000128e-04,2.593212e+03,-6.730670e-05,5
9.000135e-02,9.000113e-04,2.724542e+03,6.892951e-07,5
1.000012e-01,1.000010e-03,2.855891e+03,6.990913e-05,5
1.100011e-01,1.100008e-03,2.987097e+03,1.400103e-04,5
1.200010e-01,1.200007e-03,3.117997e+03,2.114966e-04,5
1.300009e-01,1.300006e-03,3.248203e+03,2.844867e-04,7
1.400007e-01,1.400004e-03,3.377494e+03,3.562796e-04,7
1.500006e-01,1.500003e-03,3.503969e+03,4.151851e-04,7
1.600005e-01,1.600001e-03,3.619292e+03,4.126591e-04,7
1.700004e-01,1.700000e-03,3.727867e+03,3.653388e-04,7
1.800002e-01,1.799998e-03,3.837824e+03,3.275785e-04,7
1.900001e-01,1.899997e-03,3.947612e+03,2.889450e-04,7
2.000000e-01,1.999996e-03,4.057137e+03,2.490619e-04,7
2.100023e-01,2.100019e-03,4.166367e+03,2.078561e-04,7
2.200022e-01,2.200017e-03,4.275273e+03,1.653073e-04,7
2.300021e-01,2.300136e-03,4.383820e+03,1.213314e-04,7
2.400020e-01,2.400608e-03,4.492069e+03,7.596436e-05,7
2.500018e-01,2.501080e-03,4.599988e+03,2.916514e-05,7
2.600017e-01,2.601553e-03,4.707514e+03,-1.909905e-05,7
2.700016e-01,2.702025e-03,4.814746e+03,-6.887871e-05,7
2.800015e-01,2.802498e-03,4.921583e+03,-1.202473e-04,7
2.900014e-01,2.902971e-03,5.028126e+03,-1.731966e-04,7
3.000012e-01,3.003443e-03,5.134250e+03,-2.277431e-04,7
3.100011e-01,3.103916e-03,5.240055e+03,-2.839750e-04,7
3.200010e-01,3.204389e-03,5.345460e+03,-3.419046e-04,7
3.300008e-01,3.304861e-03,5.450530e+03,-4.038155e-04,7
3.400007e-01,3.405333e-03,5.555072e+03,-4.728835e-04,7
3.500006e-01,3.505806e-03,5.659282e+03,-5.444982e-04,7
3.600005e-01,3.606278e-03,5.763074e+03,-6.189203e-04,7
3.700004e-01,3.706750e-03,5.866435e+03,-6.960352e-04,7
3.800002e-01,3.807223e-03,5.969468e+03,-7.761477e-04,7
3.900001e-01,3.907696e-03,6.072077e+03,-8.595728e-04,7
4.000000e-01,4.008168e-03,6.174233e+03,-9.463257e-04,7
4.100023e-01,4.108665e-03,6.276010e+03,-1.036804e-03,7
4.200022e-01,4.209138e-03,6.377307e+03,-1.131257e-03,7
4.300021e-01,4.309610e-03,6.478136e+03,-1.229562e-03,7
4.400020e-01,4.410083e-03,6.578465e+03,-1.332027e-03,7
4.500018e-01,4.510555e-03,6.678247e+03,-1.438896e-03,7
4.600017e-01,4.611027e-03,6.777459e+03,-1.550533e-03,7
4.700016e-01,4.711500e-03,6.876164e+03,-1.667347e-03,7
4.800015e-01,4.811974e-03,6.974198e+03,-1.790095e-03,7
4.900014e-01,4.912446e-03,7.071506e+03,-1.919300e-03,7
5.000013e-01,5.012917e-03,7.168241e+03,-2.054951e-03,7
5.100011e-01,5.113390e-03,7.264159e+03,-2.197692e-03,7
5.200010e-01,5.213862e-03,7.359327e+03,-2.347416e-03,7
5.300009e-01,5.314335e-03,7.453713e+03,-2.504999e-03,7
5.400007e-01,5.414807e-03,7.546919e+03,-2.674015e-03,7
5.500006e-01,5.515279e-03,7.638656e+03,-2.868139e-03,7
5.600005e-01,5.615752e-03,7.729274e+03,-3.073550e-03,7
5.700004e-01,5.716225e-03,7.818603e+03,-3.291395e-03,7
5.800002e-01,5.816697e-03,7.906647e+03,-3.523404e-03,7
5.900001e-01,5.917169e-03,7.993243e+03,-3.768356e-03,7
6.000000e-01,6.017641e-03,8.078028e+03,-4.029906e-03,7
6.100023e-01,6.118138e-03,8.160951e+03,-4.306527e-03,7
6.200022e-01,6.218610e-03,8.240907e+03,-4.621839e-03,7
6.300021e-01,6.319082e-03,8.318579e+03,-4.954838e-03,7
6.400020e-01,6.419554e-03,8.393622e+03,-5.307226e-03,7
6.500018e-01,6.520026e-03,8.465569e+03,-5.680256e-03,7
6.600017e-01,6.620498e-03,8.534155e+03,-6.077208e-03,7
6.700016e-01,6.720971e-03,8.598366e+03,-6.515570e-03,7
6.800015e-01,6.821444e-03,8.659000e+03,-6.974191e-03,7
6.900014e-01,6.921917e-03,8.715771e+03,-7.451270e-03,7
7.000012e-01,7.022390e-03,8.768071e+03,-7.945047e-03,7
7.100011e-01,7.122862e-03,8.816465e+03,-8.459634e-03,7
7.200010e-01,7.223335e-03,8.859586e+03,-9.008161e-03,7
7.300009e-01,7.323807e-03,8.898495e+03,-9.571807e-03,7
7.400007e-01,7.424281e-03,8.932239e+03,-1.015713e-02,7
7.500006e-01,7.524753e-03,8.957256e+03,-1.079992e-02,9
7.600005e-01,7.625225e-03,8.922558e+03,-1.205297e-02,9
7.700003e-01,7.725697e-03,7.916451e+03,-2.088021e-02,9
7.800003e-01,7.826170e-03,7.619064e+03,-2.367590e-02,9
7.900001e-01,7.926644e-03,7.479780e+03,-2.500294e-02,9
8.000000e-01,8.027116e-03,7.469381e+03,-2.557003e-02,9
8.100023e-01,8.127615e-03,7.400949e+03,-2.647151e-02,11
8.200022e-01,8.228088e-03,7.344440e+03,-2.727917e-02,11
8.300021e-01,8.328560e-03,7.288342e+03,-2.807100e-02,11
8.400019e-01,8.429032e-03,7.227845e+03,-2.888872e-02,13
8.500018e-01,8.529504e-03,7.153052e+03,-2.981487e-02,13
8.600017e-01,8.629976e-03,7.047322e+03,-3.097173e-02,15
8.700016e-01,8.730449e-03,6.913964e+03,-3.230723e-02,15
8.800015e-01,8.830922e-03,6.778544e+03,-3.360885e-02,15
