    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63
    	Angle ->    	 3.32584e-09	 1.96347e-01	 3.92703e-01	 5.89062e-01	 7.85398e-01	 9.81734e-01	 1.17809e+00	 1.37445e+00	 1.57080e+00	 1.76714e+00	 1.96350e+00	 2.15986e+00	 2.35619e+00	 2.55253e+00	 2.74889e+00	 2.94525e+00	 3.14159e+00	 3.33794e+00	 3.53430e+00	 3.73065e+00	 3.92699e+00	 4.12333e+00	 4.31969e+00	 4.51604e+00	 4.71239e+00	 4.90874e+00	 5.10509e+00	 5.30145e+00	 5.49779e+00	 5.69412e+00	 5.89048e+00	 6.08684e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000022e-01	 0.00000e+00	 4.10626e-05	 1.58303e-04	 2.21737e-04	 2.04770e-04	 1.53947e-04	 1.07515e-04	 7.46854e-05	 5.02589e-05	 3.10144e-05	 1.50339e-05	 3.31643e-06	-4.03420e-06	-7.20006e-06	-6.84257e-06	-4.06922e-06	-2.70397e-11	 4.06921e-06	 6.84274e-06	 7.19986e-06	 4.03309e-06	-3.31558e-06	-1.50334e-05	-3.10145e-05	-5.02596e-05	-7.46858e-05	-1.07515e-04	-1.53947e-04	-2.04770e-04	-2.21737e-04	-1.58302e-04	-4.10625e-05
U  1	1.000022e-01	 1.00036e-03	 5.99378e-04	 1.80456e-04	 4.46892e-05	 5.65101e-05	 9.25607e-05	 1.12828e-04	 1.18517e-04	 1.16713e-04	 1.10565e-04	 1.01284e-04	 9.02257e-05	 7.87232e-05	 6.82085e-05	 5.99202e-05	 5.45159e-05	 5.27331e-05	 5.45152e-05	 5.99195e-05	 6.82085e-05	 7.87240e-05	 9.02253e-05	 1.01284e-04	 1.10565e-04	 1.16712e-04	 1.18517e-04	 1.12829e-04	 9.25607e-05	 5.65104e-05	 4.46895e-05	 1.80456e-04	 5.99378e-04
