Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,6.111848e+00,0.000000e+00,0
1.000088e-02,1.000116e-04,4.224041e+02,-9.261648e-05,0
2.000176e-02,2.000018e-04,8.442834e+02,-1.938276e-04,0
3.000044e-02,2.999815e-04,1.264292e+03,-3.100490e-04,0
4.000132e-02,4.000269e-04,1.682404e+03,-4.559133e-04,0
5.000000e-02,5.000500e-04,2.098188e+03,-6.211248e-04,0
6.000088e-02,6.000953e-04,2.511069e+03,-8.127791e-04,0
7.000177e-02,7.001405e-04,2.919834e+03,-1.038702e-03,0
8.000044e-02,8.001637e-04,3.323725e+03,-1.298936e-03,0
9.000132e-02,9.002091e-04,3.720880e+03,-1.600664e-03,0
1.000000e-01,1.000232e-03,4.110341e+03,-1.944216e-03,0
1.100009e-01,1.100169e-03,4.493729e+03,-2.304847e-03,0
1.200018e-01,1.199950e-03,4.871072e+03,-2.678754e-03,0
1.300004e-01,1.299709e-03,5.243772e+03,-3.055725e-03,0
1.400013e-01,1.399491e-03,5.611656e+03,-3.437482e-03,0
1.500022e-01,1.499272e-03,5.976857e+03,-3.810976e-03,0
1.600009e-01,1.599031e-03,6.339562e+03,-4.178524e-03,0
1.700018e-01,1.698812e-03,6.699445e+03,-4.544436e-03,0
1.800004e-01,1.798572e-03,7.056895e+03,-4.905042e-03,0
1.900013e-01,1.898353e-03,7.411127e+03,-5.266446e-03,0
2.000000e-01,1.998112e-03,7.763157e+03,-5.625013e-03,0
2.100009e-01,2.097901e-03,8.113959e+03,-5.977050e-03,0
2.200018e-01,2.198210e-03,8.462062e+03,-6.328619e-03,0
2.300004e-01,2.298498e-03,8.806455e+03,-6.682331e-03,0
2.400013e-01,2.398807e-03,9.147484e+03,-7.037490e-03,0
2.500000e-01,2.499094e-03,9.482325e+03,-7.398265e-03,0
2.600009e-01,2.599403e-03,9.799666e+03,-7.785626e-03,0
2.700018e-01,2.699713e-03,9.775726e+03,-8.696134e-03,2
