Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-7.657776e-01,0.000000e+00,0
1.000075e-02,1.000108e-04,3.386513e+02,-1.945633e-05,0
2.000150e-02,2.000113e-04,6.769797e+02,-4.141952e-05,0
3.000226e-02,3.000216e-04,1.015234e+03,-6.491986e-05,1
4.000050e-02,4.000455e-04,1.260706e+03,-1.147555e-06,1
5.000126e-02,5.000944e-04,1.397378e+03,3.690611e-04,3
6.000201e-02,6.001435e-04,1.558859e+03,6.856283e-04,3
7.000025e-02,7.001674e-04,1.603891e+03,2.515680e-04,3
8.000100e-02,8.002165e-04,1.690296e+03,1.125908e-04,3
9.000176e-02,9.002655e-04,1.769523e+03,-2.198243e-04,3
1.000000e-01,1.000289e-03,1.851570e+03,-4.944502e-04,3
1.100008e-01,1.100315e-03,1.932123e+03,-7.859835e-04,3
1.200015e-01,1.200131e-03,2.009287e+03,-1.132173e-03,3
1.300023e-01,1.299948e-03,2.084863e+03,-1.491308e-03,3
1.400005e-01,1.399740e-03,2.157553e+03,-1.883977e-03,3
1.500013e-01,1.499557e-03,2.226810e+03,-2.315875e-03,3
1.600020e-01,1.599374e-03,2.292766e+03,-2.777503e-03,3
1.700003e-01,1.699165e-03,2.355155e+03,-3.273194e-03,3
1.800010e-01,1.798982e-03,2.414106e+03,-3.793948e-03,3
1.900018e-01,1.898799e-03,2.469076e+03,-4.345051e-03,3
2.000000e-01,1.998591e-03,2.520142e+03,-4.918401e-03,3
2.100008e-01,2.098407e-03,2.567315e+03,-5.512689e-03,3
2.200015e-01,2.198224e-03,2.609732e+03,-6.136822e-03,3
2.300023e-01,2.298481e-03,2.645539e+03,-6.808354e-03,5
2.400005e-01,2.398737e-03,2.604394e+03,-8.324988e-03,5
2.500013e-01,2.499018e-03,2.251448e+03,-1.270172e-02,5
2.600020e-01,2.599300e-03,2.262319e+03,-1.345021e-02,5
2.700002e-01,2.699556e-03,2.169690e+03,-1.493288e-02,5
2.800010e-01,2.799837e-03,2.147132e+03,-1.584661e-02,5
2.900018e-01,2.900118e-03,2.081730e+03,-1.701888e-02,5
3.000000e-01,3.000374e-03,2.064697e+03,-1.780014e-02,5
3.100008e-01,3.100655e-03,2.019889e+03,-1.876040e-02,5
3.200015e-01,3.200936e-03,1.990218e+03,-1.957750e-02,5
3.300023e-01,3.301217e-03,1.956367e+03,-2.040589e-02,7
3.400005e-01,3.401473e-03,1.911515e+03,-2.127912e-02,7
3.500013e-01,3.501754e-03,1.857908e+03,-2.217932e-02,8
3.600020e-01,3.602035e-03,1.804947e+03,-2.304503e-02,8
3.700003e-01,3.702292e-03,1.758360e+03,-2.384590e-02,8
3.800010e-01,3.802573e-03,1.718383e+03,-2.459025e-02,8
3.900018e-01,3.902854e-03,1.682514e+03,-2.529419e-02,8
4.000000e-01,4.003110e-03,1.648260e+03,-2.597871e-02,10
4.100008e-01,4.103392e-03,1.605014e+03,-2.669869e-02,10
4.200015e-01,4.203673e-03,1.500847e+03,-2.766703e-02,10
4.300023e-01,4.303954e-03,1.398583e+03,-2.855537e-02,14
4.400005e-01,4.404210e-03,1.302337e+03,-2.934160e-02,14
4.500013e-01,4.504491e-03,1.236125e+03,-3.000674e-02,14
4.600020e-01,4.604771e-03,1.198574e+03,-3.058994e-02,14
4.700003e-01,4.705028e-03,1.154773e+03,-3.116917e-02,14
4.800010e-01,4.805309e-03,1.127125e+03,-3.171245e-02,14
4.900018e-01,4.905590e-03,1.096865e+03,-3.224829e-02,14
5.000000e-01,5.005845e-03,1.075111e+03,-3.276135e-02,14
5.100008e-01,5.106125e-03,1.053231e+03,-3.326690e-02,14
5.200015e-01,5.206406e-03,1.035339e+03,-3.376102e-02,14
5.300023e-01,5.306687e-03,1.018672e+03,-3.424786e-02,14
5.400005e-01,5.406943e-03,1.003692e+03,-3.472314e-02,14
5.500013e-01,5.507224e-03,9.902127e+02,-3.519855e-02,14
5.600020e-01,5.607506e-03,9.780314e+02,-3.566128e-02,14
5.700003e-01,5.707761e-03,9.673660e+02,-3.612171e-02,14
5.800011e-01,5.808041e-03,9.577987e+02,-3.657360e-02,14
5.900018e-01,5.908323e-03,9.493051e+02,-3.701929e-02,14
6.000000e-01,6.008578e-03,9.417161e+02,-3.746390e-02,14
6.100008e-01,6.108859e-03,9.350634e+02,-3.789473e-02,14
6.200016e-01,6.209140e-03,9.289803e+02,-3.832557e-02,14
6.300023e-01,6.309421e-03,9.233632e+02,-3.875642e-02,14
6.400005e-01,6.409677e-03,9.183367e+02,-3.918021e-02,14
6.500013e-01,6.509958e-03,9.139282e+02,-3.959619e-02,14
6.600021e-01,6.610239e-03,9.098639e+02,-4.001217e-02,14
6.700003e-01,6.710495e-03,9.061872e+02,-4.042805e-02,14
6.800010e-01,6.810776e-03,9.028600e+02,-4.084023e-02,14
6.900018e-01,6.911057e-03,8.999652e+02,-4.124136e-02,14
7.000000e-01,7.011312e-03,8.975132e+02,-4.164238e-02,14
7.100008e-01,7.111593e-03,8.953186e+02,-4.204351e-02,14
7.200015e-01,7.211873e-03,8.933740e+02,-4.244464e-02,14
7.300023e-01,7.312153e-03,8.916095e+02,-4.284568e-02,14
7.400005e-01,7.412410e-03,8.898196e+02,-4.323213e-02,14
7.500013e-01,7.512691e-03,8.881632e+02,-4.361840e-02,16
7.600020e-01,7.612973e-03,8.864971e+02,-4.400466e-02,16
7.700003e-01,7.713228e-03,8.847273e+02,-4.439083e-02,16
7.800010e-01,7.813510e-03,8.826239e+02,-4.477710e-02,16
7.900018e-01,7.913792e-03,8.801703e+02,-4.516336e-02,16
8.000000e-01,8.014048e-03,8.775351e+02,-4.554953e-02,16
8.100008e-01,8.114330e-03,8.750120e+02,-4.593580e-02,16
8.200015e-01,8.214612e-03,8.726356e+02,-4.631960e-02,16
8.300023e-01,8.314892e-03,8.703956e+02,-4.669102e-02,16
8.400005e-01,8.415149e-03,8.683304e+02,-4.706233e-02,16
8.500013e-01,8.515429e-03,8.664706e+02,-4.743375e-02,16
8.600020e-01,8.615710e-03,8.647635e+02,-4.780516e-02,16
8.700003e-01,8.715967e-03,8.631381e+02,-4.817647e-02,16
8.800011e-01,8.816248e-03,8.616577e+02,-4.854786e-02,16
8.900018e-01,8.916528e-03,8.602825e+02,-4.891153e-02,16
9.000000e-01,9.016786e-03,8.591005e+02,-4.926800e-02,16
9.100008e-01,9.117069e-03,8.578706e+02,-4.962455e-02,16
9.200016e-01,9.217351e-03,8.567601e+02,-4.998111e-02,16
9.300023e-01,9.317632e-03,8.558028e+02,-5.033766e-02,16
9.400005e-01,9.417887e-03,8.549271e+02,-5.069413e-02,16
9.500013e-01,9.518169e-03,8.541536e+02,-5.105069e-02,16
9.600021e-01,9.618450e-03,8.534600e+02,-5.140529e-02,16
9.700003e-01,9.718707e-03,8.528942e+02,-5.174920e-02,16
9.800010e-01,9.818988e-03,8.523387e+02,-5.209091e-02,16
9.900018e-01,9.919270e-03,8.518594e+02,-5.243260e-02,16
1.000000e+00,1.001953e-02,8.514552e+02,-5.277421e-02,16
