    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63
    	Angle ->    	 3.17571e-09	 1.96346e-01	 3.92715e-01	 5.89041e-01	 7.85398e-01	 9.81755e-01	 1.17808e+00	 1.37445e+00	 1.57080e+00	 1.76714e+00	 1.96351e+00	 2.15984e+00	 2.35619e+00	 2.55255e+00	 2.74888e+00	 2.94525e+00	 3.14159e+00	 3.33794e+00	 3.53431e+00	 3.73063e+00	 3.92699e+00	 4.12335e+00	 4.31967e+00	 4.51604e+00	 4.71239e+00	 4.90874e+00	 5.10510e+00	 5.30143e+00	 5.49779e+00	 5.69414e+00	 5.89047e+00	 6.08684e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000020e-01	 0.00000e+00	 3.89759e-05	 1.60868e-04	 2.28461e-04	 2.16506e-04	 1.66968e-04	 1.18262e-04	 8.56473e-05	 5.78521e-05	 3.84215e-05	 2.05241e-05	 7.81528e-06	-4.47341e-07	-4.80692e-06	-5.15225e-06	-3.30903e-06	 1.81451e-10	 3.30912e-06	 5.15220e-06	 4.80665e-06	 4.46997e-07	-7.81532e-06	-2.05243e-05	-3.84213e-05	-5.78517e-05	-8.56475e-05	-1.18262e-04	-1.66968e-04	-2.16506e-04	-2.28461e-04	-1.60868e-04	-3.89761e-05
U  1	1.000020e-01	 9.99823e-04	 6.27407e-04	 1.96488e-04	 5.34541e-05	 5.98369e-05	 9.54008e-05	 1.17701e-04	 1.24125e-04	 1.23430e-04	 1.18060e-04	 1.08973e-04	 9.82807e-05	 8.70294e-05	 7.63109e-05	 6.83792e-05	 6.26213e-05	 6.11722e-05	 6.26209e-05	 6.83790e-05	 7.63112e-05	 8.70298e-05	 9.82810e-05	 1.08973e-04	 1.18060e-04	 1.23430e-04	 1.24125e-04	 1.17701e-04	 9.54009e-05	 5.98364e-05	 5.34531e-05	 1.96487e-04	 6.27409e-04
U  2	1.000020e-01	 8.44657e-04	 7.78754e-04	 5.81642e-04	 3.37187e-04	 1.16050e-04	-5.08308e-05	-1.44792e-04	-1.74456e-04	-1.54892e-04	-1.10568e-04	-5.82170e-05	-1.44292e-05	 1.70996e-05	 3.30693e-05	 4.00448e-05	 4.02677e-05	 4.07708e-05	 4.02669e-05	 4.00441e-05	 3.30676e-05	 1.70997e-05	-1.44281e-05	-5.82144e-05	-1.10562e-04	-1.54884e-04	-1.74446e-04	-1.44779e-04	-5.08181e-05	 1.16062e-04	 3.37199e-04	 5.81650e-04	 7.78761e-04
UR 0	1.000020e-01	-8.28402e-03	-7.78952e-03	-4.93785e-03	-2.10295e-03	-3.94265e-04	 4.87766e-04	 6.79729e-04	 6.26703e-04	 5.64762e-04	 6.11963e-04	 7.44381e-04	 8.11879e-04	 8.20511e-04	 6.44817e-04	 4.78667e-04	 2.58733e-04	 2.33658e-04	 2.58717e-04	 4.78642e-04	 6.44803e-04	 8.20494e-04	 8.11854e-04	 7.44343e-04	 6.11923e-04	 5.64720e-04	 6.26650e-04	 6.79669e-04	 4.87696e-04	-3.94306e-04	-2.10295e-03	-4.93789e-03	-7.78956e-03
UR 1	1.000020e-01	 3.67344e-08	 7.47269e-04	 2.07154e-03	 3.25144e-03	 4.12291e-03	 4.55120e-03	 4.17354e-03	 3.32965e-03	 2.15258e-03	 1.12763e-03	 2.93695e-04	-1.06161e-04	-2.84356e-04	-2.21232e-04	-1.47776e-04	-5.26753e-05	-6.31713e-09	 5.26627e-05	 1.47762e-04	 2.21230e-04	 2.84361e-04	 1.06160e-04	-2.93700e-04	-1.12758e-03	-2.15251e-03	-3.32956e-03	-4.17342e-03	-4.55111e-03	-4.12285e-03	-3.25139e-03	-2.07151e-03	-7.47181e-04
UR 2	1.000020e-01	-3.23544e-08	-8.59473e-03	-5.00589e-03	-7.47191e-04	 8.05966e-04	 1.00473e-03	 6.80124e-04	 4.73056e-04	 3.81565e-04	 3.12351e-04	 2.99976e-04	 2.36680e-04	 2.02626e-04	 1.45720e-04	 9.84489e-05	 4.95461e-05	 1.03928e-08	-4.95544e-05	-9.84587e-05	-1.45716e-04	-2.02634e-04	-2.36683e-04	-2.99965e-04	-3.12345e-04	-3.81573e-04	-4.73045e-04	-6.80127e-04	-1.00473e-03	-8.05974e-04	 7.47177e-04	 5.00592e-03	 8.59474e-03
U  0	2.000015e-01	 0.00000e+00	 6.12141e-05	 2.96216e-04	 4.81393e-04	 4.76581e-04	 3.78184e-04	 2.75107e-04	 1.89579e-04	 1.34596e-04	 8.31394e-05	 4.71265e-05	 1.73661e-05	-1.54587e-06	-1.02223e-05	-1.20255e-05	-7.22060e-06	 2.87912e-09	 7.22612e-06	 1.20307e-05	 1.02272e-05	 1.55010e-06	-1.73619e-05	-4.71227e-05	-8.31367e-05	-1.34595e-04	-1.89577e-04	-2.75107e-04	-3.78189e-04	-4.76585e-04	-4.81395e-04	-2.96214e-04	-6.12136e-05
U  1	2.000015e-01	 1.99951e-03	 1.38702e-03	 5.49306e-04	 1.63815e-04	 1.47959e-04	 2.16144e-04	 2.61935e-04	 2.80002e-04	 2.77752e-04	 2.64802e-04	 2.45717e-04	 2.20838e-04	 1.95281e-04	 1.72431e-04	 1.52680e-04	 1.41881e-04	 1.36420e-04	 1.41882e-04	 1.52683e-04	 1.72433e-04	 1.95284e-04	 2.20841e-04	 2.45720e-04	 2.64806e-04	 2.77757e-04	 2.80005e-04	 2.61938e-04	 2.16146e-04	 1.47960e-04	 1.63816e-04	 5.49310e-04	 1.38704e-03
U  2	2.000015e-01	-1.96972e-03	-1.82426e-03	-1.45127e-03	-9.33428e-04	-4.03305e-04	 1.68658e-05	 2.87598e-04	 3.99371e-04	 3.89113e-04	 2.98023e-04	 1.79472e-04	 6.31579e-05	-2.39514e-05	-8.24220e-05	-1.10585e-04	-1.24363e-04	-1.25693e-04	-1.24364e-04	-1.10588e-04	-8.24288e-05	-2.39604e-05	 6.31457e-05	 1.79458e-04	 2.98017e-04	 3.89111e-04	 3.99375e-04	 2.87611e-04	 1.68799e-05	-4.03292e-04	-9.33436e-04	-1.45128e-03	-1.82427e-03
UR 0	2.000015e-01	 1.87373e-02	 1.60441e-02	 1.17169e-02	 6.65036e-03	 2.26502e-03	 7.34814e-06	-8.63061e-04	-9.29317e-04	-9.29551e-04	-1.14372e-03	-1.49836e-03	-1.88688e-03	-1.93318e-03	-1.83131e-03	-1.37530e-03	-1.12275e-03	-8.79528e-04	-1.12276e-03	-1.37530e-03	-1.83130e-03	-1.93324e-03	-1.88699e-03	-1.49849e-03	-1.14385e-03	-9.29685e-04	-9.29499e-04	-8.63350e-04	 6.93107e-06	 2.26493e-03	 6.65073e-03	 1.17176e-02	 1.60449e-02
UR 1	2.000015e-01	-1.26905e-07	-1.39761e-03	-3.26251e-03	-6.16040e-03	-8.86930e-03	-1.01464e-02	-1.00974e-02	-8.40969e-03	-6.04867e-03	-3.42892e-03	-1.51407e-03	-1.88494e-04	 2.69831e-04	 4.03653e-04	 2.27000e-04	 1.13608e-04	-1.40800e-08	-1.13640e-04	-2.27037e-04	-4.03708e-04	-2.69967e-04	 1.88260e-04	 1.51385e-03	 3.42876e-03	 6.04867e-03	 8.40996e-03	 1.00980e-02	 1.01471e-02	 8.86968e-03	 6.16046e-03	 3.26225e-03	 1.39733e-03
UR 2	2.000015e-01	-1.20760e-07	-1.50148e-02	-1.11836e-02	-2.91155e-03	 1.50138e-03	 1.99324e-03	 1.62777e-03	 1.10076e-03	 8.37634e-04	 7.62737e-04	 6.15781e-04	 5.73634e-04	 4.26735e-04	 3.40517e-04	 2.17066e-04	 1.11680e-04	-2.92693e-09	-1.11701e-04	-2.17077e-04	-3.40526e-04	-4.26751e-04	-5.73634e-04	-6.15805e-04	-7.62738e-04	-8.37642e-04	-1.10079e-03	-1.62778e-03	-1.99324e-03	-1.50142e-03	 2.91162e-03	 1.11838e-02	 1.50147e-02
U  0	3.000010e-01	 0.00000e+00	 7.63206e-05	 3.98766e-04	 6.96618e-04	 6.93486e-04	 5.44557e-04	 3.97592e-04	 2.58755e-04	 1.92138e-04	 1.11606e-04	 6.65276e-05	 2.43361e-05	-3.22209e-06	-1.36297e-05	-1.75852e-05	-9.95548e-06	-3.85683e-11	 9.95523e-06	 1.75846e-05	 1.36299e-05	 3.22230e-06	-2.43353e-05	-6.65257e-05	-1.11606e-04	-1.92133e-04	-2.58751e-04	-3.97591e-04	-5.44554e-04	-6.93490e-04	-6.96617e-04	-3.98770e-04	-7.63213e-05
U  1	3.000010e-01	 3.00268e-03	 2.18982e-03	 9.75133e-04	 2.99186e-04	 2.28496e-04	 3.12693e-04	 3.71330e-04	 4.01595e-04	 3.97187e-04	 3.76664e-04	 3.49761e-04	 3.12762e-04	 2.75136e-04	 2.44656e-04	 2.14039e-04	 2.01542e-04	 1.91218e-04	 2.01540e-04	 2.14040e-04	 2.44655e-04	 2.75137e-04	 3.12762e-04	 3.49759e-04	 3.76662e-04	 3.97184e-04	 4.01592e-04	 3.71326e-04	 3.12688e-04	 2.28491e-04	 2.99181e-04	 9.75128e-04	 2.18985e-03
U  2	3.000010e-01	-6.91822e-03	-6.36313e-03	-4.89745e-03	-2.94861e-03	-1.03550e-03	 4.39100e-04	 1.32546e-03	 1.62482e-03	 1.47869e-03	 1.06599e-03	 5.77339e-04	 1.37800e-04	-1.73203e-04	-3.54007e-04	-4.26473e-04	-4.46806e-04	-4.45427e-04	-4.46802e-04	-4.26447e-04	-3.54003e-04	-1.73217e-04	 1.37755e-04	 5.77266e-04	 1.06592e-03	 1.47862e-03	 1.62481e-03	 1.32551e-03	 4.39201e-04	-1.03537e-03	-2.94854e-03	-4.89734e-03	-6.36324e-03
