Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.798453e-01,0.000000e+00,0
1.000318e-02,1.414566e-04,6.529951e+02,1.254256e-06,0
2.000267e-02,2.828588e-04,1.305595e+03,2.547830e-06,0
3.000215e-02,4.242248e-04,1.958254e+03,3.895190e-06,0
4.000163e-02,5.656033e-04,2.611040e+03,5.291928e-06,0
5.000111e-02,7.070479e-04,3.263905e+03,6.702257e-06,0
6.000059e-02,8.484926e-04,3.916913e+03,8.107452e-06,0
7.000007e-02,9.899372e-04,4.569920e+03,9.597852e-06,0
8.000326e-02,1.131434e-03,5.223250e+03,1.125853e-05,0
9.000275e-02,1.272879e-03,5.876637e+03,1.289997e-05,0
1.000022e-01,1.414324e-03,6.530050e+03,1.434233e-05,0
1.100017e-01,1.555768e-03,7.183416e+03,1.590293e-05,0
1.200012e-01,1.697213e-03,7.836750e+03,1.774298e-05,0
1.300007e-01,1.838657e-03,8.490154e+03,1.965677e-05,0
1.400001e-01,1.980102e-03,9.144269e+03,2.171929e-05,0
1.500033e-01,2.121599e-03,9.798683e+03,2.390729e-05,0
1.600028e-01,2.263043e-03,1.045288e+04,2.619617e-05,0
1.700023e-01,2.404488e-03,1.110710e+04,2.864163e-05,0
1.800018e-01,2.545933e-03,1.176133e+04,3.124740e-05,0
1.900013e-01,2.687377e-03,1.241597e+04,3.368561e-05,0
2.000007e-01,2.828822e-03,1.307080e+04,3.591436e-05,0
2.100002e-01,2.970266e-03,1.372579e+04,3.871318e-05,0
2.200034e-01,3.111763e-03,1.438167e+04,4.166419e-05,0
2.300029e-01,3.253208e-03,1.503726e+04,4.497700e-05,0
2.400024e-01,3.394653e-03,1.569285e+04,4.853417e-05,0
2.500018e-01,3.536098e-03,1.634844e+04,5.227594e-05,0
2.600013e-01,3.677542e-03,1.700412e+04,5.615672e-05,0
2.700008e-01,3.818987e-03,1.765981e+04,6.025286e-05,0
2.800003e-01,3.960432e-03,1.831559e+04,6.449103e-05,0
2.900035e-01,4.101928e-03,1.897162e+04,6.895167e-05,0
3.000030e-01,4.243373e-03,1.962747e+04,7.386260e-05,0
3.100024e-01,4.384598e-03,2.028354e+04,7.873704e-05,0
3.200019e-01,4.525414e-03,2.094025e+04,8.312474e-05,0
3.300014e-01,4.666230e-03,2.159721e+04,8.747952e-05,0
3.400009e-01,4.807046e-03,2.225404e+04,9.262909e-05,0
3.500004e-01,4.947861e-03,2.291079e+04,9.844637e-05,0
3.600036e-01,5.088730e-03,2.356816e+04,1.039532e-04,0
3.700030e-01,5.229546e-03,2.422552e+04,1.094393e-04,0
3.800025e-01,5.370362e-03,2.488279e+04,1.154810e-04,0
3.900020e-01,5.511178e-03,2.554011e+04,1.226111e-04,0
4.000015e-01,5.651994e-03,2.619800e+04,1.298867e-04,0
4.100010e-01,5.792809e-03,2.685625e+04,1.385616e-04,0
4.200005e-01,5.933625e-03,2.751509e+04,1.484465e-04,0
4.300036e-01,6.074493e-03,2.817475e+04,1.593389e-04,0
4.400031e-01,6.215310e-03,2.883454e+04,1.708276e-04,0
4.500026e-01,6.356125e-03,2.949434e+04,1.867294e-04,0
4.600021e-01,6.496942e-03,3.015345e+04,2.178595e-04,0
4.700016e-01,6.637757e-03,3.081308e+04,2.532722e-04,0
4.800011e-01,6.778573e-03,3.147363e+04,2.894162e-04,0
4.900005e-01,6.919389e-03,3.213336e+04,3.293254e-04,0
5.000000e-01,7.060204e-03,3.279316e+04,4.059285e-04,0
5.100032e-01,7.201072e-03,3.345266e+04,5.121504e-04,0
5.200027e-01,7.341888e-03,3.411136e+04,6.770360e-04,0
5.300022e-01,7.482704e-03,3.476787e+04,9.576643e-04,0
5.400016e-01,7.623521e-03,3.541430e+04,1.533220e-03,0
5.500011e-01,7.764337e-03,3.601171e+04,2.911527e-03,0
5.600006e-01,7.905152e-03,3.638373e+04,6.065470e-03,0
5.700001e-01,8.045969e-03,3.662857e+04,8.839240e-03,0
5.800033e-01,8.186837e-03,3.692237e+04,1.071885e-02,0
5.900028e-01,8.327653e-03,3.721500e+04,1.232402e-02,0
6.000022e-01,8.468470e-03,3.748560e+04,1.383222e-02,0
6.100017e-01,8.609286e-03,3.774957e+04,1.522245e-02,0
6.200012e-01,8.750100e-03,3.801025e+04,1.651622e-02,0
6.300007e-01,8.890918e-03,3.826616e+04,1.773612e-02,0
6.400002e-01,9.031733e-03,3.851779e+04,1.889576e-02,0
6.500034e-01,9.172601e-03,3.876519e+04,2.000573e-02,0
6.600028e-01,9.313417e-03,3.900892e+04,2.107031e-02,0
6.700023e-01,9.454234e-03,3.924734e+04,2.210023e-02,0
6.800018e-01,9.595050e-03,3.948223e+04,2.309642e-02,0
6.900012e-01,9.735866e-03,3.971250e+04,2.406369e-02,0
7.000008e-01,9.876683e-03,3.993873e+04,2.500688e-02,0
7.100002e-01,1.001750e-02,4.016004e+04,2.592831e-02,0
7.200034e-01,1.015837e-02,4.037777e+04,2.682823e-02,0
7.300029e-01,1.029918e-02,4.059112e+04,2.771045e-02,0
7.400024e-01,1.044000e-02,4.080111e+04,2.857400e-02,0
7.500018e-01,1.058082e-02,4.100630e+04,2.942346e-02,0
7.600014e-01,1.072163e-02,4.120734e+04,3.025896e-02,0
7.700008e-01,1.086245e-02,4.140422e+04,3.108055e-02,0
7.800003e-01,1.100326e-02,4.159836e+04,3.188881e-02,0
7.900035e-01,1.114413e-02,4.178733e+04,3.268792e-02,0
8.000030e-01,1.128495e-02,4.197388e+04,3.347258e-02,0
8.100024e-01,1.142576e-02,4.215674e+04,3.424839e-02,0
8.200020e-01,1.156658e-02,4.233604e+04,3.501327e-02,0
8.300014e-01,1.170739e-02,4.251122e+04,3.577078e-02,0
8.400009e-01,1.184821e-02,4.268377e+04,3.651944e-02,0
8.500004e-01,1.198903e-02,4.285212e+04,3.725973e-02,0
8.600036e-01,1.212990e-02,4.301765e+04,3.799247e-02,0
8.700030e-01,1.227071e-02,4.317959e+04,3.871653e-02,0
8.800026e-01,1.241153e-02,4.333918e+04,3.943343e-02,0
8.900020e-01,1.255235e-02,4.349325e+04,4.014488e-02,0
9.000015e-01,1.269316e-02,4.364581e+04,4.084794e-02,0
9.100010e-01,1.283398e-02,4.379620e+04,4.154196e-02,0
9.200005e-01,1.297479e-02,4.394315e+04,4.223116e-02,0
9.300036e-01,1.311566e-02,4.408719e+04,4.291318e-02,0
9.400032e-01,1.325648e-02,4.422827e+04,4.358709e-02,0
9.500026e-01,1.339729e-02,4.436708e+04,4.425713e-02,0
