    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63
    	Angle ->    	 6.28319e+00	 1.96346e-01	 3.92703e-01	 5.89062e-01	 7.85398e-01	 9.81734e-01	 1.17809e+00	 1.37445e+00	 1.57080e+00	 1.76714e+00	 1.96350e+00	 2.15986e+00	 2.35619e+00	 2.55253e+00	 2.74889e+00	 2.94525e+00	 3.14159e+00	 3.33794e+00	 3.53430e+00	 3.73065e+00	 3.92699e+00	 4.12333e+00	 4.31969e+00	 4.51604e+00	 4.71239e+00	 4.90874e+00	 5.10509e+00	 5.30145e+00	 5.49779e+00	 5.69412e+00	 5.89048e+00	 6.08684e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000015e-01	 0.00000e+00	 1.73183e-05	 6.64013e-05	 9.24681e-05	 8.41973e-05	 6.22608e-05	 4.26756e-05	 2.89598e-05	 1.90175e-05	 1.10402e-05	 4.56267e-06	-1.66390e-07	-2.98941e-06	-4.01787e-06	-3.55421e-06	-2.04755e-06	-4.96832e-10	 2.04535e-06	 3.55830e-06	 4.02086e-06	 2.99248e-06	 1.69505e-07	-4.55901e-06	-1.10345e-05	-1.90147e-05	-2.89584e-05	-4.26793e-05	-6.22612e-05	-8.42014e-05	-9.24697e-05	-6.64078e-05	-1.73171e-05
U  1	1.000015e-01	 4.19234e-04	 2.50303e-04	 7.49452e-05	 1.83751e-05	 2.41931e-05	 3.94060e-05	 4.75831e-05	 4.95943e-05	 4.84591e-05	 4.55393e-05	 4.13526e-05	 3.64179e-05	 3.13585e-05	 2.67642e-05	 2.31400e-05	 2.08163e-05	 2.00089e-05	 2.08286e-05	 2.31378e-05	 2.67698e-05	 3.13658e-05	 3.64268e-05	 4.13611e-05	 4.55443e-05	 4.84640e-05	 4.95999e-05	 4.75835e-05	 3.94094e-05	 2.41915e-05	 1.83769e-05	 7.49355e-05	 2.50313e-04
U  2	1.000015e-01	 1.60724e-05	 1.33555e-05	 6.45744e-06	-1.86127e-06	-8.77124e-06	-1.23439e-05	-1.18826e-05	-7.96220e-06	-2.13760e-06	 3.60846e-06	 7.49722e-06	 8.47659e-06	 6.49038e-06	 2.42780e-06	-2.20735e-06	-5.79650e-06	-7.11265e-06	-5.71325e-06	-2.07075e-06	 2.56719e-06	 6.58114e-06	 8.48547e-06	 7.42162e-06	 3.47501e-06	-2.28369e-06	-8.07197e-06	-1.19200e-05	-1.22961e-05	-8.65216e-06	-1.70569e-06	 6.60165e-06	 1.34418e-05
UR 0	1.000015e-01	-4.23477e-04	-3.39937e-04	-1.74542e-04	-2.32657e-05	 7.19628e-05	 1.15629e-04	 1.20737e-04	 1.09995e-04	 1.02764e-04	 1.05002e-04	 1.07933e-04	 9.55606e-05	 5.61368e-05	-8.62800e-06	-8.21388e-05	-1.41000e-04	-1.62942e-04	-1.39406e-04	-7.94554e-05	-5.78395e-06	 5.83920e-05	 9.68956e-05	 1.08487e-04	 1.05069e-04	 1.02550e-04	 1.09506e-04	 1.19755e-04	 1.13942e-04	 6.96638e-05	-2.60475e-05	-1.77171e-04	-3.41565e-04
