Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-8.559138e-01,0.000000e+00,0
1.000137e-02,1.093126e-04,7.411605e+02,1.728052e-06,0
2.000275e-02,2.186238e-04,1.483909e+03,3.396847e-06,0
3.000113e-02,3.279270e-04,2.226499e+03,5.144211e-06,0
4.000251e-02,4.372869e-04,2.969390e+03,7.000725e-06,0
5.000089e-02,5.466142e-04,3.712261e+03,8.919203e-06,0
6.000227e-02,6.559740e-04,4.455518e+03,1.092569e-05,0
7.000066e-02,7.653013e-04,5.198653e+03,1.300182e-05,0
8.000203e-02,8.746611e-04,5.942227e+03,1.519194e-05,0
9.000041e-02,9.839885e-04,6.685752e+03,1.749953e-05,0
1.000018e-01,1.093347e-03,7.429792e+03,1.988648e-05,0
1.100002e-01,1.202479e-03,8.173605e+03,2.239836e-05,0
1.200016e-01,1.311645e-03,8.917788e+03,2.497425e-05,0
1.300029e-01,1.420810e-03,9.662297e+03,2.772252e-05,0
1.400013e-01,1.529942e-03,1.040702e+04,3.049309e-05,0
1.500027e-01,1.639107e-03,1.115203e+04,3.342013e-05,0
1.600011e-01,1.748239e-03,1.189678e+04,3.650612e-05,0
1.700024e-01,1.857404e-03,1.264183e+04,3.980795e-05,0
1.800008e-01,1.966537e-03,1.338669e+04,4.333852e-05,0
1.900022e-01,2.075702e-03,1.413214e+04,4.677173e-05,0
2.000006e-01,2.184834e-03,1.487762e+04,5.020922e-05,0
2.100020e-01,2.294000e-03,1.562355e+04,5.400866e-05,0
2.200004e-01,2.403132e-03,1.636943e+04,5.828303e-05,0
2.300017e-01,2.512297e-03,1.711579e+04,6.331161e-05,0
2.400001e-01,2.621429e-03,1.786200e+04,6.874079e-05,0
2.500015e-01,2.730594e-03,1.860880e+04,7.419602e-05,0
2.600029e-01,2.839759e-03,1.935630e+04,7.924614e-05,0
2.700013e-01,2.948892e-03,2.010383e+04,8.454595e-05,0
2.800026e-01,3.058057e-03,2.085163e+04,9.016039e-05,0
2.900010e-01,3.167189e-03,2.159923e+04,9.631558e-05,0
3.000024e-01,3.276354e-03,2.234717e+04,1.035211e-04,0
3.100008e-01,3.385487e-03,2.309501e+04,1.114847e-04,0
3.200021e-01,3.494651e-03,2.384327e+04,1.200411e-04,0
3.300005e-01,3.603783e-03,2.459217e+04,1.282473e-04,0
3.400019e-01,3.712949e-03,2.534148e+04,1.372602e-04,0
3.500003e-01,3.822081e-03,2.609068e+04,1.475917e-04,0
3.600017e-01,3.931247e-03,2.683992e+04,1.594542e-04,0
3.700001e-01,4.040379e-03,2.758895e+04,1.718825e-04,0
3.800014e-01,4.149544e-03,2.833955e+04,1.847101e-04,0
3.900028e-01,4.258709e-03,2.908975e+04,1.980169e-04,0
4.000012e-01,4.367842e-03,2.983954e+04,2.126251e-04,0
4.100026e-01,4.477007e-03,3.059042e+04,2.279301e-04,0
4.200009e-01,4.586140e-03,3.134123e+04,2.451379e-04,0
4.300023e-01,4.695305e-03,3.209260e+04,2.673878e-04,0
