Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.455275e+00,0.000000e+00,0
1.000415e-02,1.384844e-04,4.741058e+02,1.390820e-06,0
2.000229e-02,2.768860e-04,9.482949e+02,2.876369e-06,0
3.000042e-02,4.152876e-04,1.422482e+03,4.455386e-06,0
4.000457e-02,5.537596e-04,1.897004e+03,6.093933e-06,0
5.000271e-02,6.921128e-04,2.371321e+03,7.791197e-06,0
6.000084e-02,8.304661e-04,2.845652e+03,9.546335e-06,0
7.000499e-02,9.689027e-04,3.320297e+03,1.137074e-05,0
8.000313e-02,1.107307e-03,3.794728e+03,1.328401e-05,0
9.000126e-02,1.245757e-03,4.269256e+03,1.524396e-05,0
1.000054e-01,1.384290e-03,4.744092e+03,1.735650e-05,0
1.100035e-01,1.522740e-03,5.218626e+03,1.957783e-05,0
1.200017e-01,1.661190e-03,5.693250e+03,2.187277e-05,0
1.300058e-01,1.799723e-03,6.168205e+03,2.412344e-05,0
1.400040e-01,1.938173e-03,6.642934e+03,2.661320e-05,0
1.500021e-01,2.076623e-03,7.117687e+03,2.934562e-05,0
1.600002e-01,2.215073e-03,7.592501e+03,3.221496e-05,0
1.700044e-01,2.353607e-03,8.067686e+03,3.519557e-05,0
1.800025e-01,2.492056e-03,8.542701e+03,3.797743e-05,0
1.900007e-01,2.630506e-03,9.017718e+03,4.093559e-05,0
2.000048e-01,2.769040e-03,9.493039e+03,4.408230e-05,0
2.100029e-01,2.907490e-03,9.968077e+03,4.744829e-05,0
2.200011e-01,3.045940e-03,1.044319e+04,5.103084e-05,0
2.300052e-01,3.184473e-03,1.091856e+04,5.488945e-05,0
2.400034e-01,3.322923e-03,1.139386e+04,5.876931e-05,0
2.500015e-01,3.461373e-03,1.186905e+04,6.305046e-05,0
2.600057e-01,3.599906e-03,1.234454e+04,6.776582e-05,0
2.700038e-01,3.738356e-03,1.282002e+04,7.225726e-05,0
2.800019e-01,3.876806e-03,1.329561e+04,7.655639e-05,0
2.900001e-01,4.015256e-03,1.377123e+04,8.121609e-05,0
3.000042e-01,4.153789e-03,1.424720e+04,8.626047e-05,0
3.100024e-01,4.292239e-03,1.472288e+04,9.177534e-05,0
