Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-4.951390e+00,0.000000e+00,0
1.000073e-02,7.077103e-05,2.024448e+02,-1.044739e-07,0
2.000147e-02,1.415426e-04,4.091640e+02,-1.560057e-07,0
3.000220e-02,2.123343e-04,6.148882e+02,-2.358682e-07,0
4.000293e-02,2.831260e-04,8.205931e+02,-3.655298e-07,0
5.000018e-02,3.538930e-04,1.026319e+03,-3.863789e-07,0
6.000091e-02,4.246847e-04,1.232131e+03,-3.899838e-07,0
7.000164e-02,4.954764e-04,1.437882e+03,-3.521326e-07,0
8.000237e-02,5.662605e-04,1.643657e+03,-3.335155e-07,0
9.000311e-02,6.369689e-04,1.849444e+03,-3.329217e-07,0
1.000004e-01,7.076526e-04,2.055208e+03,-2.861447e-07,0
1.100011e-01,7.783609e-04,2.261135e+03,-2.634111e-07,0
1.200018e-01,8.490692e-04,2.467050e+03,-2.184040e-07,0
1.300025e-01,9.197776e-04,2.672935e+03,-1.645911e-07,0
1.400033e-01,9.904859e-04,2.878863e+03,-1.008292e-07,0
1.500005e-01,1.061170e-03,3.084725e+03,-2.890681e-08,0
1.600013e-01,1.131878e-03,3.290812e+03,7.690471e-08,0
1.700020e-01,1.202586e-03,3.496778e+03,1.687467e-07,0
1.800027e-01,1.273295e-03,3.702882e+03,2.532216e-07,0
1.900035e-01,1.344003e-03,3.908987e+03,4.204765e-07,0
2.000007e-01,1.414687e-03,4.114977e+03,6.533675e-07,0
2.100014e-01,1.485395e-03,4.321042e+03,9.020343e-07,0
2.200022e-01,1.556103e-03,4.527130e+03,1.124502e-06,0
2.300029e-01,1.626812e-03,4.733274e+03,1.191860e-06,0
2.400001e-01,1.697495e-03,4.939397e+03,1.381345e-06,0
2.500009e-01,1.768204e-03,5.145524e+03,1.659932e-06,0
2.600016e-01,1.838912e-03,5.351724e+03,1.762137e-06,0
2.700023e-01,1.909620e-03,5.558077e+03,1.884663e-06,0
2.800031e-01,1.980329e-03,5.764399e+03,2.201940e-06,0
2.900003e-01,2.051012e-03,5.970729e+03,2.713560e-06,0
3.000011e-01,2.121721e-03,6.177105e+03,3.418685e-06,0
