Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-3.756242e+00,0.000000e+00,0
1.000253e-02,1.395309e-04,9.692051e+02,9.879501e-07,0
2.000204e-02,2.790188e-04,1.943438e+03,2.040877e-06,0
3.000156e-02,4.185066e-04,2.918021e+03,3.113403e-06,0
4.000108e-02,5.580122e-04,3.892827e+03,4.230406e-06,0
5.000060e-02,6.975969e-04,4.867833e+03,5.391321e-06,0
6.000012e-02,8.371815e-04,5.843298e+03,6.607111e-06,0
7.000265e-02,9.768080e-04,6.819093e+03,7.870042e-06,0
8.000217e-02,1.116320e-03,7.794750e+03,9.147031e-06,0
9.000169e-02,1.255712e-03,8.770943e+03,1.054743e-05,0
1.000012e-01,1.395103e-03,9.747475e+03,1.199858e-05,0
1.100007e-01,1.534494e-03,1.072407e+04,1.355155e-05,0
1.200002e-01,1.673885e-03,1.170086e+04,1.518494e-05,0
1.300028e-01,1.813318e-03,1.267826e+04,1.667796e-05,0
1.400023e-01,1.952709e-03,1.365571e+04,1.819583e-05,0
1.500018e-01,2.092100e-03,1.463368e+04,1.984790e-05,0
1.600013e-01,2.231491e-03,1.561204e+04,2.152740e-05,0
1.700009e-01,2.370882e-03,1.659050e+04,2.330355e-05,0
1.800004e-01,2.510273e-03,1.756909e+04,2.519244e-05,0
1.900029e-01,2.649706e-03,1.854835e+04,2.717805e-05,0
2.000024e-01,2.789097e-03,1.952704e+04,2.928430e-05,0
2.100019e-01,2.928488e-03,2.050608e+04,3.153290e-05,0
2.200014e-01,3.067879e-03,2.148642e+04,3.384367e-05,0
2.300010e-01,3.207270e-03,2.246779e+04,3.638764e-05,0
2.400005e-01,3.346661e-03,2.344964e+04,3.910148e-05,0
2.500000e-01,3.486051e-03,2.443171e+04,4.191849e-05,0
2.600025e-01,3.625484e-03,2.541474e+04,4.432442e-05,0
2.700021e-01,3.764876e-03,2.639809e+04,4.675205e-05,0
2.800016e-01,3.904267e-03,2.738177e+04,4.933894e-05,0
2.900011e-01,4.043658e-03,2.836546e+04,5.213431e-05,0
