    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79
    	Angle ->    	 2.18771e-06	 1.57078e-01	 3.14156e-01	 4.71251e-01	 6.28322e-01	 7.85400e-01	 9.42479e-01	 1.09955e+00	 1.25664e+00	 1.41372e+00	 1.57080e+00	 1.72787e+00	 1.88495e+00	 2.04205e+00	 2.19912e+00	 2.35620e+00	 2.51328e+00	 2.67035e+00	 2.82744e+00	 2.98452e+00	 3.14159e+00	 3.29867e+00	 3.45575e+00	 3.61284e+00	 3.76991e+00	 3.92699e+00	 4.08407e+00	 4.24114e+00	 4.39824e+00	 4.55532e+00	 4.71239e+00	 4.86947e+00	 5.02655e+00	 5.18364e+00	 5.34071e+00	 5.49779e+00	 5.65487e+00	 5.81194e+00	 5.96903e+00	 6.12611e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000000e-01	 0.00000e+00	 2.28987e-05	 9.92327e-05	 1.56590e-04	 1.61644e-04	 1.33514e-04	 9.96690e-05	 7.31555e-05	 5.44613e-05	 4.00981e-05	 2.75553e-05	 1.62391e-05	 6.54929e-06	-1.03923e-06	-6.31183e-06	-9.29413e-06	-1.01816e-05	-9.30420e-06	-7.00964e-06	-3.74893e-06	 1.06376e-09	 3.74952e-06	 7.01452e-06	 9.30241e-06	 1.01823e-05	 9.29751e-06	 6.30622e-06	 1.03975e-06	-6.53882e-06	-1.62392e-05	-2.75562e-05	-4.00979e-05	-5.44636e-05	-7.31438e-05	-9.96705e-05	-1.33508e-04	-1.61648e-04	-1.56589e-04	-9.92299e-05	-2.28984e-05
U  1	1.000000e-01	 8.35757e-04	 5.40628e-04	 1.93043e-04	 3.76869e-05	 1.97925e-05	 4.63798e-05	 7.03836e-05	 8.22996e-05	 8.59842e-05	 8.55209e-05	 8.26722e-05	 7.79446e-05	 7.16865e-05	 6.44093e-05	 5.67047e-05	 4.91402e-05	 4.22317e-05	 3.63594e-05	 3.19261e-05	 2.91595e-05	 2.81998e-05	 2.91700e-05	 3.19185e-05	 3.63659e-05	 4.22303e-05	 4.91368e-05	 5.67094e-05	 6.44101e-05	 7.16840e-05	 7.79447e-05	 8.26740e-05	 8.55230e-05	 8.59837e-05	 8.23032e-05	 7.03790e-05	 4.63810e-05	 1.97837e-05	 3.76835e-05	 1.93046e-04	 5.40622e-04
