Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,1.941562e+00,0.000000e+00,0
1.000141e-02,2.392195e-04,1.084322e+03,8.171029e-07,0
2.000281e-02,4.784281e-04,2.169188e+03,1.649631e-06,0
3.000052e-02,7.176055e-04,3.253791e+03,2.535447e-06,0
4.000193e-02,9.568927e-04,4.338996e+03,3.442081e-06,0
5.000333e-02,1.196180e-03,5.424471e+03,4.443584e-06,0
6.000104e-02,1.435378e-03,6.509845e+03,5.425441e-06,0
7.000244e-02,1.674666e-03,7.595883e+03,6.436911e-06,0
8.000015e-02,1.913864e-03,8.681797e+03,7.429375e-06,0
9.000156e-02,2.153151e-03,9.768284e+03,8.556521e-06,0
1.000030e-01,2.392147e-03,1.085540e+04,9.613493e-06,0
1.100007e-01,2.631031e-03,1.194215e+04,1.071353e-05,0
1.200021e-01,2.870004e-03,1.302995e+04,1.193958e-05,0
1.300035e-01,3.108977e-03,1.411792e+04,1.315931e-05,0
1.400012e-01,3.347861e-03,1.520583e+04,1.475112e-05,0
1.500026e-01,3.586834e-03,1.629449e+04,1.651712e-05,0
1.600003e-01,3.825718e-03,1.738337e+04,1.736084e-05,0
1.700017e-01,4.064691e-03,1.847280e+04,1.822774e-05,0
1.800031e-01,4.303664e-03,1.956268e+04,1.989868e-05,0
1.900008e-01,4.542548e-03,2.065266e+04,2.189119e-05,0
2.000022e-01,4.781521e-03,2.174372e+04,2.349427e-05,0
2.100036e-01,5.020493e-03,2.283523e+04,2.480903e-05,0
2.200013e-01,5.259377e-03,2.392653e+04,2.618041e-05,0
2.300027e-01,5.498350e-03,2.501861e+04,2.813910e-05,0
2.400005e-01,5.737235e-03,2.611084e+04,3.035905e-05,0
2.500018e-01,5.976208e-03,2.720450e+04,3.200003e-05,0
2.600033e-01,6.215180e-03,2.829847e+04,3.432815e-05,0
2.700010e-01,6.454065e-03,2.939268e+04,3.752961e-05,0
2.800024e-01,6.693037e-03,3.048756e+04,4.081068e-05,0
2.900001e-01,6.931921e-03,3.158238e+04,4.424127e-05,0
3.000015e-01,7.170894e-03,3.267813e+04,4.767331e-05,0
3.100029e-01,7.409867e-03,3.377509e+04,5.010987e-05,0
3.200006e-01,7.648752e-03,3.487227e+04,5.170291e-05,0
3.300020e-01,7.887725e-03,3.596999e+04,5.288278e-05,0
3.400034e-01,8.126698e-03,3.706813e+04,5.403094e-05,0
3.500011e-01,8.365584e-03,3.816688e+04,5.624340e-05,0
3.600025e-01,8.604557e-03,3.926645e+04,5.963233e-05,0
3.700002e-01,8.843441e-03,4.036582e+04,6.420647e-05,0
3.800016e-01,9.082415e-03,4.146752e+04,6.925940e-05,0
3.900031e-01,9.321389e-03,4.257026e+04,7.318873e-05,0
4.000008e-01,9.560274e-03,4.367288e+04,7.595676e-05,0
4.100022e-01,9.799246e-03,4.477630e+04,7.855736e-05,0
4.200036e-01,1.003822e-02,4.588014e+04,8.147861e-05,0
4.300013e-01,1.027710e-02,4.698414e+04,8.457204e-05,0
4.400027e-01,1.051608e-02,4.808914e+04,8.785900e-05,0
4.500004e-01,1.075496e-02,4.919527e+04,9.084221e-05,0
4.600018e-01,1.099393e-02,5.030146e+04,9.506322e-05,0
4.700032e-01,1.123290e-02,5.140930e+04,1.003503e-04,0
