Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-2.797209e+00,0.000000e+00,0
1.000196e-02,2.608238e-05,1.105314e+02,1.062307e-06,0
2.000060e-02,5.215247e-05,2.240189e+02,2.348100e-06,0
3.000256e-02,7.823457e-05,3.376078e+02,3.756856e-06,0
4.000120e-02,1.043141e-04,4.509863e+02,5.238674e-06,0
5.000316e-02,1.304023e-04,5.645105e+02,6.953290e-06,0
6.000180e-02,1.564819e-04,6.780623e+02,8.891168e-06,0
7.000043e-02,1.825614e-04,7.915526e+02,1.105290e-05,0
8.000240e-02,2.086496e-04,9.051837e+02,1.322649e-05,0
9.000103e-02,2.347292e-04,1.018764e+03,1.537960e-05,0
1.000030e-01,2.608174e-04,1.132433e+03,1.753724e-05,0
1.100016e-01,2.868969e-04,1.246007e+03,1.983486e-05,0
1.200003e-01,3.129765e-04,1.359584e+03,2.229869e-05,0
1.300022e-01,3.390647e-04,1.473209e+03,2.486436e-05,0
1.400009e-01,3.651442e-04,1.586783e+03,2.782138e-05,0
1.500028e-01,3.912325e-04,1.700399e+03,3.090357e-05,0
1.600015e-01,4.173120e-04,1.813901e+03,3.403959e-05,0
1.700001e-01,4.433915e-04,1.927546e+03,3.753583e-05,0
1.800021e-01,4.694798e-04,2.041187e+03,4.141705e-05,0
1.900007e-01,4.955593e-04,2.154800e+03,4.568378e-05,0
2.000027e-01,5.216475e-04,2.268438e+03,5.037523e-05,0
2.100013e-01,5.477269e-04,2.382139e+03,5.552994e-05,0
2.200033e-01,5.738151e-04,2.495849e+03,6.134789e-05,0
2.300019e-01,5.998947e-04,2.609443e+03,6.791927e-05,0
2.400005e-01,6.259741e-04,2.723050e+03,7.528680e-05,0
2.500025e-01,6.520624e-04,2.836747e+03,8.358912e-05,0
2.600011e-01,6.781419e-04,2.950395e+03,9.295794e-05,0
2.700031e-01,7.042300e-04,3.064070e+03,1.036979e-04,0
2.800017e-01,7.303096e-04,3.177667e+03,1.164448e-04,0
2.900004e-01,7.563892e-04,3.291308e+03,1.307939e-04,0
3.000023e-01,7.824774e-04,3.404973e+03,1.515599e-04,0
3.100010e-01,8.085569e-04,3.518497e+03,1.799004e-04,0
3.200029e-01,8.346451e-04,3.632050e+03,2.095305e-04,0
3.300016e-01,8.607246e-04,3.745488e+03,2.419210e-04,0
3.400002e-01,8.868042e-04,3.858812e+03,2.874707e-04,0
3.500022e-01,9.128924e-04,3.971819e+03,3.562951e-04,0
3.600008e-01,9.389718e-04,4.083979e+03,4.673411e-04,0
3.700028e-01,9.650600e-04,4.194998e+03,6.164680e-04,0
3.800014e-01,9.911397e-04,4.303585e+03,8.325592e-04,0
3.900000e-01,1.017219e-03,4.406770e+03,1.158624e-03,0
4.000020e-01,1.043307e-03,4.502062e+03,1.585086e-03,0
4.100007e-01,1.069368e-03,4.593562e+03,1.987489e-03,0
4.200026e-01,1.095281e-03,4.689094e+03,2.272550e-03,0
4.300012e-01,1.121186e-03,4.785337e+03,2.519031e-03,0
4.400032e-01,1.147099e-03,4.880433e+03,2.762723e-03,0
4.500018e-01,1.173003e-03,4.975618e+03,2.987805e-03,0
4.600005e-01,1.198908e-03,5.069994e+03,3.209003e-03,0
4.700024e-01,1.224821e-03,5.164187e+03,3.421582e-03,0
4.800011e-01,1.250725e-03,5.258390e+03,3.625107e-03,0
4.900030e-01,1.276638e-03,5.351827e+03,3.828170e-03,0
5.000017e-01,1.302543e-03,5.445359e+03,4.022501e-03,0
5.100003e-01,1.328447e-03,5.539422e+03,4.204629e-03,0
5.200022e-01,1.354360e-03,5.633245e+03,4.383490e-03,0
5.300009e-01,1.380265e-03,5.726520e+03,4.561321e-03,0
5.400029e-01,1.406178e-03,5.819307e+03,4.739212e-03,0
5.500015e-01,1.432083e-03,5.911562e+03,4.916482e-03,0
5.600001e-01,1.457987e-03,6.003306e+03,5.092912e-03,0
5.700021e-01,1.483900e-03,6.094591e+03,5.269403e-03,0
5.800008e-01,1.509805e-03,6.185034e+03,5.446277e-03,0
5.900027e-01,1.535718e-03,6.275232e+03,5.623221e-03,0
6.000013e-01,1.561623e-03,6.364893e+03,5.799652e-03,0
6.100033e-01,1.587536e-03,6.454199e+03,5.975234e-03,0
6.200020e-01,1.613440e-03,6.543410e+03,6.146872e-03,0
6.300006e-01,1.639345e-03,6.632225e+03,6.317342e-03,0
6.400025e-01,1.665258e-03,6.721040e+03,6.484480e-03,0
6.500012e-01,1.691163e-03,6.809260e+03,6.652491e-03,0
6.600031e-01,1.717076e-03,6.897287e+03,6.819609e-03,0
6.700018e-01,1.742980e-03,6.985368e+03,6.984027e-03,0
6.800004e-01,1.768885e-03,7.072567e+03,7.148916e-03,0
6.900024e-01,1.794798e-03,7.159504e+03,7.314200e-03,0
7.000010e-01,1.820702e-03,7.245870e+03,7.479687e-03,0
7.100030e-01,1.846615e-03,7.331412e+03,7.647377e-03,0
7.200016e-01,1.872520e-03,7.416845e+03,7.813681e-03,0
7.300003e-01,1.898424e-03,7.502171e+03,7.978909e-03,0
7.400022e-01,1.924337e-03,7.586896e+03,8.144193e-03,0
7.500008e-01,1.950242e-03,7.671370e+03,8.308312e-03,0
7.600028e-01,1.976155e-03,7.755940e+03,8.470793e-03,0
7.700015e-01,2.002060e-03,7.840160e+03,8.633222e-03,0
7.800001e-01,2.027964e-03,7.923766e+03,8.795651e-03,0
7.900020e-01,2.053877e-03,8.006783e+03,8.958133e-03,0
8.000007e-01,2.079782e-03,8.089937e+03,9.118579e-03,0
8.100026e-01,2.105695e-03,8.172998e+03,9.278259e-03,0
8.200013e-01,2.131599e-03,8.255676e+03,9.437888e-03,0
8.300033e-01,2.157512e-03,8.337772e+03,9.597569e-03,0
8.400019e-01,2.183417e-03,8.419235e+03,9.757197e-03,0
8.500005e-01,2.209321e-03,8.500401e+03,9.916825e-03,0
8.600025e-01,2.235234e-03,8.581250e+03,1.007651e-02,0
8.700011e-01,2.261139e-03,8.661911e+03,1.023613e-02,0
8.800031e-01,2.287052e-03,8.742136e+03,1.039582e-02,0
8.900017e-01,2.312956e-03,8.821927e+03,1.055544e-02,0
9.000003e-01,2.338861e-03,8.901090e+03,1.071507e-02,0
9.100023e-01,2.364774e-03,8.980341e+03,1.087340e-02,0
9.200010e-01,2.390678e-03,9.059347e+03,1.103023e-02,0
9.300029e-01,2.416591e-03,9.138176e+03,1.118711e-02,0
9.400015e-01,2.442496e-03,9.216617e+03,1.134394e-02,0
9.500002e-01,2.468400e-03,9.294474e+03,1.150077e-02,0
9.600021e-01,2.494313e-03,9.372175e+03,1.165764e-02,0
9.700008e-01,2.520218e-03,9.449421e+03,1.181447e-02,0
9.800028e-01,2.546131e-03,9.526592e+03,1.196920e-02,0
9.900014e-01,2.572035e-03,9.603450e+03,1.212322e-02,0
1.000000e+00,2.597940e-03,9.679540e+03,1.227725e-02,0
