Time [s],U3 [m],RF3 [N],n_buckled
0.000000e+00,5.214621e-06,0.000000e+00,0
1.000000e+00,1.795220e-05,1.000013e+00,0
2.000000e+00,3.068992e-05,2.000035e+00,0
3.500000e+00,4.979699e-05,3.500098e+00,0
5.750000e+00,7.845934e-05,5.750304e+00,0
9.125000e+00,1.214590e-04,9.126018e+00,0
1.418750e+01,1.859799e-04,1.419102e+01,0
2.178125e+01,2.828366e-04,2.179358e+01,0
3.178125e+01,4.106016e-04,3.181975e+01,0
4.178125e+01,5.387435e-04,4.187111e+01,0
5.178125e+01,6.674491e-04,5.195969e+01,0
6.178125e+01,7.969707e-04,6.210044e+01,0
7.178125e+01,9.275838e-04,7.230402e+01,0
8.178125e+01,1.058942e-03,8.251273e+01,1
9.178125e+01,1.184725e-03,9.212795e+01,1
1.017812e+02,1.281226e-03,9.913500e+01,1
1.117812e+02,1.354493e-03,1.040075e+02,3
1.217812e+02,1.424293e-03,1.083066e+02,3
1.317812e+02,1.496699e-03,1.125218e+02,3
1.417812e+02,1.568300e-03,1.164437e+02,3
1.517812e+02,1.629982e-03,1.194976e+02,3
1.617812e+02,1.682460e-03,1.217438e+02,3
1.717812e+02,1.732201e-03,1.235831e+02,3
1.817812e+02,1.783222e-03,1.252659e+02,3
1.917812e+02,1.837439e-03,1.269179e+02,3
2.017812e+02,1.895688e-03,1.286014e+02,3
2.117812e+02,1.958273e-03,1.303475e+02,3
2.217812e+02,2.025230e-03,1.321709e+02,3
2.317812e+02,2.096449e-03,1.340778e+02,3
2.417812e+02,2.171745e-03,1.360689e+02,3
2.517812e+02,2.250891e-03,1.381423e+02,3
2.617812e+02,2.333642e-03,1.402942e+02,3
2.717812e+02,2.419743e-03,1.425197e+02,3
2.817812e+02,2.508944e-03,1.448137e+02,3
2.917812e+02,2.600994e-03,1.471702e+02,3
3.017812e+02,2.695651e-03,1.495835e+02,3
3.117812e+02,2.792681e-03,1.520477e+02,5
3.217812e+02,2.891847e-03,1.545564e+02,5
3.317812e+02,2.992904e-03,1.571031e+02,5
3.417812e+02,3.095577e-03,1.596798e+02,5
3.517812e+02,3.199496e-03,1.622757e+02,5
3.617812e+02,3.304027e-03,1.648721e+02,5
3.717812e+02,3.407659e-03,1.674251e+02,5
3.817812e+02,3.505843e-03,1.698055e+02,5
3.917812e+02,3.588271e-03,1.717271e+02,5
4.017812e+02,3.653016e-03,1.731264e+02,5
4.117812e+02,3.711724e-03,1.742960e+02,5
4.217812e+02,3.771525e-03,1.754218e+02,5
4.317812e+02,3.834900e-03,1.765748e+02,5
4.417812e+02,3.902407e-03,1.777777e+02,5
4.517812e+02,3.973906e-03,1.790346e+02,5
4.617812e+02,4.049034e-03,1.803426e+02,5
4.717812e+02,4.127378e-03,1.816964e+02,5
4.817812e+02,4.208547e-03,1.830906e+02,5
4.917812e+02,4.292191e-03,1.845196e+02,5
5.017812e+02,4.378012e-03,1.859787e+02,5
5.117812e+02,4.465753e-03,1.874639e+02,5
5.217812e+02,4.555198e-03,1.889714e+02,5
5.317812e+02,4.646172e-03,1.904983e+02,5
5.417812e+02,4.738526e-03,1.920422e+02,5
5.517812e+02,4.832142e-03,1.936009e+02,5
5.617812e+02,4.926923e-03,1.951728e+02,5
5.717812e+02,5.022794e-03,1.967566e+02,5
5.817812e+02,5.119755e-03,1.983522e+02,5
5.917812e+02,5.217621e-03,1.999564e+02,5
6.017812e+02,5.316408e-03,2.015694e+02,5
6.117812e+02,5.416110e-03,2.031908e+02,5
6.217812e+02,5.516712e-03,2.048205e+02,5
6.317812e+02,5.618199e-03,2.064580e+02,5
6.417812e+02,5.720559e-03,2.081029e+02,5
6.517812e+02,5.823779e-03,2.097550e+02,5
6.617812e+02,5.927847e-03,2.114138e+02,5
