Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,1.700833e+00,0.000000e+00,0
1.000035e-02,9.999953e-05,5.947505e+02,-5.819072e-05,0
2.000069e-02,1.999964e-04,1.188732e+03,-1.208228e-04,0
3.000104e-02,3.000162e-04,1.781750e+03,-1.871207e-04,0
4.000138e-02,4.000802e-04,2.373770e+03,-2.578315e-04,0
5.000173e-02,5.001443e-04,2.964337e+03,-3.332353e-04,0
6.000208e-02,6.001169e-04,3.552237e+03,-4.138917e-04,0
7.000026e-02,7.000251e-04,4.123954e+03,-4.915280e-04,1
8.000060e-02,7.999549e-04,4.456870e+03,-2.533698e-04,1
9.000095e-02,8.998847e-04,4.726354e+03,8.348469e-05,1
1.000013e-01,9.998146e-04,4.980343e+03,4.639672e-04,1
1.100016e-01,1.099744e-03,5.225375e+03,8.645022e-04,1
1.200020e-01,1.199674e-03,5.460029e+03,1.288657e-03,1
1.300002e-01,1.299582e-03,5.683039e+03,1.738042e-03,1
1.400005e-01,1.399512e-03,5.894783e+03,2.207323e-03,1
1.500009e-01,1.499442e-03,6.094176e+03,2.698008e-03,1
1.600012e-01,1.599372e-03,6.282207e+03,3.202952e-03,1
1.700016e-01,1.699301e-03,6.456971e+03,3.726518e-03,1
1.800019e-01,1.799231e-03,6.620545e+03,4.262645e-03,1
1.900001e-01,1.899139e-03,6.771007e+03,4.814224e-03,1
2.000004e-01,1.999069e-03,6.906575e+03,5.386066e-03,1
2.100008e-01,2.098998e-03,6.996941e+03,6.050664e-03,3
2.200011e-01,2.198928e-03,6.468233e+03,8.026826e-03,3
2.300015e-01,2.298858e-03,5.914694e+03,9.818716e-03,3
2.400018e-01,2.398787e-03,5.608299e+03,1.105547e-02,3
2.500021e-01,2.498717e-03,5.383459e+03,1.209237e-02,3
2.600003e-01,2.598625e-03,5.200532e+03,1.301769e-02,3
2.700007e-01,2.698555e-03,5.025352e+03,1.390196e-02,3
2.800010e-01,2.798485e-03,4.875700e+03,1.471844e-02,3
2.900014e-01,2.898415e-03,4.742505e+03,1.548728e-02,3
3.000017e-01,2.998344e-03,4.622545e+03,1.621752e-02,3
3.100021e-01,3.098274e-03,4.513397e+03,1.691422e-02,3
3.200003e-01,3.198182e-03,4.412600e+03,1.758451e-02,3
3.300006e-01,3.298112e-03,4.319207e+03,1.823076e-02,3
3.400009e-01,3.398041e-03,4.230768e+03,1.885849e-02,3
3.500013e-01,3.497971e-03,4.146175e+03,1.947066e-02,3
3.600016e-01,3.597901e-03,4.065116e+03,2.006733e-02,3
3.700020e-01,3.697830e-03,3.985974e+03,2.065241e-02,3
3.800002e-01,3.797738e-03,3.908570e+03,2.122568e-02,3
3.900005e-01,3.897667e-03,3.833071e+03,2.178849e-02,3
4.000008e-01,3.997597e-03,3.759766e+03,2.234106e-02,5
4.100012e-01,4.097527e-03,3.689413e+03,2.288116e-02,5
4.200015e-01,4.197456e-03,3.623362e+03,2.340868e-02,5
4.300019e-01,4.297387e-03,3.562337e+03,2.392226e-02,5
4.400001e-01,4.398073e-03,3.506709e+03,2.442383e-02,5
4.500004e-01,4.499077e-03,3.455117e+03,2.491464e-02,5
4.600008e-01,4.600082e-03,3.407646e+03,2.539340e-02,5
4.700011e-01,4.701086e-03,3.363254e+03,2.586258e-02,5
4.800014e-01,4.802092e-03,3.321478e+03,2.632490e-02,5
4.900018e-01,4.903095e-03,3.281355e+03,2.678049e-02,5
5.000021e-01,5.004099e-03,3.239643e+03,2.723608e-02,5
5.100003e-01,5.105082e-03,3.187095e+03,2.770000e-02,7
5.200007e-01,5.206086e-03,3.099133e+03,2.820435e-02,7
5.300010e-01,5.307090e-03,2.979631e+03,2.874397e-02,7
5.400014e-01,5.408095e-03,2.865412e+03,2.926986e-02,7
5.500017e-01,5.509099e-03,2.762319e+03,2.977387e-02,7
5.600021e-01,5.610104e-03,2.674220e+03,3.025387e-02,7
5.700002e-01,5.711087e-03,2.596249e+03,3.071612e-02,7
5.800006e-01,5.812092e-03,2.527416e+03,3.116312e-02,7
5.900009e-01,5.913096e-03,2.469756e+03,3.159196e-02,7
6.000013e-01,6.014100e-03,2.418493e+03,3.200835e-02,7
6.100016e-01,6.115104e-03,2.372214e+03,3.241594e-02,7
6.200020e-01,6.216108e-03,2.330555e+03,3.281136e-02,7
6.300002e-01,6.317090e-03,2.294796e+03,3.320670e-02,7
6.400005e-01,6.418095e-03,2.262347e+03,3.358651e-02,7
6.500009e-01,6.519100e-03,2.231639e+03,3.396474e-02,7
6.600012e-01,6.620103e-03,2.202677e+03,3.434298e-02,7
6.700015e-01,6.721109e-03,2.175434e+03,3.472120e-02,7
6.800019e-01,6.822113e-03,2.147622e+03,3.509944e-02,8
6.900001e-01,6.923095e-03,2.117315e+03,3.547758e-02,8
7.000004e-01,7.024100e-03,2.080490e+03,3.585580e-02,9
7.100008e-01,7.125105e-03,2.036954e+03,3.624172e-02,10
7.200011e-01,7.226109e-03,1.982302e+03,3.663927e-02,12
7.300014e-01,7.327113e-03,1.843675e+03,3.712386e-02,14
7.400018e-01,7.428117e-03,1.057813e+03,3.650994e-02,18
7.500000e-01,7.529099e-03,1.078713e+03,3.707046e-02,17
7.600003e-01,7.630103e-03,8.179785e+02,3.805807e-02,16
7.700006e-01,7.731108e-03,6.453511e+02,3.876249e-02,16
7.800010e-01,7.832113e-03,7.602259e+02,3.902667e-02,16
7.900013e-01,7.933117e-03,7.228660e+02,3.941393e-02,16
8.000017e-01,8.034121e-03,7.500756e+02,3.970812e-02,16
8.100020e-01,8.135125e-03,7.837780e+02,3.999982e-02,16
8.200002e-01,8.236107e-03,7.958294e+02,4.030940e-02,16
8.300006e-01,8.335955e-03,8.166302e+02,4.061197e-02,16
8.400009e-01,8.434811e-03,8.340521e+02,4.092116e-02,16
8.500013e-01,8.533666e-03,8.498193e+02,4.122946e-02,16
8.600016e-01,8.632520e-03,8.654587e+02,4.153829e-02,16
8.700020e-01,8.731376e-03,8.783335e+02,4.184775e-02,17
8.800001e-01,8.830212e-03,8.868151e+02,4.215911e-02,17
8.900005e-01,8.929064e-03,8.886927e+02,4.248527e-02,17
9.000008e-01,9.027921e-03,8.823541e+02,4.281235e-02,17
9.100012e-01,9.126776e-03,8.723517e+02,4.314286e-02,16
9.200015e-01,9.225631e-03,8.653781e+02,4.346951e-02,16
