    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63
    	Angle ->    	 3.57695e-09	 1.96349e-01	 3.92690e-01	 5.89053e-01	 7.85398e-01	 9.81744e-01	 1.17811e+00	 1.37445e+00	 1.57080e+00	 1.76714e+00	 1.96349e+00	 2.15985e+00	 2.35619e+00	 2.55254e+00	 2.74890e+00	 2.94524e+00	 3.14159e+00	 3.33794e+00	 3.53428e+00	 3.73065e+00	 3.92699e+00	 4.12334e+00	 4.31970e+00	 4.51604e+00	 4.71239e+00	 4.90874e+00	 5.10508e+00	 5.30144e+00	 5.49779e+00	 5.69413e+00	 5.89050e+00	 6.08684e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000002e-01	 0.00000e+00	 4.26533e-05	 1.56281e-04	 2.13901e-04	 1.91872e-04	 1.39143e-04	 9.85974e-05	 6.54054e-05	 4.49144e-05	 2.58391e-05	 1.02463e-05	 5.34418e-07	-7.16151e-06	-8.84370e-06	-7.99291e-06	-4.70437e-06	 2.16251e-09	 4.70922e-06	 7.99755e-06	 8.84824e-06	 7.16553e-06	-5.31826e-07	-1.02451e-05	-2.58396e-05	-4.49134e-05	-6.54058e-05	-9.85981e-05	-1.39143e-04	-1.91873e-04	-2.13901e-04	-1.56283e-04	-4.26543e-05
U  1	1.000002e-01	 9.99635e-04	 5.76740e-04	 1.65144e-04	 3.86611e-05	 5.54256e-05	 9.24231e-05	 1.08911e-04	 1.14060e-04	 1.11291e-04	 1.04449e-04	 9.47066e-05	 8.40446e-05	 7.15424e-05	 6.19783e-05	 5.33091e-05	 4.77355e-05	 4.66391e-05	 4.77354e-05	 5.33111e-05	 6.19797e-05	 7.15436e-05	 8.40466e-05	 9.47094e-05	 1.04452e-04	 1.11292e-04	 1.14061e-04	 1.08913e-04	 9.24247e-05	 5.54271e-05	 3.86611e-05	 1.65145e-04	 5.76737e-04
U  2	1.000002e-01	-4.37382e-04	-3.56975e-04	-2.09050e-04	-4.01763e-05	 1.11072e-04	 2.02492e-04	 2.25120e-04	 1.83873e-04	 1.03912e-04	 1.28681e-05	-5.87851e-05	-9.56929e-05	-9.11871e-05	-5.72456e-05	-9.56006e-06	 2.86434e-05	 4.42415e-05	 2.86751e-05	-9.50400e-06	-5.71762e-05	-9.11183e-05	-9.56397e-05	-5.87608e-05	 1.28593e-05	 1.03881e-04	 1.83828e-04	 2.25078e-04	 2.02455e-04	 1.11058e-04	-4.01716e-05	-2.09034e-04	-3.56957e-04
UR 0	1.000002e-01	 8.68449e-03	 5.85349e-03	 3.16060e-03	 9.70675e-04	-8.20728e-04	-1.63253e-03	-1.82986e-03	-1.71833e-03	-1.63612e-03	-1.68087e-03	-1.73374e-03	-1.63160e-03	-1.11500e-03	-3.22664e-04	 6.84365e-04	 1.40295e-03	 1.74519e-03	 1.40334e-03	 6.85058e-04	-3.21727e-04	-1.11398e-03	-1.63063e-03	-1.73306e-03	-1.68044e-03	-1.63579e-03	-1.71810e-03	-1.82970e-03	-1.63232e-03	-8.20652e-04	 9.70243e-04	 3.15987e-03	 5.85289e-03
UR 1	1.000002e-01	 1.56641e-07	-1.23745e-03	-1.90131e-03	-3.00066e-03	-4.04648e-03	-4.31772e-03	-3.87474e-03	-2.61729e-03	-1.04450e-03	 5.40267e-04	 1.52571e-03	 1.92357e-03	 1.66299e-03	 1.17320e-03	 6.16612e-04	 2.50507e-04	 2.92331e-07	-2.49890e-04	-6.15930e-04	-1.17244e-03	-1.66217e-03	-1.92286e-03	-1.52557e-03	-5.40879e-04	 1.04383e-03	 2.61665e-03	 3.87406e-03	 4.31694e-03	 4.04585e-03	 3.00054e-03	 1.90153e-03	 1.23776e-03
UR 2	1.000002e-01	-2.25563e-08	-9.99357e-03	-5.09421e-03	-6.01779e-04	 1.09251e-03	 1.02144e-03	 6.80199e-04	 4.79538e-04	 3.40782e-04	 3.54157e-04	 2.76923e-04	 2.53988e-04	 2.08039e-04	 1.36007e-04	 1.13772e-04	 4.06245e-05	-3.52569e-09	-4.06426e-05	-1.13801e-04	-1.35992e-04	-2.08047e-04	-2.54015e-04	-2.76955e-04	-3.54161e-04	-3.40775e-04	-4.79567e-04	-6.80191e-04	-1.02142e-03	-1.09254e-03	 6.01763e-04	 5.09420e-03	 9.99359e-03
U  0	2.000004e-01	 0.00000e+00	 6.24680e-05	 2.63805e-04	 2.91965e-04	 2.04912e-04	 1.24804e-04	 1.09498e-05	 4.12511e-05	-2.80701e-06	 1.15598e-05	 6.92623e-06	-1.68781e-05	-3.91674e-06	-1.45879e-05	-6.69670e-06	-2.07572e-06	-4.81311e-08	 1.98205e-06	 6.61122e-06	 1.45103e-05	 3.84893e-06	 1.68364e-05	-6.97132e-06	-1.15771e-05	 2.78090e-06	-4.12390e-05	-1.09157e-05	-1.24752e-04	-2.04821e-04	-2.91891e-04	-2.63761e-04	-6.24549e-05
U  1	2.000004e-01	 2.00165e-03	 1.31810e-03	 3.81389e-04	 9.34049e-05	 6.62056e-05	 7.83108e-05	 1.30573e-04	 1.16948e-04	 1.04016e-04	 8.33791e-05	 6.26677e-05	 4.15762e-05	 4.84097e-05	 2.86949e-05	 3.16669e-05	 2.79378e-05	 1.90885e-05	 2.79196e-05	 3.16237e-05	 2.86409e-05	 4.83471e-05	 4.14921e-05	 6.25788e-05	 8.32768e-05	 1.03922e-04	 1.16878e-04	 1.30520e-04	 7.82523e-05	 6.61539e-05	 9.33238e-05	 3.81309e-04	 1.31804e-03
U  2	2.000004e-01	 8.65132e-03	 7.66832e-03	 5.07789e-03	 1.81775e-03	-1.14675e-03	-3.14753e-03	-3.88694e-03	-3.46066e-03	-2.24839e-03	-7.66878e-04	 5.06637e-04	 1.25148e-03	 1.37626e-03	 1.00217e-03	 3.99932e-04	-1.23663e-04	-3.27702e-04	-1.23851e-04	 3.99743e-04	 1.00227e-03	 1.37683e-03	 1.25258e-03	 5.08169e-04	-7.65184e-04	-2.24701e-03	-3.46006e-03	-3.88744e-03	-3.14927e-03	-1.14889e-03	 1.81553e-03	 5.07614e-03	 7.66710e-03
UR 0	2.000004e-01	-1.38482e-01	-1.15894e-01	-7.13326e-02	-2.60464e-02	 6.45313e-03	 2.34451e-02	 2.80846e-02	 2.70073e-02	 2.58517e-02	 2.69089e-02	 2.85800e-02	 2.73550e-02	 2.06253e-02	 8.40257e-03	-6.00465e-03	-1.76973e-02	-2.21485e-02	-1.77050e-02	-6.01471e-03	 8.39992e-03	 2.06249e-02	 2.73576e-02	 2.85855e-02	 2.69181e-02	 2.58620e-02	 2.70225e-02	 2.81099e-02	 2.34758e-02	 6.49084e-03	-2.60195e-02	-7.13149e-02	-1.15889e-01
